# Using amp_thresh=0.10, del_thresh=0.10
Sample	Low	High
TCGA-2F-A9KO-01A-11D-A38F-01	-0.361000	0.866000
TCGA-2F-A9KP-01A-11D-A38F-01	-0.958000	0.486000
TCGA-2F-A9KQ-01A-11D-A38F-01	-1.027000	0.906000
TCGA-2F-A9KR-01A-11D-A38F-01	-0.975000	0.453000
TCGA-2F-A9KT-01A-11D-A38F-01	-0.762000	0.972000
TCGA-2F-A9KW-01A-11D-A38F-01	-0.834000	0.100000
TCGA-4Z-AA7M-01A-11D-A390-01	-0.568000	1.816000
TCGA-4Z-AA7N-01A-11D-A390-01	-0.100000	0.261000
TCGA-4Z-AA7O-01A-31D-A390-01	-0.898000	0.100000
TCGA-4Z-AA7Q-01A-11D-A390-01	-0.378000	0.440000
TCGA-4Z-AA7R-01A-11D-A390-01	-0.757000	1.132000
TCGA-4Z-AA7S-01A-11D-A390-01	-0.990000	0.506000
TCGA-4Z-AA7W-01A-11D-A390-01	-0.537000	0.481000
TCGA-4Z-AA7Y-01A-11D-A390-01	-1.009000	3.068000
TCGA-4Z-AA80-01A-11D-A390-01	-0.484000	0.898000
TCGA-4Z-AA81-01A-11D-A390-01	-0.569000	1.837000
TCGA-4Z-AA82-01A-11D-A390-01	-0.801000	0.819000
TCGA-4Z-AA83-01A-11D-A390-01	-0.953000	0.898000
TCGA-4Z-AA84-01A-11D-A390-01	-0.640000	1.225000
TCGA-4Z-AA86-01A-11D-A390-01	-0.320000	0.774000
TCGA-4Z-AA87-01A-11D-A390-01	-0.654000	0.859000
TCGA-4Z-AA89-01A-11D-A390-01	-0.733000	0.712000
TCGA-5N-A9KI-01A-31D-A42D-01	-0.678000	0.842000
TCGA-5N-A9KM-01A-11D-A42D-01	-0.787000	0.721000
TCGA-BL-A0C8-01A-11D-A273-01	-0.250000	0.854000
TCGA-BL-A13I-01A-11D-A13V-01	-0.100000	0.319000
TCGA-BL-A13J-01A-11D-A273-01	-0.619000	3.757000
TCGA-BL-A3JM-01A-12D-A219-01	-0.100000	1.239000
TCGA-BL-A5ZZ-01A-31D-A30D-01	-0.452000	0.424000
TCGA-BT-A0S7-01A-11D-A10T-01	-0.291000	1.681000
TCGA-BT-A0YX-01A-11D-A10T-01	-0.100000	1.046000
TCGA-BT-A20J-01A-11D-A14V-01	-0.420000	0.643000
TCGA-BT-A20N-01A-11D-A14V-01	-0.775000	1.280000
TCGA-BT-A20O-01A-21D-A14V-01	-0.100000	0.271000
TCGA-BT-A20P-01A-11D-A14V-01	-1.089000	0.979000
TCGA-BT-A20Q-01A-11D-A14V-01	-0.769000	0.735000
TCGA-BT-A20R-01A-12D-A16M-01	-0.409000	1.004000
TCGA-BT-A20T-01A-11D-A14V-01	-0.845000	0.538000
TCGA-BT-A20U-01A-11D-A14V-01	-0.310000	0.210000
TCGA-BT-A20V-01A-11D-A14V-01	-0.567000	3.757000
TCGA-BT-A20W-01A-21D-A14V-01	-0.737000	0.543000
TCGA-BT-A20X-01A-11D-A16M-01	-0.456000	0.451000
TCGA-BT-A2LA-01A-11D-A18E-01	-0.699000	1.000000
TCGA-BT-A2LB-01A-11D-A18E-01	-0.468000	0.770000
TCGA-BT-A2LD-01A-12D-A20B-01	-0.467000	0.638000
TCGA-BT-A3PH-01A-11D-A21Y-01	-0.949000	0.575000
TCGA-BT-A3PJ-01A-21D-A21Y-01	-0.511000	1.520000
TCGA-BT-A3PK-01A-21D-A21Y-01	-0.251000	0.256000
TCGA-BT-A42B-01A-32D-A23L-01	-0.801000	0.252000
TCGA-BT-A42C-01A-11D-A23L-01	-0.580000	1.801000
TCGA-BT-A42E-01A-11D-A23T-01	-0.496000	0.637000
TCGA-BT-A42F-01A-11D-A23T-01	-0.385000	0.282000
TCGA-C4-A0EZ-01A-21D-A10T-01	-0.752000	1.158000
TCGA-C4-A0F0-01A-12D-A10T-01	-0.498000	1.079000
TCGA-C4-A0F6-01A-11D-A10T-01	-0.520000	1.135000
TCGA-CF-A1HR-01A-11D-A13V-01	-0.612000	0.830000
TCGA-CF-A1HS-01A-11D-A13V-01	-0.557000	0.976000
TCGA-CF-A27C-01A-11D-A16M-01	-1.003000	0.300000
TCGA-CF-A3MF-01A-12D-A219-01	-0.643000	1.163000
TCGA-CF-A3MG-01A-11D-A20B-01	-0.758000	1.063000
