Arm	# Genes	Amp frequency	Amp z-score	Amp q-value	Del Frequency	Del z-score	Del q-value
1p	1300	0.22	1.43	0.283	0.31	7.71	2.88e-14
1q	1195	0.65	33.2	0	0.32	6.06	1.99e-09
2p	624	0.13	-8.01	1	0.20	-2.81	1
2q	967	0.08	-10.3	1	0.22	-0.415	1
3p	644	0.14	-6.98	1	0.21	-2.01	1
3q	733	0.21	-1.88	1	0.13	-7.02	1
4p	289	0.09	-10.3	1	0.36	7.04	3.91e-12
4q	670	0.09	-9.71	1	0.31	5.38	9.33e-08
5p	183	0.31	3.15	0.00474	0.22	-3.05	1
5q	905	0.24	1.06	0.497	0.27	3.29	0.000977
6p	710	0.22	-1.01	1	0.23	-0.396	1
6q	556	0.17	-4.69	1	0.31	4.69	3.07e-06
7p	389	0.31	3.91	0.00032	0.17	-5.72	1
7q	783	0.27	2.8	0.0117	0.16	-4.87	1
8p	338	0.31	3.09	0.00512	0.56	20.9	0
8q	551	0.51	18.8	0	0.24	-0.0213	0.906
9p	301	0.17	-5.65	1	0.34	5.7	1.6e-08
9q	700	0.14	-6.33	1	0.30	4.68	3.14e-06
10p	253	0.20	-4.24	1	0.23	-2.09	1
10q	738	0.12	-7.81	1	0.25	1.16	0.229
11p	509	0.16	-5.74	1	0.30	3.62	0.000302
11q	975	0.13	-6	1	0.38	11.8	0
12p	339	0.23	-1.97	1	0.19	-4.2	1
12q	904	0.19	-2.46	1	0.16	-4.67	1
13q	560	0.14	-6.16	1	0.44	14.1	0
14q	938	0.18	-3.25	1	0.29	4.78	2.06e-06
15q	810	0.11	-7.66	1	0.32	6.87	1.17e-11
16p	559	0.43	11.9	0	0.41	10.2	0
16q	455	0.22	-1.39	1	0.65	28.6	0
17p	415	0.15	-5.14	1	0.61	26.5	0
17q	972	0.26	2.31	0.0424	0.33	7.96	4.55e-15
18p	104	0.22	-3.27	1	0.36	6.43	2.15e-10
18q	275	0.20	-3.82	1	0.35	6.11	1.62e-09
19p	681	0.20	-2.54	1	0.23	-0.468	1
19q	935	0.23	0.246	1	0.20	-1.33	1
20p	234	0.41	10.3	0	0.16	-6.32	1
20q	448	0.43	13.4	0	0.11	-8.38	1
21q	258	0.22	-2.93	1	0.20	-3.92	1
22q	564	0.17	-4.48	1	0.49	18	0
Xp	418	0.15	-6.72	1	0.22	-2.32	1
Xq	668	0.14	-6.82	1	0.21	-1.9	1
