# Using amp_thresh=0.10, del_thresh=0.10
Sample	Low	High
TCGA-2W-A8YY-01A-11D-A37M-01	-0.717000	0.279000
TCGA-4J-AA1J-01A-21D-A386-01	-0.882000	1.954000
TCGA-BI-A0VR-01A-11D-A10T-01	-0.333000	0.942000
TCGA-BI-A0VS-01A-11D-A10T-01	-0.622000	3.757000
TCGA-BI-A20A-01A-11D-A14V-01	-0.696000	1.032000
TCGA-C5-A0TN-01A-21D-A14V-01	-0.952000	0.936000
TCGA-C5-A1BE-01B-11D-A13V-01	-0.675000	0.100000
TCGA-C5-A1BF-01B-11D-A13V-01	-0.815000	0.730000
TCGA-C5-A1BI-01B-11D-A13V-01	-0.433000	0.593000
TCGA-C5-A1BJ-01A-11D-A13V-01	-0.557000	0.542000
TCGA-C5-A1BK-01B-11D-A13V-01	-0.546000	0.673000
TCGA-C5-A1BL-01A-11D-A13V-01	-0.729000	0.686000
TCGA-C5-A1BM-01A-11D-A13V-01	-0.744000	0.726000
TCGA-C5-A1BN-01B-11D-A14V-01	-0.946000	0.779000
TCGA-C5-A1BQ-01C-11D-A20T-01	-0.786000	0.763000
TCGA-C5-A1M5-01A-11D-A13V-01	-0.903000	1.674000
TCGA-C5-A1M6-01A-11D-A13V-01	-0.894000	1.355000
TCGA-C5-A1M7-01A-11D-A13V-01	-0.510000	1.642000
TCGA-C5-A1M8-01A-21D-A13V-01	-0.989000	1.032000
TCGA-C5-A1M9-01A-11D-A13V-01	-0.886000	0.562000
TCGA-C5-A1ME-01A-11D-A13V-01	-0.586000	1.700000
TCGA-C5-A1MF-01A-11D-A13V-01	-0.863000	3.757000
TCGA-C5-A1MH-01A-11D-A14V-01	-0.252000	0.702000
TCGA-C5-A1MI-01A-11D-A14V-01	-0.469000	1.221000
TCGA-C5-A1MJ-01A-11D-A14V-01	-0.445000	0.481000
TCGA-C5-A1MK-01A-11D-A14V-01	-0.607000	0.572000
TCGA-C5-A1ML-01A-11D-A14V-01	-0.929000	3.757000
TCGA-C5-A1MN-01A-11D-A14V-01	-0.801000	0.811000
TCGA-C5-A1MP-01A-11D-A14V-01	-0.645000	1.058000
TCGA-C5-A2LS-01A-22D-A22W-01	-0.793000	1.400000
TCGA-C5-A2LT-01A-11D-A18H-01	-0.608000	1.959000
TCGA-C5-A2LV-01A-11D-A18H-01	-1.027000	0.547000
TCGA-C5-A2LX-01A-11D-A18H-01	-0.518000	0.947000
TCGA-C5-A2LY-01A-31D-A18H-01	-0.704000	0.871000
TCGA-C5-A2LZ-01A-11D-A20T-01	-0.826000	1.295000
TCGA-C5-A2M1-01A-11D-A18H-01	-0.742000	1.224000
TCGA-C5-A2M2-01A-21D-A18H-01	-0.979000	3.197000
TCGA-C5-A3HD-01B-11D-A20T-01	-0.685000	0.947000
TCGA-C5-A3HE-01A-21D-A22W-01	-0.569000	0.587000
TCGA-C5-A3HF-01A-11D-A20T-01	-0.100000	0.464000
TCGA-C5-A3HL-01A-11D-A20T-01	-0.100000	0.100000
TCGA-C5-A7CG-01A-11D-A32H-01	-0.536000	0.658000
TCGA-C5-A7CH-01A-11D-A33N-01	-0.674000	1.597000
TCGA-C5-A7CJ-01A-11D-A32H-01	-0.227000	0.476000
TCGA-C5-A7CK-01A-11D-A32H-01	-0.581000	1.104000
TCGA-C5-A7CL-01A-11D-A32H-01	-0.721000	1.256000
TCGA-C5-A7CM-01A-11D-A33N-01	-0.848000	1.788000
TCGA-C5-A7CO-01A-11D-A350-01	-0.701000	1.666000
TCGA-C5-A7UC-01A-11D-A350-01	-0.890000	1.205000
TCGA-C5-A7UE-01A-11D-A33N-01	-0.714000	1.329000
TCGA-C5-A7UH-01A-11D-A350-01	-0.826000	1.311000
TCGA-C5-A7UI-01A-11D-A36I-01	-0.693000	0.737000
TCGA-C5-A7X3-01A-11D-A350-01	-0.402000	0.610000
TCGA-C5-A7X5-01A-11D-A36I-01	-1.289000	0.966000
TCGA-C5-A7X8-01A-11D-A36I-01	-0.679000	1.089000
TCGA-C5-A7XC-01A-11D-A386-01	-0.752000	0.707000
TCGA-C5-A8XH-01A-11D-A37M-01	-0.491000	0.732000
TCGA-C5-A8XI-01A-11D-A37M-01	-0.100000	1.137000
TCGA-C5-A8XJ-01A-11D-A37M-01	-0.824000	1.329000
TCGA-C5-A8XK-01A-11D-A37M-01	-0.898000	1.347000
TCGA-C5-A8YQ-01A-11D-A37M-01	-1.170000	1.345000
TCGA-C5-A8YR-01A-12D-A37M-01	-0.671000	3.757000
TCGA-C5-A8YT-01A-11D-A37M-01	-0.100000	0.100000
TCGA-C5-A8ZZ-01A-11D-A37M-01	-0.792000	0.724000
TCGA-C5-A907-01A-11D-A37M-01	-0.749000	1.335000
TCGA-DG-A2KH-01A-21D-A22W-01	-0.450000	3.757000
TCGA-DG-A2KJ-01A-11D-A18H-01	-0.571000	1.397000
TCGA-DG-A2KK-01A-11D-A17U-01	-1.021000	1.047000
TCGA-DG-A2KL-01A-11D-A17U-01	-0.591000	0.945000
TCGA-DG-A2KM-01A-11D-A17U-01	-0.285000	0.312000
TCGA-DR-A0ZL-01A-11D-A10T-01	-0.616000	0.761000
TCGA-DR-A0ZM-01A-12D-A10T-01	-0.100000	0.806000
TCGA-DS-A0VK-01A-21D-A10T-01	-0.729000	0.758000
TCGA-DS-A0VL-01A-21D-A10T-01	-0.870000	2.402000
TCGA-DS-A0VM-01A-11D-A10T-01	-0.870000	0.879000
TCGA-DS-A0VN-01A-21D-A10T-01	-0.737000	0.521000
TCGA-DS-A3LQ-01A-21D-A21P-01	-0.701000	2.315000
TCGA-DS-A5RQ-01A-11D-A28A-01	-0.876000	0.955000
TCGA-DS-A7WF-01A-11D-A350-01	-0.405000	0.100000
TCGA-DS-A7WH-01A-22D-A350-01	-0.761000	0.949000
TCGA-DS-A7WI-01A-12D-A350-01	-0.650000	1.314000
TCGA-EA-A1QS-01A-61D-A22W-01	-0.245000	0.837000
TCGA-EA-A1QT-01A-11D-A14V-01	-1.393000	0.788000
TCGA-EA-A3HQ-01A-11D-A20T-01	-0.100000	1.526000
TCGA-EA-A3HR-01A-11D-A20T-01	-0.817000	1.435000
TCGA-EA-A3HS-01A-11D-A20T-01	-0.930000	0.807000
TCGA-EA-A3HT-01A-61D-A21P-01	-0.100000	1.525000
TCGA-EA-A3QD-01A-32D-A22W-01	-0.580000	0.698000
TCGA-EA-A3QE-01A-21D-A21P-01	-0.498000	0.464000
TCGA-EA-A3Y4-01A-51D-A242-01	-0.655000	1.998000
TCGA-EA-A410-01A-11D-A242-01	-0.100000	0.100000
TCGA-EA-A411-01A-11D-A242-01	-0.680000	0.447000
TCGA-EA-A439-01A-11D-A242-01	-0.381000	1.539000
TCGA-EA-A43B-01A-81D-A242-01	-0.551000	0.864000
TCGA-EA-A44S-01A-12D-A26F-01	-0.861000	0.100000
TCGA-EA-A4BA-01A-21D-A26F-01	-0.100000	1.953000
TCGA-EA-A50E-01A-21D-A26F-01	-0.348000	0.608000
TCGA-EA-A556-01A-11D-A26F-01	-0.708000	0.832000
TCGA-EA-A5FO-01A-21D-A28A-01	-0.100000	1.064000
TCGA-EA-A5O9-01A-11D-A28A-01	-0.100000	1.814000
TCGA-EA-A5ZD-01A-11D-A28A-01	-0.100000	1.806000
TCGA-EA-A5ZE-01A-11D-A28A-01	-0.838000	2.371000
TCGA-EA-A5ZF-01A-11D-A28A-01	-0.836000	2.993000
TCGA-EA-A6QX-01A-12D-A33N-01	-0.851000	0.762000
TCGA-EA-A78R-01A-11D-A32H-01	-0.509000	0.474000
TCGA-EA-A97N-01A-11D-A386-01	-0.495000	0.907000
TCGA-EK-A2GZ-01A-11D-A17U-01	-0.759000	1.079000
TCGA-EK-A2H0-01A-11D-A17U-01	-0.882000	0.817000
TCGA-EK-A2H1-01A-11D-A17U-01	-0.467000	0.706000
TCGA-EK-A2IP-01A-11D-A17U-01	-0.894000	1.260000
TCGA-EK-A2PG-01A-11D-A18H-01	-0.764000	1.065000
TCGA-EK-A2PI-01A-11D-A18H-01	-0.837000	1.016000
TCGA-EK-A2PK-01A-11D-A18H-01	-0.486000	1.117000
TCGA-EK-A2PL-01A-11D-A18H-01	-0.747000	0.627000
TCGA-EK-A2PM-01A-11D-A18H-01	-0.571000	1.154000
TCGA-EK-A2R7-01A-11D-A18H-01	-0.699000	1.854000
TCGA-EK-A2R8-01A-21D-A18H-01	-0.704000	0.403000
TCGA-EK-A2R9-01A-11D-A18H-01	-0.818000	0.907000
TCGA-EK-A2RA-01A-11D-A18H-01	-0.499000	0.970000
TCGA-EK-A2RB-01A-11D-A18H-01	-0.868000	0.860000
TCGA-EK-A2RC-01A-11D-A18H-01	-0.663000	0.697000
TCGA-EK-A2RD-01A-12D-A20T-01	-0.706000	0.621000
TCGA-EK-A2RE-01A-11D-A18H-01	-0.925000	0.877000
TCGA-EK-A2RJ-01A-11D-A18H-01	-0.444000	0.891000
TCGA-EK-A2RK-01A-11D-A18H-01	-0.808000	0.760000
TCGA-EK-A2RL-01A-11D-A18H-01	-0.913000	1.597000
TCGA-EK-A2RM-01A-21D-A18H-01	-0.696000	0.926000
TCGA-EK-A2RN-01A-12D-A20T-01	-0.590000	1.261000
TCGA-EK-A2RO-01A-11D-A18H-01	-0.152000	1.286000
TCGA-EK-A3GJ-01A-21D-A20T-01	-0.859000	0.760000
TCGA-EK-A3GK-01A-11D-A20T-01	-0.872000	0.836000
TCGA-EK-A3GM-01A-11D-A20T-01	-0.659000	1.294000
TCGA-EK-A3GN-01A-11D-A20T-01	-0.795000	2.869000
TCGA-EX-A1H5-01A-31D-A13V-01	-0.859000	2.139000
TCGA-EX-A1H6-01B-11D-A22W-01	-0.664000	0.628000
TCGA-EX-A3L1-01A-11D-A21P-01	-0.373000	0.643000
TCGA-EX-A449-01A-11D-A242-01	-0.100000	0.850000
TCGA-EX-A69L-01A-11D-A32H-01	-0.612000	1.041000
TCGA-EX-A69M-01A-11D-A32H-01	-0.768000	1.306000
TCGA-EX-A8YF-01A-11D-A37M-01	-0.633000	2.417000
TCGA-FU-A23K-01A-11D-A16M-01	-0.801000	1.507000
TCGA-FU-A23L-01A-11D-A16M-01	-0.500000	1.209000
TCGA-FU-A2QG-01A-11D-A18H-01	-0.853000	0.100000
TCGA-FU-A3EO-01A-11D-A20T-01	-0.906000	0.772000
TCGA-FU-A3HY-01A-11D-A21P-01	-0.831000	0.782000
