Arm	# Genes	Amp frequency	Amp z-score	Amp q-value	Del Frequency	Del z-score	Del q-value
1p	1300	0.11	2.03	0.109	0.20	12.7	0
1q	1195	0.11	2.08	0.109	0.05	-4.61	1
2p	624	0.05	-5.38	1	0.05	-4.7	1
2q	967	0.04	-5.41	1	0.05	-4.42	1
3p	644	0.07	-3.34	1	0.07	-2.95	1
3q	733	0.07	-2.77	1	0.06	-3.75	1
4p	289	0.05	-5.51	1	0.12	2.35	0.0225
4q	670	0.04	-5.88	1	0.15	5.6	3.11e-08
5p	183	0.06	-4.75	1	0.08	-2.49	1
5q	905	0.05	-4.86	1	0.08	-1.69	1
6p	710	0.03	-6.54	1	0.11	1.86	0.061
6q	556	0.03	-6.75	1	0.18	8.79	0
7p	389	0.55	49.1	0	0.02	-5.66	1
7q	783	0.58	54.9	0	0.02	-5.5	1
8p	338	0.10	-0.24	1	0.08	-2.52	1
8q	551	0.11	1.42	0.322	0.06	-4.47	1
9p	301	0.08	-2.34	1	0.31	22.7	0
9q	700	0.10	-0.0441	1	0.15	5.49	5.41e-08
10p	253	0.13	1.95	0.117	0.55	47.7	0
10q	738	0.01	-6.43	1	0.55	51.1	0
11p	509	0.05	-4.67	1	0.16	6.18	1.08e-09
11q	975	0.07	-2.08	1	0.11	2.3	0.0246
12p	339	0.09	-1.36	1	0.09	-1.27	1
12q	904	0.06	-3.5	1	0.11	1.94	0.0538
13q	560	0.02	-7.57	1	0.28	20.1	0
14q	938	0.03	-6.44	1	0.21	13.7	0
15q	810	0.04	-5.84	1	0.15	5.86	7.48e-09
16p	559	0.05	-4.96	1	0.08	-2.25	1
16q	455	0.05	-4.65	1	0.10	0.432	0.62
17p	415	0.07	-3.52	1	0.08	-1.89	1
17q	972	0.08	-1.03	1	0.05	-4.42	1
18p	104	0.08	-2.64	1	0.14	3.61	0.000385
18q	275	0.08	-2.59	1	0.12	2.14	0.0351
19p	681	0.31	23.3	0	0.08	-1.48	1
19q	935	0.26	16.9	0	0.28	19.5	0
20p	234	0.25	15.8	0	0.03	-6.6	1
20q	448	0.25	15.9	0	0.03	-7	1
21q	258	0.09	-1.58	1	0.08	-2.53	1
22q	564	0.07	-3.12	1	0.23	14.7	0
Xp	418	0.03	-6.77	1	0.21	11.7	0
Xq	668	0.06	-3.9	1	0.17	8.33	0
