# Using amp_thresh=0.10, del_thresh=0.10
Sample	Low	High
TCGA-02-0001-01C-01D-0182-01	-0.502000	1.359000
TCGA-02-0003-01A-01D-0182-01	-0.966000	0.904000
TCGA-02-0006-01B-01D-0182-01	-0.675000	0.648000
TCGA-02-0007-01A-01D-0182-01	-1.041000	1.729000
TCGA-02-0009-01A-01D-0182-01	-0.994000	0.952000
TCGA-02-0010-01A-01D-0182-01	-0.921000	1.013000
TCGA-02-0011-01B-01D-0182-01	-0.977000	0.912000
TCGA-02-0014-01A-01D-0182-01	-0.958000	0.787000
TCGA-02-0015-01A-01G-0293-01	-0.975000	0.868000
TCGA-02-0016-01A-01G-0293-01	-0.914000	0.885000
TCGA-02-0021-01A-01D-0182-01	-1.393000	0.928000
TCGA-02-0023-01B-01G-0293-01	-0.842000	0.803000
TCGA-02-0024-01B-01D-0182-01	-0.939000	1.038000
TCGA-02-0025-01A-01G-0293-01	-1.393000	0.728000
TCGA-02-0026-01B-01G-0293-01	-0.861000	0.100000
TCGA-02-0027-01A-01D-0182-01	-0.861000	0.600000
TCGA-02-0028-01A-01D-0182-01	-0.966000	0.934000
TCGA-02-0033-01A-01D-0182-01	-0.473000	0.481000
TCGA-02-0034-01A-01D-0182-01	-0.645000	0.553000
TCGA-02-0037-01A-01D-0182-01	-0.943000	0.885000
TCGA-02-0038-01A-01D-0182-01	-0.870000	0.849000
TCGA-02-0039-01A-01G-0293-01	-1.393000	0.100000
TCGA-02-0043-01A-01D-0182-01	-1.019000	0.951000
TCGA-02-0046-01A-01D-0182-01	-0.975000	0.907000
TCGA-02-0047-01A-01D-0182-01	-0.794000	0.802000
TCGA-02-0048-01A-01G-0293-01	-1.393000	0.100000
TCGA-02-0051-01A-01G-0293-01	-1.393000	1.430000
TCGA-02-0052-01A-01D-0182-01	-0.773000	0.482000
TCGA-02-0054-01A-01D-0182-01	-0.512000	1.101000
TCGA-02-0055-01A-01D-0182-01	-0.508000	0.469000
TCGA-02-0057-01A-01D-0182-01	-0.649000	0.463000
TCGA-02-0058-01A-01D-0182-01	-0.388000	0.424000
TCGA-02-0059-01A-01G-0293-01	-0.728000	0.593000
TCGA-02-0060-01A-01D-0182-01	-0.818000	3.757000
TCGA-02-0064-01A-01D-0193-01	-0.726000	0.716000
TCGA-02-0068-01A-01G-0293-01	-0.754000	0.672000
TCGA-02-0069-01A-01D-0193-01	-0.628000	2.542000
TCGA-02-0070-01A-01G-0293-01	-0.777000	0.702000
TCGA-02-0071-01A-01D-0193-01	-0.799000	0.778000
TCGA-02-0074-01A-01D-0193-01	-0.946000	0.667000
TCGA-02-0075-01A-01D-0193-01	-0.658000	0.998000
TCGA-02-0079-01A-01D-0310-01	-0.613000	0.599000
TCGA-02-0080-01A-01D-0193-01	-0.215000	1.512000
TCGA-02-0083-01A-01D-0193-01	-1.002000	0.961000
TCGA-02-0084-01A-01D-0310-01	-0.795000	0.503000
TCGA-02-0085-01A-01D-0193-01	-0.533000	0.515000
TCGA-02-0086-01A-01D-0193-01	-0.879000	0.963000
TCGA-02-0087-01A-01D-0275-01	-0.734000	0.666000
TCGA-02-0089-01A-01D-0193-01	-0.806000	0.793000
TCGA-02-0099-01A-01D-0193-01	-0.829000	0.797000
TCGA-02-0102-01A-01D-0193-01	-0.980000	0.947000
TCGA-02-0104-01A-01G-0293-01	-1.393000	1.129000
TCGA-02-0106-01A-01D-0275-01	-0.683000	1.717000
TCGA-02-0107-01A-01D-0193-01	-0.322000	0.337000
TCGA-02-0111-01A-01D-0275-01	-0.525000	0.540000
TCGA-02-0113-01A-01D-0193-01	-0.394000	0.780000
TCGA-02-0114-01A-01D-0193-01	-0.992000	0.883000
TCGA-02-0115-01A-01D-0193-01	-0.668000	0.664000
TCGA-02-0116-01A-01D-0193-01	-1.020000	0.976000
TCGA-02-0258-01A-01D-0275-01	-0.967000	1.055000
TCGA-02-0260-01A-03D-0275-01	-1.006000	0.961000
TCGA-02-0266-01A-01D-0275-01	-0.869000	1.534000
TCGA-02-0269-01B-01D-0275-01	-1.021000	0.950000
TCGA-02-0271-01A-01D-0275-01	-0.100000	1.480000
TCGA-02-0281-01A-01D-0275-01	-0.953000	0.418000
TCGA-02-0285-01A-01D-0275-01	-0.735000	3.757000
TCGA-02-0289-01A-01D-0275-01	-1.393000	0.910000
TCGA-02-0290-01A-01D-0275-01	-0.805000	0.765000
TCGA-02-0317-01A-01D-0275-01	-0.972000	1.763000
TCGA-02-0321-01A-01D-0275-01	-0.566000	0.563000
TCGA-02-0324-01A-01D-0275-01	-0.842000	0.903000
TCGA-02-0325-01A-01D-0275-01	-0.596000	0.594000
TCGA-02-0326-01A-01D-0275-01	-0.573000	0.584000
TCGA-02-0330-01A-01D-0275-01	-0.678000	0.686000
TCGA-02-0332-01A-01D-0275-01	-0.513000	0.560000
TCGA-02-0333-01A-02D-0275-01	-1.055000	1.073000
TCGA-02-0337-01A-01D-0275-01	-0.603000	0.585000
TCGA-02-0338-01A-01D-0275-01	-0.100000	0.100000
TCGA-02-0339-01A-01D-0275-01	-1.004000	0.100000
TCGA-02-0422-01A-01D-0275-01	-0.888000	0.739000
TCGA-02-0430-01A-01D-0275-01	-0.958000	0.944000
TCGA-02-0432-01A-02D-0275-01	-0.986000	0.100000
TCGA-02-0440-01A-01D-0275-01	-0.992000	0.672000
TCGA-02-0446-01A-01D-0275-01	-0.779000	0.763000
TCGA-02-0451-01A-01D-0275-01	-0.830000	0.847000
TCGA-02-0456-01A-01D-0275-01	-0.458000	0.448000
TCGA-02-2466-01A-01D-0784-01	-1.052000	0.943000
TCGA-02-2470-01A-01D-0784-01	-0.639000	0.632000
TCGA-02-2483-01A-01D-0784-01	-0.809000	2.008000
TCGA-02-2485-01A-01D-0784-01	-1.069000	0.792000
TCGA-02-2486-01A-01D-0784-01	-0.798000	3.757000
TCGA-06-0119-01A-08D-0214-01	-0.345000	0.351000
TCGA-06-0121-01A-04D-0214-01	-0.266000	0.437000
TCGA-06-0122-01A-01D-0214-01	-0.814000	0.753000
TCGA-06-0124-01A-01D-0214-01	-0.724000	0.694000
TCGA-06-0125-01A-01D-0214-01	-1.038000	0.956000
TCGA-06-0126-01A-01D-0214-01	-0.909000	0.848000
TCGA-06-0127-01A-01D-0310-01	-0.735000	0.662000
TCGA-06-0128-01A-01D-0214-01	-0.868000	0.418000
TCGA-06-0129-01A-01D-0214-01	-0.578000	0.950000
TCGA-06-0130-01A-01D-0214-01	-0.382000	0.729000
TCGA-06-0132-01A-02D-0236-01	-0.390000	0.362000
TCGA-06-0133-01A-02D-0214-01	-0.661000	1.118000
TCGA-06-0137-01A-02D-0214-01	-1.051000	0.963000
TCGA-06-0138-01A-02D-0236-01	-0.963000	1.090000
TCGA-06-0139-01B-05D-0214-01	-0.210000	0.204000
TCGA-06-0140-01A-01D-0214-01	-0.658000	0.605000
TCGA-06-0141-01A-01D-0214-01	-0.258000	0.293000
TCGA-06-0142-01A-01D-0214-01	-0.100000	0.100000
TCGA-06-0143-01A-01D-0214-01	-0.731000	0.671000
TCGA-06-0145-01A-05D-0214-01	-0.927000	0.854000
TCGA-06-0146-01A-01D-0275-01	-0.403000	0.356000
