# Using amp_thresh=0.10, del_thresh=0.10
Sample	Low	High
TCGA-4P-AA8J-01A-11D-A390-01	-0.461000	0.857000
TCGA-BA-4074-01A-01D-1432-01	-0.593000	1.950000
TCGA-BA-4075-01A-01D-1432-01	-0.967000	2.285000
TCGA-BA-4076-01A-01D-1432-01	-0.919000	1.639000
TCGA-BA-4077-01B-01D-1432-01	-0.820000	2.038000
TCGA-BA-4078-01A-01D-1432-01	-0.878000	2.096000
TCGA-BA-5149-01A-01D-1510-01	-0.477000	0.741000
TCGA-BA-5151-01A-01D-1432-01	-0.382000	0.514000
TCGA-BA-5152-01A-02D-1869-01	-0.536000	0.319000
TCGA-BA-5153-01A-01D-1432-01	-0.804000	1.948000
TCGA-BA-5555-01A-01D-1510-01	-0.456000	0.743000
TCGA-BA-5556-01A-01D-1510-01	-0.100000	0.486000
TCGA-BA-5557-01A-01D-1510-01	-0.351000	0.600000
TCGA-BA-5558-01A-01D-1510-01	-0.526000	0.927000
TCGA-BA-5559-01A-01D-1510-01	-0.609000	1.232000
TCGA-BA-6868-01B-12D-1910-01	-0.869000	0.873000
TCGA-BA-6869-01A-11D-1869-01	-0.692000	2.859000
TCGA-BA-6870-01A-11D-1869-01	-0.705000	0.908000
TCGA-BA-6871-01A-11D-1869-01	-0.538000	0.729000
TCGA-BA-6872-01A-11D-1869-01	-0.491000	0.642000
TCGA-BA-6873-01A-11D-1869-01	-0.541000	0.772000
TCGA-BA-7269-01A-11D-2010-01	-0.862000	1.262000
TCGA-BA-A4IF-01A-11D-A25X-01	-0.477000	0.838000
TCGA-BA-A4IG-01A-11D-A25X-01	-0.636000	0.664000
TCGA-BA-A4IH-01A-11D-A25X-01	-0.980000	1.634000
TCGA-BA-A4II-01A-11D-A25X-01	-0.368000	0.712000
TCGA-BA-A6D8-01A-31D-A31K-01	-0.735000	0.767000
TCGA-BA-A6DA-01A-31D-A31K-01	-0.589000	0.844000
TCGA-BA-A6DB-01A-11D-A30D-01	-0.283000	0.288000
TCGA-BA-A6DD-01A-12D-A31K-01	-0.290000	0.478000
TCGA-BA-A6DE-01A-22D-A31K-01	-0.770000	0.233000
TCGA-BA-A6DF-01A-11D-A30D-01	-0.100000	0.100000
TCGA-BA-A6DG-01A-21D-A30D-01	-0.100000	0.292000
TCGA-BA-A6DI-01A-11D-A30D-01	-0.383000	0.595000
TCGA-BA-A6DJ-01A-11D-A30D-01	-0.100000	0.541000
TCGA-BA-A6DL-01A-21D-A30D-01	-0.475000	0.898000
TCGA-BA-A8YP-01A-11D-A390-01	-0.708000	1.325000
TCGA-BB-4217-01A-11D-2077-01	-0.215000	0.264000
TCGA-BB-4223-01A-01D-1432-01	-0.795000	1.418000
TCGA-BB-4224-01A-01D-1432-01	-0.625000	1.406000
TCGA-BB-4225-01A-01D-1432-01	-0.611000	1.483000
TCGA-BB-4227-01A-01D-1869-01	-0.780000	0.764000
TCGA-BB-4228-01A-01D-1432-01	-0.100000	1.628000
TCGA-BB-7861-01A-11D-2228-01	-0.439000	0.473000
TCGA-BB-7862-01A-21D-2228-01	-0.786000	1.356000
TCGA-BB-7863-01A-11D-2228-01	-0.135000	0.582000
TCGA-BB-7864-01A-11D-2228-01	-0.726000	1.543000
TCGA-BB-7866-01A-11D-2228-01	-0.805000	0.100000
TCGA-BB-7870-01A-11D-2228-01	-0.789000	1.424000
TCGA-BB-7871-01A-11D-2228-01	-0.673000	0.622000
TCGA-BB-7872-01A-11D-2228-01	-0.516000	0.510000
TCGA-BB-8596-01A-11D-2390-01	-0.380000	0.558000
TCGA-BB-8601-01A-11D-2390-01	-0.695000	0.666000
TCGA-BB-A5HU-01A-11D-A28Q-01	-0.427000	0.923000
TCGA-BB-A5HY-01A-11D-A28Q-01	-0.625000	1.067000
TCGA-BB-A5HZ-01A-21D-A28Q-01	-0.309000	1.926000
TCGA-BB-A6UM-01A-12D-A34I-01	-0.959000	1.782000
TCGA-BB-A6UO-01A-12D-A34I-01	-0.646000	0.651000
TCGA-C9-A47Z-01A-11D-A24C-01	-0.799000	1.733000
TCGA-C9-A480-01A-12D-A24C-01	-0.541000	0.538000
TCGA-CN-4722-01A-01D-1432-01	-0.100000	0.411000
TCGA-CN-4723-01A-01D-1432-01	-0.592000	0.698000
TCGA-CN-4725-01A-01D-1432-01	-0.850000	0.629000
TCGA-CN-4726-01A-01D-1432-01	-0.552000	0.402000
TCGA-CN-4727-01A-01D-1432-01	-0.474000	0.484000
TCGA-CN-4728-01A-01D-1432-01	-0.292000	0.454000
TCGA-CN-4729-01A-01D-1432-01	-0.464000	0.704000
TCGA-CN-4730-01A-01D-1432-01	-0.855000	0.894000
TCGA-CN-4731-01A-01D-1432-01	-0.715000	1.752000
TCGA-CN-4733-01A-02D-1869-01	-0.100000	0.229000
TCGA-CN-4735-01A-01D-1432-01	-0.774000	0.100000
TCGA-CN-4736-01A-01D-1432-01	-0.481000	0.425000
TCGA-CN-4737-01A-01D-1432-01	-0.534000	1.210000
TCGA-CN-4738-01A-02D-1510-01	-0.257000	0.770000
TCGA-CN-4739-01A-02D-1510-01	-0.427000	0.592000
TCGA-CN-4740-01A-01D-1432-01	-0.434000	0.781000
TCGA-CN-4741-01A-01D-1432-01	-0.854000	2.845000
TCGA-CN-4742-01A-02D-1510-01	-0.370000	0.630000
TCGA-CN-5355-01A-01D-1432-01	-0.554000	0.586000
TCGA-CN-5356-01A-01D-1432-01	-0.503000	1.211000
TCGA-CN-5358-01A-01D-1510-01	-0.120000	0.222000
TCGA-CN-5359-01A-01D-1432-01	-0.258000	0.588000
TCGA-CN-5360-01A-01D-1432-01	-0.623000	0.971000
TCGA-CN-5363-01A-01D-1432-01	-0.483000	3.757000
TCGA-CN-5364-01A-01D-1432-01	-0.512000	0.497000
TCGA-CN-5365-01A-01D-1432-01	-0.590000	0.362000
TCGA-CN-5366-01A-01D-1432-01	-0.370000	0.872000
TCGA-CN-5367-01A-01D-1432-01	-0.650000	3.757000
TCGA-CN-5369-01A-01D-1432-01	-0.100000	0.100000
TCGA-CN-5370-01A-01D-2010-01	-0.701000	0.458000
TCGA-CN-5373-01A-01D-1432-01	-0.550000	0.515000
TCGA-CN-5374-01A-01D-1432-01	-0.651000	0.639000
TCGA-CN-6010-01A-11D-1682-01	-0.446000	1.722000
TCGA-CN-6011-01A-11D-1682-01	-1.033000	1.719000
TCGA-CN-6012-01A-11D-1682-01	-0.421000	0.850000
TCGA-CN-6013-01A-11D-1682-01	-0.603000	1.384000
TCGA-CN-6016-01A-11D-1682-01	-0.398000	0.405000
TCGA-CN-6017-01A-11D-1682-01	-0.100000	0.100000
TCGA-CN-6018-01A-11D-1682-01	-0.590000	0.378000
TCGA-CN-6019-01A-11D-1682-01	-0.340000	0.421000
TCGA-CN-6020-01A-11D-1682-01	-0.365000	0.581000
TCGA-CN-6021-01A-11D-1682-01	-0.616000	1.043000
TCGA-CN-6022-01A-21D-1682-01	-0.388000	0.385000
TCGA-CN-6023-01A-11D-1682-01	-0.100000	1.016000
TCGA-CN-6024-01A-11D-1682-01	-0.567000	1.880000
TCGA-CN-6988-01A-11D-1910-01	-0.595000	1.848000
TCGA-CN-6989-01A-11D-1910-01	-0.379000	0.751000
TCGA-CN-6992-01A-11D-1910-01	-0.754000	0.347000
TCGA-CN-6994-01A-11D-1910-01	-0.635000	1.015000
TCGA-CN-6995-01A-31D-2010-01	-0.570000	0.683000
TCGA-CN-6996-01A-11D-1910-01	-0.565000	0.613000
TCGA-CN-6997-01A-11D-2010-01	-0.846000	0.862000
TCGA-CN-6998-01A-23D-2010-01	-0.635000	1.066000
TCGA-CN-A497-01A-11D-A24C-01	-0.730000	3.757000
TCGA-CN-A498-01A-11D-A24C-01	-0.585000	0.990000
TCGA-CN-A499-01A-11D-A24C-01	-0.381000	0.899000
TCGA-CN-A49A-01A-11D-A24C-01	-0.537000	0.840000
TCGA-CN-A49B-01A-31D-A24C-01	-0.768000	0.556000
TCGA-CN-A49C-01A-11D-A24C-01	-0.895000	1.375000
TCGA-CN-A63T-01A-11D-A28Q-01	-0.480000	0.668000
TCGA-CN-A63U-01A-11D-A30D-01	-0.649000	1.088000
TCGA-CN-A63V-01A-11D-A28Q-01	-0.100000	0.429000
TCGA-CN-A63W-01A-11D-A30D-01	-0.760000	1.087000
TCGA-CN-A63Y-01A-11D-A30D-01	-0.532000	0.366000
TCGA-CN-A640-01A-21D-A30D-01	-0.418000	0.712000
TCGA-CN-A641-01A-11D-A30D-01	-0.764000	1.310000
TCGA-CN-A642-01A-12D-A30D-01	-0.100000	1.337000
TCGA-CN-A6UY-01A-12D-A34I-01	-0.942000	3.757000
TCGA-CN-A6V1-01A-12D-A34I-01	-0.100000	0.215000
TCGA-CN-A6V3-01A-12D-A34I-01	-0.655000	0.653000
TCGA-CN-A6V6-01A-12D-A34I-01	-0.665000	1.162000
TCGA-CN-A6V7-01A-12D-A34I-01	-0.966000	2.439000
TCGA-CQ-5323-01A-01D-1682-01	-0.778000	1.446000
TCGA-CQ-5324-01A-01D-1682-01	-0.100000	1.299000
TCGA-CQ-5325-01A-01D-1682-01	-0.243000	0.308000
TCGA-CQ-5326-01A-01D-1869-01	-0.504000	0.468000
TCGA-CQ-5327-01A-01D-1682-01	-0.316000	0.216000
TCGA-CQ-5329-01A-01D-1682-01	-0.100000	1.054000
TCGA-CQ-5330-01A-01D-1682-01	-0.568000	1.377000
TCGA-CQ-5331-01A-02D-1869-01	-0.100000	0.356000
TCGA-CQ-5332-01A-01D-1682-01	-0.780000	1.121000
TCGA-CQ-5333-01A-01D-2390-01	-0.100000	0.392000
TCGA-CQ-5334-01A-01D-1682-01	-0.493000	0.471000
TCGA-CQ-6218-01A-11D-1910-01	-0.610000	0.589000
TCGA-CQ-6220-01A-11D-1910-01	-0.437000	0.703000
TCGA-CQ-6221-01A-11D-2077-01	-0.716000	0.731000
TCGA-CQ-6223-01A-11D-1910-01	-0.703000	1.434000
TCGA-CQ-6224-01A-11D-1910-01	-0.367000	1.364000
TCGA-CQ-6225-01A-11D-1910-01	-0.636000	1.216000
TCGA-CQ-6227-01A-11D-1910-01	-0.398000	0.633000
TCGA-CQ-6228-01A-11D-1910-01	-0.874000	0.724000
TCGA-CQ-6229-01A-11D-1910-01	-0.326000	0.442000
TCGA-CQ-7063-01A-11D-2390-01	-0.561000	0.538000
TCGA-CQ-7064-01A-11D-2390-01	-0.456000	0.311000
TCGA-CQ-7065-01A-11D-2077-01	-0.846000	0.815000
TCGA-CQ-7067-01A-11D-2228-01	-1.124000	2.203000
TCGA-CQ-7068-01A-11D-2077-01	-0.100000	1.925000
TCGA-CQ-7069-01A-11D-2390-01	-0.416000	0.319000
TCGA-CQ-7071-01A-12D-A30D-01	-0.100000	0.100000
TCGA-CQ-7072-01A-21D-A30D-01	-0.458000	0.844000
TCGA-CQ-A4C6-01A-11D-A253-01	-0.436000	0.661000
TCGA-CQ-A4C7-01A-11D-A253-01	-0.544000	0.624000
TCGA-CQ-A4C9-01A-11D-A253-01	-0.619000	0.880000
TCGA-CQ-A4CA-01A-11D-A253-01	-0.297000	0.715000
TCGA-CQ-A4CB-01A-11D-A253-01	-0.467000	0.455000
TCGA-CQ-A4CD-01A-21D-A253-01	-0.597000	0.559000
TCGA-CQ-A4CE-01A-11D-A25X-01	-0.300000	0.719000
TCGA-CQ-A4CG-01A-11D-A25X-01	-0.850000	1.568000
TCGA-CQ-A4CH-01A-11D-A25X-01	-0.229000	0.269000
TCGA-CQ-A4CI-01A-11D-A25X-01	-0.861000	0.843000
TCGA-CR-5243-01A-01D-1510-01	-0.869000	1.487000
TCGA-CR-5247-01A-01D-2010-01	-0.559000	0.518000
TCGA-CR-5248-01A-01D-2010-01	-0.600000	0.100000
TCGA-CR-5249-01A-01D-1510-01	-0.672000	0.438000
TCGA-CR-5250-01A-01D-1510-01	-0.776000	0.100000
TCGA-CR-6467-01A-11D-1869-01	-0.677000	1.143000
TCGA-CR-6470-01A-11D-1869-01	-0.533000	0.618000
