Arm	# Genes	Amp frequency	Amp z-score	Amp q-value	Del Frequency	Del z-score	Del q-value
1p	1300	0.04	-6.96	1	0.18	5.1	8.62e-07
1q	1195	0.08	-3.18	1	0.14	1.64	0.115
2p	624	0.15	1.26	0.238	0.09	-3.64	1
2q	967	0.16	2.62	0.0113	0.08	-3.44	1
3p	644	0.21	4.76	2.84e-06	0.53	33.4	0
3q	733	0.21	6.48	1.4e-10	0.17	3.17	0.00286
4p	289	0.06	-6.37	1	0.12	-1.57	1
4q	670	0.06	-6.11	1	0.11	-1.64	1
5p	183	0.28	11.7	0	0.04	-7.46	1
5q	905	0.29	14.8	0	0.04	-6.65	1
6p	710	0.03	-8.03	1	0.20	6.23	1.58e-09
6q	556	0.02	-8.54	1	0.24	9.34	0
7p	389	0.42	24.7	0	0.01	-8.44	1
7q	783	0.42	26.1	0	0.01	-8.14	1
8p	338	0.08	-4.22	1	0.21	6.18	1.92e-09
8q	551	0.12	-0.831	1	0.11	-1.57	1
9p	301	0.04	-7.68	1	0.23	7.53	2.11e-13
9q	700	0.03	-7.49	1	0.23	8.6	0
10p	253	0.04	-8.06	1	0.16	1.62	0.115
10q	738	0.03	-7.92	1	0.18	4.69	6.19e-06
11p	509	0.07	-5.46	1	0.05	-6.94	1
11q	975	0.07	-5.09	1	0.06	-5.38	1
12p	339	0.29	13.1	0	0.01	-9.15	1
12q	904	0.29	14.8	0	0.01	-9.02	1
13q	560	0.07	-5.03	1	0.17	2.8	0.00875
14q	938	0.06	-4.66	1	0.31	16.6	0
15q	810	0.06	-5.45	1	0.08	-3.95	1
16p	559	0.32	16.7	0	0.03	-7.29	1
16q	455	0.31	15.3	0	0.05	-6.32	1
17p	415	0.25	9.63	0	0.16	2.17	0.0396
17q	972	0.27	12.8	0	0.13	0.271	0.806
18p	104	0.07	-5.29	1	0.17	2.48	0.0209
18q	275	0.07	-5.54	1	0.18	3.49	0.001
19p	681	0.09	-3.75	1	0.04	-7.95	1
19q	935	0.09	-3.25	1	0.03	-8.09	1
20p	234	0.27	10.9	0	0.02	-8.52	1
20q	448	0.27	11.7	0	0.01	-9.09	1
21q	258	0.10	-3.29	1	0.16	2.2	0.0396
22q	564	0.08	-4.07	1	0.13	-0.108	1
Xp	418	0.16	1.89	0.0713	0.16	2.16	0.0396
Xq	668	0.16	2.84	0.00626	0.15	2.01	0.0541
