# Using amp_thresh=0.10, del_thresh=0.10
Sample	Low	High
TCGA-2K-A9WE-01A-11D-A381-01	-0.100000	0.549000
TCGA-2Z-A9J1-01A-11D-A381-01	-0.100000	0.833000
TCGA-2Z-A9J2-01A-11D-A381-01	-0.100000	0.786000
TCGA-2Z-A9J3-01A-12D-A381-01	-0.222000	2.597000
TCGA-2Z-A9J5-01A-21D-A381-01	-0.100000	0.742000
TCGA-2Z-A9J6-01A-11D-A381-01	-0.953000	0.939000
TCGA-2Z-A9J7-01A-11D-A381-01	-0.100000	2.466000
TCGA-2Z-A9J8-01A-11D-A42I-01	-0.942000	0.100000
TCGA-2Z-A9J9-01A-11D-A42I-01	-0.100000	0.100000
TCGA-2Z-A9JD-01A-11D-A42I-01	-0.100000	0.855000
TCGA-2Z-A9JE-01A-11D-A42I-01	-0.100000	1.717000
TCGA-2Z-A9JG-01A-11D-A42I-01	-0.752000	1.169000
TCGA-2Z-A9JI-01A-11D-A42I-01	-0.519000	0.536000
TCGA-2Z-A9JJ-01A-11D-A42I-01	-0.854000	0.789000
TCGA-2Z-A9JK-01A-11D-A42I-01	-0.612000	0.100000
TCGA-2Z-A9JL-01A-11D-A42I-01	-0.100000	0.840000
TCGA-2Z-A9JM-01A-12D-A42I-01	-0.740000	1.218000
TCGA-2Z-A9JN-01A-21D-A42I-01	-0.100000	0.100000
TCGA-2Z-A9JO-01A-11D-A42I-01	-0.100000	0.100000
TCGA-2Z-A9JP-01A-11D-A42I-01	-0.932000	0.897000
TCGA-2Z-A9JQ-01A-11D-A42I-01	-0.100000	1.749000
TCGA-2Z-A9JR-01A-12D-A42I-01	-0.100000	1.472000
TCGA-2Z-A9JS-01A-21D-A42I-01	-0.100000	0.863000
TCGA-2Z-A9JT-01A-11D-A42I-01	-0.726000	0.676000
TCGA-3Z-A93Z-01A-11D-A36W-01	-0.532000	0.516000
TCGA-4A-A93W-01A-11D-A36W-01	-0.100000	0.942000
TCGA-4A-A93X-01A-11D-A36W-01	-0.704000	0.665000
TCGA-4A-A93Y-01A-11D-A36W-01	-0.100000	0.100000
TCGA-5P-A9JU-01A-11D-A42I-01	-0.904000	0.835000
TCGA-5P-A9JV-01A-12D-A42I-01	-0.570000	0.100000
TCGA-5P-A9JW-01A-11D-A42I-01	-0.723000	0.659000
TCGA-5P-A9JY-01A-11D-A42I-01	-0.676000	0.900000
TCGA-5P-A9JZ-01A-11D-A42I-01	-0.100000	0.821000
TCGA-5P-A9K0-01A-11D-A42I-01	-0.100000	0.902000
TCGA-5P-A9K2-01A-11D-A42I-01	-0.100000	0.848000
TCGA-5P-A9K3-01A-11D-A42I-01	-0.799000	0.708000
TCGA-5P-A9K4-01A-11D-A42I-01	-0.100000	1.698000
TCGA-5P-A9K6-01A-11D-A42I-01	-0.100000	1.302000
TCGA-5P-A9K8-01A-11D-A42I-01	-0.865000	0.100000
TCGA-5P-A9K9-01A-11D-A42I-01	-0.545000	0.921000
TCGA-5P-A9KA-01A-11D-A42I-01	-0.100000	0.713000
TCGA-5P-A9KC-01A-11D-A42I-01	-0.632000	0.636000
TCGA-5P-A9KE-01A-11D-A42I-01	-0.100000	0.708000
TCGA-5P-A9KH-01A-11D-A42I-01	-0.939000	0.100000
TCGA-6D-AA2E-01A-11D-A36W-01	-0.100000	0.100000
TCGA-A3-3306-01A-01D-0858-01	-0.797000	0.705000
TCGA-A3-3307-01A-01D-0858-01	-0.610000	0.100000
TCGA-A3-3308-01A-02D-1322-01	-0.100000	0.852000
TCGA-A3-3311-01A-02D-1322-01	-0.598000	0.249000
TCGA-A3-3313-01A-02D-1322-01	-0.761000	3.105000
TCGA-A3-3316-01A-01D-0858-01	-0.505000	0.466000
TCGA-A3-3317-01A-02D-1322-01	-0.513000	0.502000
TCGA-A3-3319-01A-02D-1322-01	-0.656000	1.178000
TCGA-A3-3320-01A-02D-1322-01	-0.786000	0.100000
TCGA-A3-3322-01A-02D-1322-01	-0.805000	0.800000
TCGA-A3-3323-01A-01D-0858-01	-0.643000	0.100000
TCGA-A3-3324-01A-02D-1322-01	-0.589000	0.551000
TCGA-A3-3325-01A-01D-0858-01	-0.480000	0.399000
TCGA-A3-3326-01A-01D-0858-01	-0.100000	0.100000
TCGA-A3-3331-01A-02D-1322-01	-0.604000	0.507000
TCGA-A3-3335-01A-01D-0858-01	-0.696000	0.100000
TCGA-A3-3336-01A-01D-0858-01	-0.692000	0.922000
TCGA-A3-3343-01A-01D-0858-01	-0.100000	0.734000
TCGA-A3-3346-01A-01D-0858-01	-0.597000	0.371000
TCGA-A3-3347-01A-02D-1322-01	-0.406000	0.419000
TCGA-A3-3349-01A-01D-1185-01	-0.100000	0.100000
TCGA-A3-3351-01A-02D-1322-01	-0.597000	0.551000
TCGA-A3-3352-01A-01D-0858-01	-0.700000	0.649000
TCGA-A3-3357-01A-02D-1417-01	-0.624000	0.588000
