# Using amp_thresh=0.10, del_thresh=0.10
Sample	Low	High
TCGA-05-4244-01A-01D-1877-01	-0.678000	1.152000
TCGA-05-4249-01A-01D-1877-01	-0.651000	0.828000
TCGA-05-4250-01A-01D-1877-01	-0.459000	0.928000
TCGA-05-4382-01A-01D-1204-01	-0.321000	0.402000
TCGA-05-4384-01A-01D-1752-01	-0.559000	0.597000
TCGA-05-4389-01A-01D-1204-01	-0.553000	0.688000
TCGA-05-4390-01A-02D-1752-01	-0.693000	2.020000
TCGA-05-4395-01A-01D-1204-01	-0.586000	2.349000
TCGA-05-4396-01A-21D-1854-01	-0.922000	0.100000
TCGA-05-4397-01A-01D-1204-01	-0.937000	0.599000
TCGA-05-4398-01A-01D-1204-01	-0.551000	1.435000
TCGA-05-4402-01A-01D-1204-01	-0.479000	0.654000
TCGA-05-4403-01A-01D-1204-01	-0.100000	0.914000
TCGA-05-4405-01A-21D-1854-01	-0.535000	1.427000
TCGA-05-4410-01A-21D-1854-01	-0.510000	0.818000
TCGA-05-4415-01A-22D-1854-01	-0.756000	0.994000
TCGA-05-4417-01A-22D-1854-01	-0.456000	0.788000
TCGA-05-4418-01A-01D-1204-01	-0.513000	0.504000
TCGA-05-4420-01A-01D-1204-01	-0.643000	1.012000
TCGA-05-4422-01A-01D-1204-01	-0.770000	0.723000
TCGA-05-4424-01A-22D-1854-01	-0.449000	0.568000
TCGA-05-4425-01A-01D-1752-01	-0.756000	0.687000
TCGA-05-4426-01A-01D-1204-01	-0.773000	1.303000
TCGA-05-4427-01A-21D-1854-01	-0.690000	0.839000
TCGA-05-4430-01A-02D-1204-01	-0.305000	1.053000
TCGA-05-4432-01A-01D-1204-01	-0.520000	0.702000
TCGA-05-4433-01A-22D-1854-01	-0.716000	0.100000
TCGA-05-4434-01A-01D-1204-01	-0.425000	0.312000
TCGA-05-5420-01A-01D-1624-01	-0.269000	0.660000
TCGA-05-5423-01A-01D-1624-01	-0.705000	1.527000
TCGA-05-5425-01A-02D-1624-01	-0.508000	0.948000
TCGA-05-5428-01A-01D-1624-01	-0.603000	1.113000
TCGA-05-5429-01A-01D-1624-01	-0.838000	0.571000
TCGA-05-5715-01A-01D-1624-01	-0.887000	0.797000
TCGA-35-3615-01A-01D-0944-01	-0.101000	0.853000
TCGA-35-4122-01A-01D-1877-01	-0.383000	0.491000
TCGA-35-4123-01A-01D-1877-01	-0.455000	0.380000
TCGA-35-5375-01A-01D-1624-01	-0.849000	1.618000
TCGA-38-4625-01A-01D-1204-01	-0.426000	0.933000
TCGA-38-4626-01A-01D-1204-01	-0.100000	0.661000
TCGA-38-4627-01A-01D-1549-01	-0.318000	0.383000
TCGA-38-4628-01A-01D-1204-01	-0.675000	0.753000
TCGA-38-4629-01A-02D-1204-01	-0.343000	0.930000
TCGA-38-4630-01A-01D-1204-01	-1.393000	0.737000
TCGA-38-4631-01A-01D-1752-01	-0.535000	0.644000
TCGA-38-4632-01A-01D-1752-01	-0.533000	1.318000
TCGA-38-6178-01A-11D-1752-01	-0.605000	0.915000
TCGA-38-7271-01A-11D-2035-01	-0.100000	0.443000
TCGA-38-A44F-01A-11D-A24C-01	-0.238000	0.216000
TCGA-44-2655-01A-01D-0944-01	-0.409000	0.313000
TCGA-44-2656-01A-02D-A273-01	-0.427000	0.937000
TCGA-44-2657-01A-01D-1877-01	-0.334000	0.297000
TCGA-44-2659-01A-01D-0944-01	-0.822000	2.914000
TCGA-44-2661-01A-01D-1877-01	-0.333000	0.351000
TCGA-44-2662-01A-01D-A273-01	-0.554000	3.500000
TCGA-44-2665-01A-01D-A273-01	-0.553000	0.910000
TCGA-44-2666-01A-01D-A273-01	-0.624000	0.100000
TCGA-44-2668-01A-01D-A273-01	-0.418000	0.655000
TCGA-44-3396-01A-01D-1204-01	-0.116000	0.456000
TCGA-44-3398-01A-01D-1877-01	-0.294000	0.291000
TCGA-44-3917-01A-01D-A273-01	-0.373000	1.044000
TCGA-44-3918-01A-01D-A273-01	-0.627000	0.714000
TCGA-44-3919-01A-02D-1877-01	-0.642000	0.664000
TCGA-44-4112-01A-01D-A273-01	-0.668000	0.692000
TCGA-44-5643-01A-01D-1624-01	-0.622000	2.034000
TCGA-44-5644-01A-21D-2035-01	-0.571000	1.813000
TCGA-44-5645-01A-01D-A273-01	-0.100000	0.685000
TCGA-44-6144-01A-11D-1752-01	-0.483000	1.049000
TCGA-44-6145-01A-11D-1752-01	-0.339000	0.360000
TCGA-44-6146-01A-11D-A273-01	-0.859000	0.233000
TCGA-44-6147-01A-11D-A273-01	-0.440000	1.241000
TCGA-44-6148-01A-11D-1752-01	-0.100000	0.699000
TCGA-44-6774-01A-21D-1854-01	-0.433000	0.798000
TCGA-44-6775-01A-11D-A273-01	-0.628000	1.157000
TCGA-44-6776-01A-11D-1854-01	-0.774000	0.741000
TCGA-44-6777-01A-11D-1854-01	-0.352000	2.172000
TCGA-44-6778-01A-11D-1854-01	-0.418000	0.738000
TCGA-44-6779-01A-11D-1854-01	-0.452000	1.048000
TCGA-44-7659-01A-11D-2062-01	-0.703000	0.656000
TCGA-44-7660-01A-11D-2062-01	-0.635000	0.906000
TCGA-44-7661-01A-11D-2062-01	-0.236000	0.372000
TCGA-44-7662-01A-11D-2062-01	-0.439000	0.845000
TCGA-44-7667-01A-31D-2062-01	-0.567000	0.686000
TCGA-44-7669-01A-21D-2062-01	-0.527000	0.792000
TCGA-44-7670-01A-11D-2062-01	-1.393000	1.358000
TCGA-44-7671-01A-11D-2062-01	-0.550000	0.593000
TCGA-44-7672-01A-11D-2062-01	-0.327000	0.409000
TCGA-44-8117-01A-11D-2237-01	-1.040000	0.919000
TCGA-44-8119-01A-11D-2237-01	-0.524000	1.657000
TCGA-44-8120-01A-11D-2237-01	-0.563000	0.654000
TCGA-44-A479-01A-31D-A24C-01	-0.260000	0.477000
TCGA-44-A47A-01A-21D-A24C-01	-0.200000	1.183000
TCGA-44-A47B-01A-11D-A24C-01	-0.495000	0.695000
TCGA-44-A47F-01A-11D-A24C-01	-0.601000	0.664000
TCGA-44-A47G-01A-21D-A24C-01	-0.212000	0.239000
TCGA-44-A4SS-01A-11D-A24O-01	-0.284000	0.294000
TCGA-44-A4SU-01A-11D-A24O-01	-0.582000	0.920000
TCGA-49-4486-01A-01D-1204-01	-0.856000	0.823000
TCGA-49-4487-01A-21D-1854-01	-0.281000	0.472000
TCGA-49-4488-01A-01D-1752-01	-0.817000	1.348000
TCGA-49-4490-01A-21D-1854-01	-0.661000	1.018000
TCGA-49-4494-01A-01D-1204-01	-0.410000	1.139000
TCGA-49-4501-01A-01D-1204-01	-0.783000	0.559000
TCGA-49-4505-01A-01D-1204-01	-0.757000	0.817000
