# Using amp_thresh=0.10, del_thresh=0.10
Sample	Low	High
TCGA-18-3406-01A-01D-0978-01	-0.581000	0.760000
TCGA-18-3407-01A-01D-1969-01	-0.473000	0.815000
TCGA-18-3408-01A-01D-0978-01	-0.858000	1.029000
TCGA-18-3409-01A-01D-0978-01	-0.688000	0.567000
TCGA-18-3410-01A-01D-1969-01	-0.651000	1.630000
TCGA-18-3411-01A-01D-1969-01	-0.804000	1.064000
TCGA-18-3412-01A-01D-0978-01	-0.987000	3.757000
TCGA-18-3414-01A-01D-0978-01	-0.889000	2.174000
TCGA-18-3415-01A-01D-0978-01	-0.469000	0.482000
TCGA-18-3416-01A-01D-0978-01	-0.512000	0.671000
TCGA-18-3417-01A-01D-1439-01	-0.360000	1.556000
TCGA-18-3419-01A-01D-0978-01	-0.682000	0.834000
TCGA-18-3421-01A-01D-0978-01	-0.502000	0.989000
TCGA-18-4083-01A-01D-1097-01	-0.520000	1.230000
TCGA-18-4086-01A-01D-1097-01	-0.700000	0.646000
TCGA-18-4721-01A-01D-1439-01	-0.459000	0.227000
TCGA-18-5592-01A-01D-1631-01	-0.893000	1.496000
TCGA-18-5595-01A-01D-1631-01	-0.967000	0.349000
TCGA-21-1070-01A-01D-0685-01	-0.430000	0.359000
TCGA-21-1071-01A-01D-0685-01	-0.584000	0.823000
TCGA-21-1072-01A-01D-0685-01	-0.562000	0.965000
TCGA-21-1075-01A-01D-0685-01	-0.639000	1.499000
TCGA-21-1076-01A-02D-0685-01	-0.264000	0.542000
TCGA-21-1077-01A-01D-0685-01	-0.482000	0.815000
TCGA-21-1078-01A-01D-0685-01	-1.050000	0.100000
TCGA-21-1079-01A-01D-0685-01	-0.573000	1.265000
TCGA-21-1080-01A-01D-0685-01	-0.833000	1.455000
TCGA-21-1081-01A-01D-0685-01	-0.212000	1.574000
TCGA-21-1082-01A-01D-0685-01	-0.682000	0.923000
TCGA-21-1083-01A-01D-0685-01	-1.393000	0.712000
TCGA-21-5782-01A-01D-1631-01	-0.606000	1.442000
TCGA-21-5783-01A-41D-2183-01	-0.538000	1.523000
TCGA-21-5784-01A-01D-1631-01	-0.264000	0.680000
TCGA-21-5786-01A-01D-1631-01	-0.425000	2.508000
TCGA-21-5787-01A-01D-1631-01	-0.707000	0.885000
TCGA-21-A5DI-01A-31D-A26L-01	-0.363000	1.313000
TCGA-22-0940-01A-01D-0685-01	-0.493000	0.775000
TCGA-22-0944-01A-01D-0685-01	-0.685000	1.020000
TCGA-22-1000-01A-01D-0685-01	-0.281000	0.298000
TCGA-22-1002-01A-01D-0685-01	-0.447000	0.627000
TCGA-22-1005-01A-01D-0685-01	-0.214000	0.100000
TCGA-22-1011-01A-01D-0685-01	-0.279000	0.492000
TCGA-22-1012-01A-01D-0685-01	-0.438000	1.663000
TCGA-22-1016-01A-01D-0685-01	-0.479000	0.482000
TCGA-22-1017-01A-01D-0685-01	-0.392000	0.617000
TCGA-22-4591-01A-01D-1195-01	-1.138000	3.757000
TCGA-22-4593-01A-21D-1816-01	-0.426000	1.996000
TCGA-22-4594-01A-01D-1195-01	-0.539000	0.551000
TCGA-22-4595-01A-01D-1195-01	-0.299000	0.921000
TCGA-22-4596-01A-01D-1195-01	-0.313000	0.691000
TCGA-22-4599-01A-01D-1439-01	-0.471000	1.564000
TCGA-22-4601-01A-01D-1969-01	-0.833000	1.185000
TCGA-22-4604-01A-01D-1195-01	-0.551000	2.217000
TCGA-22-4605-01A-21D-2121-01	-0.396000	0.566000
TCGA-22-4607-01A-01D-1195-01	-0.711000	0.716000
TCGA-22-4609-01A-21D-2121-01	-0.508000	0.745000
TCGA-22-4613-01A-01D-1439-01	-0.686000	0.936000
TCGA-22-5471-01A-01D-1631-01	-0.399000	1.266000
TCGA-22-5472-01A-01D-1631-01	-0.681000	0.701000
TCGA-22-5473-01A-01D-1631-01	-0.464000	0.832000
TCGA-22-5474-01A-01D-1631-01	-0.531000	0.774000
TCGA-22-5477-01A-01D-1631-01	-0.706000	1.923000
TCGA-22-5478-01A-01D-1631-01	-0.597000	1.419000
TCGA-22-5479-01A-31D-1943-01	-0.333000	0.621000
TCGA-22-5480-01A-01D-1631-01	-0.644000	0.838000
TCGA-22-5481-01A-31D-1943-01	-0.549000	0.533000
TCGA-22-5482-01A-01D-1631-01	-0.800000	1.378000
TCGA-22-5483-01A-01D-1816-01	-1.393000	0.740000
TCGA-22-5485-01A-01D-1631-01	-1.393000	1.502000
TCGA-22-5489-01A-01D-1631-01	-0.532000	1.000000
TCGA-22-5491-01A-01D-1631-01	-0.787000	1.926000
TCGA-22-5492-01A-01D-1631-01	-0.671000	0.656000
TCGA-22-A5C4-01A-12D-A27J-01	-0.900000	1.489000
TCGA-33-4532-01A-01D-1195-01	-0.727000	1.229000
TCGA-33-4533-01A-01D-1195-01	-0.849000	1.136000
TCGA-33-4538-01A-01D-1195-01	-0.526000	0.530000
TCGA-33-4547-01A-01D-1195-01	-0.616000	0.601000
TCGA-33-4566-01A-01D-1439-01	-0.604000	1.058000
TCGA-33-4582-01A-01D-1439-01	-0.741000	0.963000
TCGA-33-4583-01A-01D-1439-01	-0.647000	0.824000
TCGA-33-4586-01A-01D-1439-01	-0.436000	1.676000
TCGA-33-4587-01A-11D-2121-01	-0.969000	0.894000
TCGA-33-4589-01A-01D-1439-01	-0.399000	0.512000
TCGA-33-6737-01A-11D-1816-01	-0.486000	1.029000
TCGA-33-6738-01A-11D-1943-01	-0.694000	0.726000
TCGA-33-A4WN-01A-11D-A25M-01	-0.500000	0.656000
TCGA-33-A5GW-01A-11D-A27J-01	-0.895000	1.062000
TCGA-33-AAS8-01A-11D-A400-01	-0.693000	0.258000
TCGA-33-AASB-01A-11D-A400-01	-0.782000	0.943000
TCGA-33-AASD-01A-11D-A400-01	-0.616000	1.437000
TCGA-33-AASI-01A-22D-A400-01	-0.540000	0.553000
TCGA-33-AASJ-01A-11D-A400-01	-0.737000	1.097000
TCGA-33-AASL-01A-11D-A400-01	-0.511000	0.544000
TCGA-34-2596-01A-01D-0844-01	-0.348000	2.283000
TCGA-34-2600-01A-01D-0844-01	-0.706000	2.037000
TCGA-34-2604-01A-01D-0844-01	-0.324000	0.497000
TCGA-34-2605-01A-01D-0844-01	-0.609000	1.381000
TCGA-34-2608-01A-02D-0844-01	-0.389000	0.658000
TCGA-34-2609-01A-01D-0844-01	-0.628000	0.675000
TCGA-34-5231-01A-21D-1816-01	-0.558000	0.725000
TCGA-34-5232-01A-21D-1816-01	-0.388000	0.445000
TCGA-34-5234-01A-01D-1631-01	-0.100000	0.272000
TCGA-34-5236-01A-21D-1816-01	-0.450000	0.614000
TCGA-34-5239-01A-21D-1816-01	-0.459000	0.725000
TCGA-34-5240-01A-01D-1439-01	-0.100000	2.950000
TCGA-34-5241-01A-01D-1439-01	-0.296000	0.672000
TCGA-34-5927-01A-11D-1816-01	-0.832000	0.802000
TCGA-34-5928-01A-11D-1816-01	-0.455000	1.606000
TCGA-34-5929-01A-11D-1816-01	-0.780000	0.790000
TCGA-34-7107-01A-11D-1943-01	-0.515000	0.774000
TCGA-34-8454-01A-11D-2322-01	-0.518000	0.457000
TCGA-34-8455-01A-11D-2322-01	-0.519000	0.905000
TCGA-34-8456-01A-21D-2322-01	-0.577000	1.153000
TCGA-34-A5IX-01A-12D-A27J-01	-0.346000	0.821000
TCGA-37-3783-01A-01D-1195-01	-0.481000	0.867000
TCGA-37-3789-01A-01D-0978-01	-0.723000	0.674000
TCGA-37-3792-01A-01D-1969-01	-0.424000	0.882000
TCGA-37-4129-01A-01D-1969-01	-0.587000	0.100000
TCGA-37-4130-01A-01D-1969-01	-0.637000	1.841000
TCGA-37-4132-01A-01D-1969-01	-0.709000	1.763000
TCGA-37-4133-01A-01D-1097-01	-1.039000	2.085000
TCGA-37-4135-01A-01D-1969-01	-0.730000	3.757000
TCGA-37-4141-01A-02D-1969-01	-0.736000	1.104000
TCGA-37-5819-01A-01D-1631-01	-0.675000	0.691000
TCGA-37-A5EL-01A-11D-A26L-01	-0.670000	3.757000
TCGA-37-A5EN-01A-21D-A26L-01	-0.652000	0.958000
TCGA-39-5011-01A-01D-1439-01	-0.248000	0.520000
TCGA-39-5016-01A-01D-1439-01	-0.421000	0.693000
TCGA-39-5019-01A-01D-1816-01	-0.346000	0.812000
TCGA-39-5021-01A-01D-1439-01	-0.404000	1.225000
TCGA-39-5022-01A-21D-1816-01	-0.223000	0.601000
TCGA-39-5024-01A-21D-1816-01	-0.408000	1.552000
TCGA-39-5027-01A-21D-1816-01	-0.669000	0.845000
TCGA-39-5028-01A-01D-1439-01	-0.405000	0.454000
TCGA-39-5029-01A-01D-1439-01	-0.637000	1.468000
TCGA-39-5030-01A-01D-1439-01	-0.357000	0.587000
TCGA-39-5031-01A-01D-1439-01	-0.549000	1.432000
TCGA-39-5034-01A-01D-1439-01	-0.473000	1.927000
TCGA-39-5035-01A-01D-1439-01	-0.423000	1.323000
TCGA-39-5036-01A-01D-1439-01	-0.511000	0.769000
TCGA-39-5037-01A-01D-1439-01	-0.576000	2.254000
TCGA-39-5039-01A-01D-1439-01	-0.289000	0.624000
TCGA-39-5040-01A-21D-2121-01	-0.867000	0.838000
TCGA-43-2576-01A-01D-0844-01	-0.449000	0.541000
TCGA-43-2578-01A-01D-1969-01	-0.509000	1.123000
TCGA-43-2581-01A-01D-0844-01	-0.557000	0.317000
TCGA-43-3394-01A-01D-1549-01	-0.656000	2.870000
TCGA-43-3920-01A-01D-1549-01	-0.492000	1.499000
TCGA-43-5668-01A-01D-1631-01	-0.488000	0.592000
TCGA-43-5670-01A-21D-2121-01	-0.240000	1.006000
TCGA-43-6143-01A-11D-1816-01	-0.720000	1.183000
TCGA-43-6647-01A-11D-1816-01	-0.244000	0.493000
TCGA-43-6770-01A-11D-1816-01	-0.702000	1.220000
TCGA-43-6771-01A-11D-1816-01	-0.537000	0.980000
TCGA-43-6773-01A-41D-1943-01	-0.205000	0.314000
TCGA-43-7656-01A-11D-2121-01	-0.662000	0.871000
TCGA-43-7657-01A-31D-2121-01	-0.521000	2.038000
