Arm	# Genes	Amp frequency	Amp z-score	Amp q-value	Del Frequency	Del z-score	Del q-value
1p	1300	0.32	2.44	0.0376	0.17	-4.95	1
1q	1195	0.40	5.75	5.93e-08	0.14	-6.44	1
2p	624	0.34	-1.25	1	0.16	-8.55	1
2q	967	0.28	-1.71	1	0.17	-6.89	1
3p	644	0.31	-2.27	1	0.26	-4.32	1
3q	733	0.50	7.23	4.85e-12	0.19	-6.17	1
4p	289	0.21	-6.5	1	0.61	9.49	0
4q	670	0.14	-6.56	1	0.66	14.9	0
5p	183	0.38	-1.81	1	0.43	0.123	0.711
5q	905	0.15	-7.06	1	0.45	5.84	6.4e-09
6p	710	0.39	1.38	0.287	0.42	2.85	0.00407
6q	556	0.28	-3.61	1	0.51	6.16	9.11e-10
7p	389	0.38	-0.921	1	0.32	-3.21	1
7q	783	0.40	2.57	0.0301	0.22	-5	1
8p	338	0.33	-2.58	1	0.63	10.2	0
8q	551	0.49	5.28	5.24e-07	0.31	-2.44	1
9p	301	0.24	-5.85	1	0.56	6.93	5.79e-12
9q	700	0.14	-7.69	1	0.54	8.88	0
10p	253	0.36	-2.33	1	0.30	-4.78	1
10q	738	0.23	-5.13	1	0.28	-3.36	1
11p	509	0.17	-8.37	1	0.41	1.3	0.172
11q	975	0.25	-3.17	1	0.33	0.566	0.469
12p	339	0.49	4.11	0.000136	0.29	-4.35	1
12q	904	0.37	1.77	0.144	0.28	-2.01	1
13q	560	0.22	-5.23	1	0.60	10.5	0
14q	938	0.16	-6.72	1	0.42	4.6	4.23e-06
15q	810	0.12	-7.85	1	0.52	8.84	0
16p	559	0.21	-5.1	1	0.65	13.1	0
16q	455	0.19	-5.26	1	0.76	17.7	0
17p	415	0.17	-4.48	1	0.86	22.7	0
17q	972	0.19	-3.71	1	0.72	20.2	0
18p	104	0.31	-4.61	1	0.53	4.01	5.86e-05
18q	275	0.22	-6.69	1	0.57	7.18	1.05e-12
19p	681	0.41	2.12	0.0704	0.47	4.75	2.24e-06
19q	935	0.38	2.25	0.0557	0.44	5.32	1.17e-07
20p	234	0.54	5.53	1.6e-07	0.20	-7.74	1
20q	448	0.59	9.73	0	0.15	-7.85	1
21q	258	0.28	-5.26	1	0.43	0.738	0.393
22q	564	0.16	-5.47	1	0.78	19.6	0
Xp	418	0.29	-3.42	1	0.66	12.4	0
Xq	668	0.31	-1.73	1	0.62	12.3	0
