# Using amp_thresh=0.10, del_thresh=0.10
Sample	Low	High
TCGA-04-1331-01A-01D-0428-01	-0.865000	0.342000
TCGA-04-1332-01A-01D-0428-01	-0.733000	0.561000
TCGA-04-1335-01A-01D-0428-01	-0.897000	0.855000
TCGA-04-1336-01A-01D-0428-01	-0.975000	0.871000
TCGA-04-1337-01A-01D-0428-01	-0.530000	1.930000
TCGA-04-1338-01A-01D-0428-01	-0.651000	0.827000
TCGA-04-1341-01A-01D-0428-01	-1.144000	1.312000
TCGA-04-1342-01A-01D-0428-01	-0.858000	1.028000
TCGA-04-1343-01A-01D-0428-01	-1.072000	1.253000
TCGA-04-1346-01A-01D-0428-01	-0.527000	1.208000
TCGA-04-1347-01A-01D-0428-01	-1.032000	1.639000
TCGA-04-1348-01A-01D-0452-01	-1.015000	0.100000
TCGA-04-1349-01A-01D-0452-01	-1.270000	3.757000
TCGA-04-1350-01A-01D-0452-01	-0.825000	1.402000
TCGA-04-1351-01A-01D-0452-01	-1.032000	3.757000
TCGA-04-1353-01A-01D-1043-01	-0.983000	0.935000
TCGA-04-1356-01A-01D-0452-01	-1.393000	1.366000
TCGA-04-1357-01A-01D-0452-01	-0.592000	1.106000
TCGA-04-1360-01A-01D-0452-01	-1.393000	2.237000
TCGA-04-1361-01A-01D-0452-01	-0.875000	0.977000
TCGA-04-1362-01A-01D-0452-01	-1.352000	3.757000
TCGA-04-1364-01A-01D-0452-01	-1.393000	3.757000
TCGA-04-1365-01A-01D-0452-01	-1.008000	0.868000
TCGA-04-1367-01A-01D-0452-01	-1.393000	1.198000
TCGA-04-1371-01A-01D-0452-01	-1.393000	1.353000
TCGA-04-1514-01A-01D-0497-01	-1.339000	0.936000
TCGA-04-1516-01A-01D-1043-01	-0.800000	1.147000
TCGA-04-1517-01A-01D-0533-01	-1.019000	1.306000
TCGA-04-1519-01A-01D-0533-01	-1.073000	1.260000
TCGA-04-1525-01A-01D-0533-01	-0.737000	1.380000
TCGA-04-1530-01A-02D-0497-01	-0.461000	0.654000
TCGA-04-1536-01A-01D-0533-01	-1.082000	1.683000
TCGA-04-1542-01A-01D-0497-01	-0.673000	1.520000
TCGA-04-1638-01A-01D-0577-01	-1.074000	0.312000
TCGA-04-1644-01B-01D-1043-01	-0.970000	0.977000
TCGA-04-1646-01A-01D-0577-01	-0.879000	1.664000
TCGA-04-1648-01A-01D-0577-01	-1.154000	0.721000
TCGA-04-1649-01A-01D-0577-01	-1.114000	0.754000
TCGA-04-1651-01A-01D-0577-01	-0.988000	0.100000
TCGA-04-1652-01A-01D-0577-01	-1.256000	1.034000
TCGA-04-1654-01A-02D-0648-01	-0.958000	1.671000
TCGA-04-1655-01A-01D-0559-01	-1.147000	1.328000
TCGA-09-0364-01A-02D-0356-01	-0.667000	1.093000
TCGA-09-0365-01A-02D-0356-01	-1.064000	1.275000
TCGA-09-0366-01A-01D-0356-01	-1.075000	0.586000
TCGA-09-0367-01A-01D-0356-01	-0.686000	0.798000
TCGA-09-0369-01A-01D-0356-01	-0.562000	1.732000
TCGA-09-1659-01B-01D-0533-01	-0.606000	0.893000
TCGA-09-1661-01B-01D-0533-01	-1.393000	2.439000
TCGA-09-1662-01A-01D-0533-01	-0.932000	0.864000
TCGA-09-1664-01A-01D-0577-01	-1.011000	0.100000
TCGA-09-1665-01B-01D-0533-01	-0.995000	1.238000
TCGA-09-1666-01A-01D-0533-01	-1.029000	0.356000
TCGA-09-1667-01C-01D-0533-01	-0.855000	1.158000
TCGA-09-1668-01B-01D-0533-01	-0.722000	0.783000
TCGA-09-1669-01A-01D-0533-01	-0.999000	0.906000
TCGA-09-1670-01A-01D-0559-01	-0.765000	0.851000
TCGA-09-1672-01A-01D-0559-01	-0.673000	1.067000
TCGA-09-1673-01A-01D-0559-01	-1.011000	1.638000
TCGA-09-1674-01A-01D-0559-01	-0.817000	1.711000
TCGA-09-1675-01B-01D-0559-01	-1.080000	1.003000
TCGA-09-2043-01A-01D-0704-01	-0.971000	1.553000
TCGA-09-2044-01B-01D-0704-01	-0.954000	0.775000
TCGA-09-2045-01A-01D-0704-01	-1.018000	0.947000
TCGA-09-2048-01A-01D-0704-01	-1.043000	0.967000
TCGA-09-2049-01D-01D-0704-01	-0.813000	1.186000
TCGA-09-2050-01A-01D-0704-01	-0.999000	0.887000
TCGA-09-2051-01A-01D-0704-01	-0.658000	0.985000
TCGA-09-2053-01C-01D-0663-01	-0.886000	1.096000
TCGA-09-2054-01A-01D-0663-01	-1.333000	1.359000
TCGA-09-2055-01B-01D-0704-01	-0.889000	0.795000
TCGA-09-2056-01B-01D-0663-01	-0.982000	0.987000
TCGA-10-0925-01B-01D-0648-01	-1.074000	1.054000
TCGA-10-0926-01A-01D-0399-01	-1.317000	3.757000
TCGA-10-0927-01A-02D-0399-01	-1.237000	1.675000
TCGA-10-0928-01A-02D-0399-01	-1.040000	0.942000
TCGA-10-0930-01A-02D-0399-01	-1.393000	0.899000
TCGA-10-0931-01A-01D-0399-01	-1.043000	1.096000
TCGA-10-0933-01A-01D-0399-01	-1.071000	3.420000
TCGA-10-0934-01A-02D-0399-01	-0.100000	0.100000
TCGA-10-0935-01A-03D-0399-01	-0.739000	2.245000
TCGA-10-0936-01A-01D-0399-01	-0.778000	2.187000
TCGA-10-0937-01A-02D-0399-01	-1.012000	1.689000
TCGA-10-0938-01A-02D-0399-01	-1.044000	2.157000
TCGA-13-0714-01A-01D-0356-01	-0.851000	0.745000
TCGA-13-0717-01A-01D-0356-01	-0.985000	1.125000
TCGA-13-0720-01A-01D-0356-01	-1.075000	0.435000
TCGA-13-0723-01A-02D-0356-01	-1.048000	0.690000
TCGA-13-0724-01A-01D-0356-01	-0.927000	1.016000
TCGA-13-0725-01A-01D-0356-01	-0.862000	0.823000
TCGA-13-0726-01A-01D-0356-01	-0.814000	1.448000
TCGA-13-0727-01A-01D-0356-01	-0.788000	3.319000
TCGA-13-0730-01A-01D-0356-01	-1.014000	1.658000
TCGA-13-0751-01A-01D-0356-01	-0.509000	2.074000
TCGA-13-0755-01A-01D-0356-01	-0.939000	0.818000
TCGA-13-0757-01A-01D-0356-01	-0.921000	1.517000
TCGA-13-0758-01A-01D-0356-01	-0.818000	0.242000
TCGA-13-0760-01A-01D-0356-01	-1.051000	1.359000
TCGA-13-0761-01A-01D-0356-01	-0.873000	0.615000
TCGA-13-0762-01A-01D-0356-01	-1.053000	1.341000
TCGA-13-0764-01A-03D-0356-01	-0.911000	1.478000
TCGA-13-0766-01A-02D-0356-01	-0.773000	1.083000
TCGA-13-0768-01A-01D-0356-01	-0.323000	0.507000
TCGA-13-0791-01A-01D-0356-01	-0.915000	0.248000
TCGA-13-0792-01A-01D-0356-01	-0.600000	1.642000
TCGA-13-0793-01A-01D-0356-01	-0.794000	0.563000
TCGA-13-0794-01A-01D-0356-01	-0.978000	0.712000
TCGA-13-0795-01A-01D-0356-01	-0.608000	1.029000
TCGA-13-0797-01A-01D-0356-01	-0.943000	0.786000
TCGA-13-0799-01A-01D-0356-01	-0.971000	0.857000
TCGA-13-0800-01A-01D-0356-01	-0.744000	3.757000
TCGA-13-0801-01A-01D-0356-01	-0.915000	0.910000
TCGA-13-0802-01A-01D-0356-01	-1.393000	1.006000
TCGA-13-0803-01A-01D-0356-01	-0.862000	0.720000
TCGA-13-0804-01A-01D-0356-01	-0.900000	0.771000
TCGA-13-0805-01A-01D-0356-01	-0.836000	0.816000
TCGA-13-0807-01B-02D-0399-01	-1.295000	0.935000
TCGA-13-0883-01A-02D-0399-01	-0.819000	2.281000
TCGA-13-0884-01B-01D-0452-01	-0.823000	1.207000
TCGA-13-0885-01A-02D-0399-01	-1.168000	1.416000
TCGA-13-0886-01A-01D-0399-01	-0.727000	0.720000
TCGA-13-0887-01A-01D-0399-01	-0.950000	0.356000
TCGA-13-0888-01A-01D-0399-01	-1.393000	1.487000
TCGA-13-0889-01A-01D-0399-01	-0.952000	0.846000
TCGA-13-0890-01A-01D-0399-01	-0.613000	1.507000
TCGA-13-0891-01A-01D-0399-01	-1.053000	0.100000
TCGA-13-0893-01B-01D-0452-01	-0.774000	3.757000
TCGA-13-0897-01A-01D-0399-01	-0.956000	1.873000
TCGA-13-0899-01A-01D-0399-01	-0.967000	2.604000
TCGA-13-0900-01B-01D-0452-01	-1.064000	1.029000
TCGA-13-0901-01B-01D-0452-01	-1.393000	1.637000
TCGA-13-0903-01A-01D-0399-01	-1.003000	0.878000
TCGA-13-0904-01A-02D-0399-01	-1.009000	0.743000
TCGA-13-0905-01B-01D-0452-01	-1.074000	1.266000
TCGA-13-0906-01A-01D-0399-01	-0.967000	0.995000
TCGA-13-0908-01B-01D-0452-01	-0.859000	0.862000
TCGA-13-0910-01A-01D-0399-01	-0.917000	0.100000
TCGA-13-0911-01A-01D-0399-01	-0.557000	1.657000
TCGA-13-0912-01A-01D-0399-01	-1.105000	3.757000
TCGA-13-0913-01A-01D-0399-01	-1.393000	1.060000
TCGA-13-0916-01A-01D-0399-01	-0.915000	0.310000
TCGA-13-0919-01A-01D-0399-01	-0.709000	0.928000
TCGA-13-0920-01A-01D-0399-01	-0.893000	0.953000
TCGA-13-0921-01A-01D-0399-01	-0.741000	1.018000
TCGA-13-0923-01A-01D-0399-01	-0.749000	1.629000
TCGA-13-0924-01A-01D-0399-01	-0.746000	0.897000
TCGA-13-1403-01A-01D-0452-01	-1.100000	1.256000
TCGA-13-1404-01A-01D-0452-01	-1.104000	1.181000
TCGA-13-1405-01A-01D-0452-01	-0.839000	0.239000
TCGA-13-1407-01A-01D-0452-01	-0.997000	3.757000
TCGA-13-1408-01A-01D-0452-01	-0.871000	1.077000
TCGA-13-1409-01A-01D-0452-01	-1.183000	0.967000
TCGA-13-1410-01A-01D-0452-01	-0.821000	3.137000
