Arm	# Genes	Amp frequency	Amp z-score	Amp q-value	Del Frequency	Del z-score	Del q-value
1p	1300	0.27	1.2	0.427	0.22	-0.867	1
1q	1195	0.49	10.6	0	0.18	-2.06	1
2p	624	0.20	-2.47	1	0.18	-3.37	1
2q	967	0.20	-1.96	1	0.17	-3.19	1
3p	644	0.21	-2.24	1	0.20	-2.44	1
3q	733	0.22	-1.4	1	0.19	-2.9	1
4p	289	0.20	-2.98	1	0.26	-0.549	1
4q	670	0.16	-3.69	1	0.27	0.401	0.743
5p	183	0.24	-1.48	1	0.29	0.336	0.755
5q	905	0.18	-2.72	1	0.32	2.61	0.0163
6p	710	0.45	7.06	5.82e-12	0.39	4.81	3.86e-06
6q	556	0.19	-2.41	1	0.57	12.5	0
7p	389	0.58	13	0	0.13	-4.19	1
7q	783	0.56	13	0	0.13	-3.92	1
8p	338	0.39	4.3	3.93e-05	0.31	1.29	0.252
8q	551	0.49	9.27	0	0.17	-3.19	1
9p	301	0.11	-4.09	1	0.67	16.7	0
9q	700	0.11	-4.62	1	0.53	11.6	0
10p	253	0.06	-6.06	1	0.58	12.7	0
10q	738	0.02	-6.49	1	0.62	15.5	0
11p	509	0.14	-4.53	1	0.38	4.69	6.22e-06
11q	975	0.12	-4.29	1	0.44	8.1	1.52e-15
12p	339	0.20	-2.98	1	0.21	-2.3	1
12q	904	0.13	-4.85	1	0.21	-1.78	1
13q	560	0.32	2.02	0.0886	0.30	1.44	0.204
14q	938	0.16	-3.21	1	0.34	3.85	0.000244
15q	810	0.27	0.486	1	0.19	-2.53	1
16p	559	0.17	-3.5	1	0.24	-1.11	1
16q	455	0.16	-3.86	1	0.33	2.59	0.0163
17p	415	0.15	-4.27	1	0.39	4.87	3.33e-06
17q	972	0.20	-1.87	1	0.22	-1.15	1
18p	104	0.20	-2.86	1	0.34	2.45	0.0222
18q	275	0.16	-4.1	1	0.31	1.61	0.156
19p	681	0.19	-2.88	1	0.26	0.0134	0.966
19q	935	0.18	-2.64	1	0.24	-0.507	1
20p	234	0.42	6.12	2.79e-09	0.13	-5.03	1
20q	448	0.50	9.76	0	0.06	-6.39	1
21q	258	0.23	-1.92	1	0.23	-1.63	1
22q	564	0.38	4.9	2.5e-06	0.16	-3.62	1
Xp	418	0.15	-4.48	1	0.30	1.21	0.256
Xq	668	0.15	-4.15	1	0.29	1.24	0.256
