# Using amp_thresh=0.10, del_thresh=0.10
Sample	Low	High
TCGA-3N-A9WB-06A-11D-A38F-01	-1.029000	1.677000
TCGA-3N-A9WC-06A-11D-A38F-01	-0.682000	1.609000
TCGA-3N-A9WD-06A-11D-A38F-01	-0.529000	0.588000
TCGA-BF-AAP0-06A-11D-A396-01	-0.349000	0.339000
TCGA-D3-A1Q1-06A-21D-A194-01	-0.715000	1.662000
TCGA-D3-A1Q3-06A-11D-A194-01	-0.100000	0.764000
TCGA-D3-A1Q4-06A-11D-A194-01	-0.614000	1.106000
TCGA-D3-A1Q5-06A-11D-A194-01	-0.746000	0.719000
TCGA-D3-A1Q6-06A-11D-A194-01	-0.510000	0.589000
TCGA-D3-A1Q7-06A-11D-A192-01	-0.471000	0.477000
TCGA-D3-A1Q8-06A-11D-A192-01	-0.649000	0.100000
TCGA-D3-A1Q9-06A-11D-A192-01	-0.746000	0.911000
TCGA-D3-A1QA-06A-11D-A194-01	-1.028000	1.700000
TCGA-D3-A1QB-06A-11D-A192-01	-0.536000	1.774000
TCGA-D3-A2J6-06A-11D-A192-01	-0.740000	1.167000
TCGA-D3-A2J7-06A-11D-A194-01	-0.506000	0.481000
TCGA-D3-A2J8-06A-11D-A194-01	-0.100000	0.441000
TCGA-D3-A2J9-06A-11D-A194-01	-0.100000	0.641000
TCGA-D3-A2JA-06A-11D-A194-01	-0.672000	0.866000
TCGA-D3-A2JB-06A-11D-A194-01	-0.305000	0.277000
TCGA-D3-A2JC-06A-11D-A192-01	-0.533000	0.521000
TCGA-D3-A2JD-06A-11D-A192-01	-0.395000	0.774000
TCGA-D3-A2JE-06A-11D-A371-01	-0.100000	2.254000
TCGA-D3-A2JF-06A-11D-A194-01	-0.570000	0.956000
TCGA-D3-A2JG-06A-11D-A194-01	-0.831000	3.021000
TCGA-D3-A2JH-06A-11D-A194-01	-0.216000	0.322000
TCGA-D3-A2JK-06A-11D-A194-01	-0.726000	0.647000
TCGA-D3-A2JL-06A-11D-A194-01	-0.614000	0.625000
TCGA-D3-A2JN-06A-11D-A194-01	-0.463000	1.005000
TCGA-D3-A2JO-06A-11D-A194-01	-0.548000	0.405000
TCGA-D3-A2JP-06A-11D-A192-01	-0.550000	1.183000
TCGA-D3-A3BZ-06A-12D-A194-01	-0.207000	0.318000
TCGA-D3-A3C1-06A-12D-A194-01	-0.534000	0.514000
TCGA-D3-A3C3-06A-12D-A192-01	-0.534000	1.341000
TCGA-D3-A3C6-06A-12D-A194-01	-0.841000	0.413000
TCGA-D3-A3C7-06A-11D-A194-01	-0.895000	0.891000
TCGA-D3-A3C8-06A-12D-A192-01	-0.217000	0.244000
TCGA-D3-A3CB-06A-11D-A194-01	-0.100000	0.590000
TCGA-D3-A3CC-06A-11D-A192-01	-0.632000	0.462000
TCGA-D3-A3CE-06A-11D-A192-01	-1.393000	1.643000
TCGA-D3-A3CF-06A-11D-A194-01	-0.477000	0.270000
TCGA-D3-A3ML-06A-11D-A219-01	-1.002000	1.545000
TCGA-D3-A3MO-06A-11D-A219-01	-0.954000	0.854000
TCGA-D3-A3MR-06A-11D-A219-01	-0.266000	0.358000
TCGA-D3-A3MU-06A-11D-A219-01	-0.523000	1.714000
TCGA-D3-A3MV-06A-11D-A219-01	-0.252000	1.181000
TCGA-D3-A51E-06A-11D-A25P-01	-0.932000	2.319000
TCGA-D3-A51F-06A-11D-A25P-01	-0.221000	0.100000
TCGA-D3-A51G-06A-11D-A25P-01	-0.647000	1.419000
TCGA-D3-A51H-06A-12D-A25P-01	-0.100000	0.100000
TCGA-D3-A51J-06A-11D-A25P-01	-0.649000	1.576000
TCGA-D3-A51K-06A-11D-A25P-01	-0.918000	2.206000
TCGA-D3-A51N-06A-11D-A25P-01	-0.775000	0.963000
TCGA-D3-A51R-06A-11D-A25P-01	-0.100000	1.754000
TCGA-D3-A51T-06A-11D-A25P-01	-0.991000	1.330000
TCGA-D3-A5GL-06A-11D-A27J-01	-0.891000	0.289000
TCGA-D3-A5GN-06A-11D-A27J-01	-0.676000	1.239000
TCGA-D3-A5GO-06A-12D-A27J-01	-0.957000	0.667000
TCGA-D3-A5GR-06A-11D-A27J-01	-0.493000	0.946000
TCGA-D3-A5GS-06A-11D-A27J-01	-0.901000	2.199000
TCGA-D3-A5GU-06A-11D-A27J-01	-0.652000	1.547000
TCGA-D3-A8GB-06A-11D-A371-01	-0.449000	0.327000
TCGA-D3-A8GC-06A-11D-A371-01	-0.911000	1.674000
TCGA-D3-A8GD-06A-11D-A371-01	-0.615000	0.891000
TCGA-D3-A8GE-06A-11D-A371-01	-0.100000	0.100000
TCGA-D3-A8GI-06A-11D-A371-01	-0.825000	1.646000
TCGA-D3-A8GJ-06A-11D-A371-01	-0.532000	1.210000
TCGA-D3-A8GK-06A-11D-A371-01	-1.047000	1.774000
TCGA-D3-A8GL-06A-11D-A371-01	-1.024000	1.455000
TCGA-D3-A8GM-06A-11D-A371-01	-0.686000	1.511000
TCGA-D3-A8GN-06A-11D-A371-01	-0.529000	0.291000
TCGA-D3-A8GO-06A-11D-A371-01	-0.615000	1.540000
