Arm	# Genes	Amp frequency	Amp z-score	Amp q-value	Del Frequency	Del z-score	Del q-value
1p	1300	0.11	-1.34	1	0.17	1.73	0.0936
1q	1195	0.23	4.89	2.6e-06	0.10	-2.45	1
2p	624	0.18	-1.63	1	0.07	-6.65	1
2q	967	0.16	-0.832	1	0.08	-4.69	1
3p	644	0.12	-3.92	1	0.26	2.29	0.0264
3q	733	0.22	1.13	0.531	0.17	-1.27	1
4p	289	0.07	-6.81	1	0.40	6.94	1.6e-11
4q	670	0.05	-6.54	1	0.39	9.39	0
5p	183	0.22	-1.85	1	0.23	-1.39	1
5q	905	0.09	-4.06	1	0.29	5.95	5.93e-09
6p	710	0.20	-0.332	1	0.15	-2.51	1
6q	556	0.18	-2.14	1	0.19	-1.65	1
7p	389	0.47	10.7	0	0.10	-5	1
7q	783	0.41	11	0	0.12	-3.25	1
8p	338	0.49	10	0	0.41	6.38	4.62e-10
8q	551	0.58	17.1	0	0.23	0.283	0.759
9p	301	0.18	-2.66	1	0.40	6.84	2.77e-11
9q	700	0.22	0.65	0.881	0.29	4.21	4.31e-05
10p	253	0.24	-0.545	1	0.21	-2.2	1
10q	738	0.17	-1.43	1	0.19	-0.485	1
11p	509	0.16	-3.29	1	0.18	-2.3	1
11q	975	0.18	0.553	0.915	0.18	0.215	0.773
12p	339	0.23	-0.618	1	0.19	-2.49	1
12q	904	0.19	0.66	0.881	0.15	-1.54	1
13q	560	0.38	7.64	6.24e-14	0.13	-3.78	1
14q	938	0.08	-4.4	1	0.27	4.86	2.22e-06
15q	810	0.11	-3.97	1	0.23	1.71	0.0936
16p	559	0.15	-3.01	1	0.27	2.54	0.0144
16q	455	0.13	-4.22	1	0.30	3.11	0.00254
17p	415	0.09	-5.79	1	0.41	8.04	6.07e-15
17q	972	0.17	-0.0711	1	0.20	1.28	0.207
18p	104	0.24	-1.22	1	0.35	3.31	0.00136
18q	275	0.16	-3.6	1	0.42	7.41	6.44e-13
19p	681	0.13	-3.44	1	0.32	5.67	2.98e-08
19q	935	0.20	1.19	0.531	0.26	3.94	0.000127
20p	234	0.57	14.7	0	0.12	-4.37	1
20q	448	0.63	19.4	0	0.06	-5.39	1
21q	258	0.08	-6.32	1	0.43	8.27	2.28e-15
22q	564	0.11	-4.64	1	0.36	6.66	8.19e-11
Xp	418	0.10	-6.02	1	0.18	-2.53	1
Xq	668	0.13	-3.61	1	0.15	-2.78	1
