# Using amp_thresh=0.10, del_thresh=0.10
Sample	Low	High
TCGA-3M-AB46-01A-11D-A40Z-01	-0.814000	0.705000
TCGA-3M-AB47-01A-22D-A40Z-01	-0.135000	0.490000
TCGA-B7-5816-01A-21D-1599-01	-0.100000	0.539000
TCGA-B7-5818-01A-11D-1599-01	-0.850000	1.509000
TCGA-B7-A5TI-01A-11D-A31K-01	-0.682000	0.100000
TCGA-B7-A5TJ-01A-11D-A31K-01	-0.554000	1.697000
TCGA-B7-A5TK-01A-12D-A31K-01	-0.268000	0.300000
TCGA-B7-A5TN-01A-21D-A31K-01	-0.525000	0.560000
TCGA-BR-4183-01A-02D-1130-01	-0.723000	0.597000
TCGA-BR-4184-01A-01D-1130-01	-0.705000	0.809000
TCGA-BR-4187-01A-01D-1130-01	-0.100000	0.279000
TCGA-BR-4188-01A-01D-1130-01	-0.100000	0.100000
TCGA-BR-4191-01A-02D-1130-01	-0.651000	1.081000
TCGA-BR-4201-01A-01D-1130-01	-0.100000	0.491000
TCGA-BR-4253-01A-01D-1130-01	-0.100000	0.422000
TCGA-BR-4255-01A-01D-1130-01	-0.291000	0.454000
TCGA-BR-4256-01A-01D-1130-01	-0.100000	0.362000
TCGA-BR-4257-01A-01D-1130-01	-0.384000	0.859000
TCGA-BR-4267-01A-01D-1130-01	-0.806000	0.745000
TCGA-BR-4279-01A-01D-1130-01	-0.441000	0.204000
TCGA-BR-4280-01A-01D-1130-01	-0.100000	0.929000
TCGA-BR-4292-01A-01D-1130-01	-0.100000	1.357000
TCGA-BR-4294-01A-01D-1130-01	-1.017000	1.748000
TCGA-BR-4357-01A-01D-1155-01	-0.278000	1.293000
TCGA-BR-4361-01A-01D-1155-01	-0.100000	0.686000
TCGA-BR-4362-01A-01D-1155-01	-0.100000	0.661000
TCGA-BR-4363-01A-01D-1155-01	-0.762000	1.262000
TCGA-BR-4366-01A-01D-1155-01	-0.797000	1.458000
TCGA-BR-4367-01A-01D-1155-01	-0.574000	0.715000
TCGA-BR-4368-01A-01D-1155-01	-0.100000	0.462000
TCGA-BR-4369-01A-01D-1155-01	-0.671000	1.483000
TCGA-BR-4370-01A-01D-1155-01	-0.100000	0.498000
TCGA-BR-4371-01A-01D-1155-01	-0.100000	1.236000
TCGA-BR-6452-01A-12D-1799-01	-0.100000	1.065000
TCGA-BR-6453-01A-11D-1799-01	-0.100000	0.498000
TCGA-BR-6454-01A-11D-1799-01	-0.506000	0.977000
TCGA-BR-6455-01A-11D-1799-01	-0.100000	0.681000
TCGA-BR-6456-01A-11D-1799-01	-0.553000	0.767000
TCGA-BR-6457-01A-21D-1799-01	-0.297000	0.344000
TCGA-BR-6458-01A-11D-1799-01	-0.429000	0.786000
TCGA-BR-6563-01A-13D-2052-01	-0.100000	0.338000
TCGA-BR-6564-01A-12D-1881-01	-0.303000	0.296000
TCGA-BR-6565-01A-11D-1799-01	-0.465000	0.816000
TCGA-BR-6566-01A-11D-1799-01	-0.100000	0.409000
TCGA-BR-6705-01A-12D-1881-01	-0.229000	0.546000
TCGA-BR-6706-01A-11D-1881-01	-0.100000	0.417000
TCGA-BR-6707-01A-11D-1881-01	-0.100000	0.990000
TCGA-BR-6709-01A-11D-1881-01	-0.380000	3.757000
TCGA-BR-6710-01A-11D-1881-01	-0.100000	0.100000
TCGA-BR-6801-01A-11D-1881-01	-0.100000	1.731000
TCGA-BR-6802-01A-11D-1881-01	-0.100000	0.384000
TCGA-BR-6803-01A-11D-1881-01	-0.292000	0.249000
TCGA-BR-6852-01A-11D-1881-01	-0.100000	0.430000
TCGA-BR-7196-01A-11D-2052-01	-0.100000	0.361000
TCGA-BR-7197-01A-11D-2200-01	-0.793000	1.758000
TCGA-BR-7703-01A-11D-2052-01	-1.393000	0.100000
TCGA-BR-7704-01A-11D-2052-01	-1.393000	1.458000
TCGA-BR-7707-01A-11D-2052-01	-0.100000	0.627000
TCGA-BR-7715-01A-11D-2052-01	-0.662000	1.765000
TCGA-BR-7716-01A-21D-2052-01	-0.614000	1.711000
TCGA-BR-7717-01A-11D-2052-01	-0.381000	0.839000
TCGA-BR-7722-01A-31D-2200-01	-0.748000	0.687000
TCGA-BR-7723-01A-11D-2052-01	-0.718000	0.993000
TCGA-BR-7851-01A-11D-2200-01	-0.100000	0.100000
TCGA-BR-7901-01A-11D-2200-01	-0.478000	1.099000
TCGA-BR-7957-01A-11D-2200-01	-0.303000	0.245000
TCGA-BR-7958-01A-21D-2338-01	-0.308000	0.503000
TCGA-BR-7959-01A-11D-2338-01	-0.567000	0.744000
TCGA-BR-8058-01A-31D-2338-01	-0.322000	0.427000
TCGA-BR-8059-01A-11D-2338-01	-0.343000	0.524000
TCGA-BR-8060-01A-11D-2338-01	-0.495000	3.560000
TCGA-BR-8077-01A-11D-2338-01	-0.837000	2.267000
TCGA-BR-8078-01A-11D-2338-01	-0.100000	0.690000
TCGA-BR-8080-01A-11D-2338-01	-0.371000	0.681000
TCGA-BR-8081-01A-11D-2338-01	-0.100000	0.100000
TCGA-BR-8284-01A-11D-2338-01	-0.549000	0.530000
TCGA-BR-8285-01A-11D-2338-01	-0.100000	0.399000
TCGA-BR-8286-01A-12D-2338-01	-0.486000	0.842000
TCGA-BR-8289-01A-11D-2338-01	-0.929000	0.644000
TCGA-BR-8291-01A-11D-2338-01	-0.410000	0.265000
TCGA-BR-8295-01A-11D-2338-01	-0.634000	0.870000
TCGA-BR-8296-01A-11D-2338-01	-0.430000	0.666000
TCGA-BR-8297-01A-12D-2338-01	-0.400000	0.761000
TCGA-BR-8360-01A-11D-2338-01	-0.100000	0.636000
TCGA-BR-8361-01A-11D-2338-01	-0.719000	0.740000
TCGA-BR-8362-01A-11D-2338-01	-0.567000	2.286000
TCGA-BR-8363-01A-11D-2338-01	-0.100000	0.607000
TCGA-BR-8364-01A-11D-2338-01	-0.256000	0.100000
TCGA-BR-8365-01A-21D-2338-01	-0.410000	0.903000
TCGA-BR-8366-01A-11D-2338-01	-0.383000	0.371000
TCGA-BR-8367-01A-11D-2338-01	-0.100000	0.460000
TCGA-BR-8368-01A-11D-2338-01	-0.414000	0.746000
TCGA-BR-8369-01A-11D-2338-01	-0.614000	0.694000
