# Using amp_thresh=0.10, del_thresh=0.10
Sample	Low	High
TCGA-4C-A93U-01A-11D-A396-01	-0.843000	0.866000
TCGA-BJ-A0YZ-01A-11D-A10T-01	-0.427000	0.100000
TCGA-BJ-A0Z0-01A-11D-A10T-01	-1.057000	0.100000
TCGA-BJ-A0Z2-01A-11D-A10T-01	-1.109000	0.100000
TCGA-BJ-A0Z3-01A-11D-A13V-01	-0.100000	0.100000
TCGA-BJ-A0Z5-01A-11D-A10T-01	-0.378000	0.100000
TCGA-BJ-A0Z9-01A-11D-A10T-01	-0.100000	0.100000
TCGA-BJ-A0ZA-01A-11D-A10T-01	-0.100000	0.100000
TCGA-BJ-A0ZB-01A-11D-A10T-01	-0.100000	0.281000
TCGA-BJ-A0ZC-01A-12D-A13V-01	-0.100000	0.100000
TCGA-BJ-A0ZE-01A-11D-A10T-01	-0.100000	0.100000
TCGA-BJ-A0ZG-01A-11D-A10T-01	-0.100000	0.100000
TCGA-BJ-A0ZH-01A-11D-A10T-01	-0.331000	0.100000
TCGA-BJ-A0ZJ-01A-11D-A10T-01	-0.100000	0.100000
TCGA-BJ-A18Y-01A-11D-A13V-01	-0.729000	0.100000
TCGA-BJ-A18Z-01A-21D-A13V-01	-0.100000	0.100000
TCGA-BJ-A190-01A-11D-A13V-01	-0.639000	0.678000
TCGA-BJ-A191-01A-11D-A13V-01	-0.100000	0.100000
TCGA-BJ-A192-01A-31D-A13V-01	-0.100000	0.871000
TCGA-BJ-A28R-01A-11D-A16M-01	-0.100000	0.100000
TCGA-BJ-A28S-01A-11D-A19I-01	-0.100000	0.100000
TCGA-BJ-A28T-01A-11D-A16M-01	-0.100000	0.100000
TCGA-BJ-A28V-01A-11D-A19I-01	-0.100000	0.100000
TCGA-BJ-A28W-01A-11D-A16M-01	-0.100000	0.100000
TCGA-BJ-A28X-01A-11D-A22C-01	-0.100000	0.100000
TCGA-BJ-A28Z-01A-11D-A16M-01	-0.100000	0.100000
TCGA-BJ-A290-01A-11D-A17S-01	-0.100000	0.792000
TCGA-BJ-A291-01A-11D-A16M-01	-0.100000	0.100000
TCGA-BJ-A2N7-01A-11D-A18E-01	-0.100000	0.100000
TCGA-BJ-A2N8-01A-11D-A18E-01	-0.216000	0.100000
TCGA-BJ-A2N9-01A-11D-A18E-01	-0.100000	1.714000
TCGA-BJ-A2NA-01A-12D-A19I-01	-0.100000	0.100000
TCGA-BJ-A2P4-01A-11D-A18E-01	-0.942000	0.100000
TCGA-BJ-A3EZ-01A-11D-A201-01	-0.100000	0.100000
TCGA-BJ-A3F0-01A-11D-A201-01	-0.801000	0.100000
TCGA-BJ-A3PR-01A-11D-A21Y-01	-0.100000	0.100000
TCGA-BJ-A3PT-01A-12D-A21Y-01	-0.426000	0.100000
TCGA-BJ-A3PU-01A-11D-A21Y-01	-0.100000	0.100000
TCGA-BJ-A45C-01A-11D-A23T-01	-0.100000	0.100000
TCGA-BJ-A45D-01A-11D-A23T-01	-0.678000	0.100000
TCGA-BJ-A45E-01A-11D-A23T-01	-0.100000	0.589000
TCGA-BJ-A45F-01A-12D-A23T-01	-0.217000	0.100000
TCGA-BJ-A45G-01A-11D-A23T-01	-0.100000	0.100000
TCGA-BJ-A45H-01A-12D-A23T-01	-0.100000	0.100000
TCGA-BJ-A45I-01A-11D-A23T-01	-0.100000	0.100000
TCGA-BJ-A45J-01A-11D-A23T-01	-0.100000	0.100000
TCGA-BJ-A45K-01A-11D-A23T-01	-0.100000	0.100000
TCGA-BJ-A4O8-01A-11D-A256-01	-0.100000	0.100000
TCGA-BJ-A4O9-01A-11D-A256-01	-1.089000	0.100000
TCGA-CE-A13K-01A-11D-A10T-01	-0.203000	0.100000
TCGA-CE-A27D-01A-11D-A16M-01	-0.100000	0.100000
TCGA-CE-A3MD-01A-11D-A20A-01	-0.100000	0.100000
TCGA-CE-A3ME-01A-11D-A20A-01	-0.100000	0.100000
TCGA-CE-A481-01A-21D-A23T-01	-0.100000	0.100000
TCGA-CE-A482-01A-11D-A23T-01	-0.100000	0.100000
TCGA-CE-A483-01A-11D-A23T-01	-0.100000	0.100000
TCGA-CE-A484-01A-11D-A23T-01	-0.994000	0.100000
TCGA-CE-A485-01A-11D-A23T-01	-0.261000	0.100000
TCGA-DE-A0XZ-01A-11D-A17S-01	-0.869000	0.100000
TCGA-DE-A0Y2-01A-11D-A10T-01	-0.100000	0.100000
TCGA-DE-A0Y3-01B-11D-A10T-01	-0.100000	0.100000
TCGA-DE-A2OL-01A-11D-A18E-01	-0.100000	0.100000
TCGA-DE-A3KN-01A-11D-A20A-01	-0.100000	0.100000
TCGA-DE-A4M8-01A-21D-A256-01	-0.434000	0.100000
TCGA-DE-A4M9-01A-11D-A256-01	-0.100000	0.100000
TCGA-DE-A4MA-01A-11D-A256-01	-0.100000	0.100000
TCGA-DE-A4MB-01A-11D-A256-01	-0.674000	1.288000
TCGA-DE-A4MC-01A-11D-A256-01	-0.100000	0.832000
TCGA-DE-A4MD-01A-11D-A256-01	-0.971000	0.935000
TCGA-DE-A69J-01A-21D-A396-01	-0.100000	0.100000
TCGA-DE-A69K-01A-11D-A396-01	-0.100000	0.100000
TCGA-DE-A7U5-01A-11D-A396-01	-0.100000	0.100000
TCGA-DJ-A13L-01A-11D-A21Y-01	-0.556000	0.100000
TCGA-DJ-A13M-01A-11D-A10T-01	-0.952000	0.100000
TCGA-DJ-A13O-01A-11D-A10T-01	-0.100000	0.100000
TCGA-DJ-A13P-01A-11D-A10T-01	-0.894000	0.100000
TCGA-DJ-A13R-01A-11D-A10T-01	-0.100000	0.100000
TCGA-DJ-A13S-01A-11D-A10T-01	-0.100000	0.100000
TCGA-DJ-A13T-01A-11D-A10T-01	-0.919000	0.100000
TCGA-DJ-A13U-01A-11D-A10T-01	-0.100000	0.704000
TCGA-DJ-A13V-01A-11D-A10T-01	-0.100000	0.100000
TCGA-DJ-A13W-01A-11D-A10T-01	-0.100000	0.100000
TCGA-DJ-A13X-01A-11D-A10T-01	-0.100000	0.100000
TCGA-DJ-A1QD-01A-11D-A14V-01	-0.100000	0.100000
TCGA-DJ-A1QE-01A-21D-A14V-01	-0.100000	0.100000
TCGA-DJ-A1QF-01A-12D-A14V-01	-0.100000	0.100000
TCGA-DJ-A1QG-01A-11D-A14V-01	-0.839000	0.100000
TCGA-DJ-A1QH-01A-21D-A14V-01	-0.100000	0.100000
TCGA-DJ-A1QI-01A-11D-A14V-01	-0.100000	0.100000
TCGA-DJ-A1QL-01A-11D-A14V-01	-0.100000	0.100000
TCGA-DJ-A1QM-01A-11D-A14V-01	-0.100000	0.100000
TCGA-DJ-A1QN-01A-11D-A14V-01	-0.618000	0.100000
TCGA-DJ-A1QO-01A-11D-A14V-01	-0.100000	0.100000
TCGA-DJ-A1QQ-01A-11D-A14V-01	-0.100000	0.100000
TCGA-DJ-A2PN-01A-21D-A19I-01	-0.100000	0.100000
TCGA-DJ-A2PO-01A-21D-A19I-01	-0.100000	0.100000
TCGA-DJ-A2PP-01A-11D-A19I-01	-0.100000	0.100000
TCGA-DJ-A2PQ-01A-11D-A18E-01	-0.100000	0.100000
TCGA-DJ-A2PR-01A-11D-A19I-01	-0.100000	0.100000
TCGA-DJ-A2PS-01A-11D-A18E-01	-0.223000	0.100000
TCGA-DJ-A2PT-01A-11D-A18E-01	-0.100000	0.100000
TCGA-DJ-A2PU-01A-12D-A19I-01	-0.100000	0.100000
TCGA-DJ-A2PV-01A-11D-A19I-01	-0.100000	0.100000
TCGA-DJ-A2PW-01A-11D-A19I-01	-0.100000	0.423000
TCGA-DJ-A2PX-01A-11D-A18E-01	-0.100000	0.100000
TCGA-DJ-A2PY-01A-11D-A18E-01	-0.100000	0.100000
TCGA-DJ-A2PZ-01A-21D-A18E-01	-0.100000	0.100000
TCGA-DJ-A2Q0-01A-11D-A201-01	-0.568000	0.562000
TCGA-DJ-A2Q1-01A-22D-A19I-01	-0.100000	0.100000
TCGA-DJ-A2Q2-01A-11D-A19I-01	-0.240000	0.100000
TCGA-DJ-A2Q3-01A-11D-A18E-01	-0.100000	0.100000
TCGA-DJ-A2Q4-01A-21D-A18E-01	-0.100000	0.100000
TCGA-DJ-A2Q5-01A-11D-A18E-01	-0.100000	0.100000
TCGA-DJ-A2Q6-01A-11D-A18E-01	-0.100000	0.100000
TCGA-DJ-A2Q7-01A-11D-A18E-01	-0.503000	0.100000
TCGA-DJ-A2Q8-01A-11D-A18E-01	-0.100000	0.100000
TCGA-DJ-A2Q9-01A-21D-A18E-01	-0.100000	0.100000
TCGA-DJ-A2QA-01A-11D-A18E-01	-0.375000	0.100000
TCGA-DJ-A2QB-01A-11D-A19I-01	-0.743000	0.100000
TCGA-DJ-A2QC-01A-11D-A18E-01	-0.100000	0.100000
TCGA-DJ-A3UK-01A-11D-A22C-01	-0.377000	0.100000
TCGA-DJ-A3UM-01A-11D-A22C-01	-0.100000	0.100000
TCGA-DJ-A3UN-01A-11D-A22C-01	-0.878000	0.100000
TCGA-DJ-A3UO-01A-11D-A22C-01	-0.595000	0.100000
TCGA-DJ-A3UP-01A-11D-A22C-01	-0.986000	0.100000
TCGA-DJ-A3UQ-01A-11D-A22C-01	-0.100000	0.100000
TCGA-DJ-A3UR-01A-11D-A22C-01	-0.100000	0.100000
TCGA-DJ-A3US-01A-11D-A22C-01	-0.100000	0.100000
TCGA-DJ-A3UT-01A-11D-A22C-01	-0.100000	0.100000
TCGA-DJ-A3UU-01A-11D-A22C-01	-0.100000	0.100000
TCGA-DJ-A3UW-01A-11D-A22C-01	-0.100000	0.100000
TCGA-DJ-A3UX-01A-11D-A22C-01	-0.100000	0.100000
TCGA-DJ-A3UY-01A-21D-A22C-01	-0.100000	0.100000
TCGA-DJ-A3UZ-01A-11D-A22Y-01	-0.100000	0.100000
TCGA-DJ-A3V0-01A-11D-A22Y-01	-0.100000	0.100000
TCGA-DJ-A3V2-01A-11D-A22Y-01	-0.100000	0.100000
TCGA-DJ-A3V3-01A-11D-A22Y-01	-0.100000	0.100000
TCGA-DJ-A3V4-01A-11D-A22Y-01	-0.100000	0.100000
TCGA-DJ-A3V5-01A-11D-A22Y-01	-0.100000	0.100000
TCGA-DJ-A3V7-01A-11D-A23L-01	-0.100000	0.100000
TCGA-DJ-A3V8-01A-11D-A23L-01	-0.100000	0.100000
TCGA-DJ-A3V9-01A-11D-A23L-01	-0.100000	0.100000
TCGA-DJ-A3VA-01A-11D-A23L-01	-0.100000	0.100000
TCGA-DJ-A3VB-01A-11D-A23L-01	-0.100000	0.100000
TCGA-DJ-A3VD-01A-11D-A23L-01	-0.100000	0.100000
TCGA-DJ-A3VE-01A-11D-A23L-01	-0.100000	0.100000
TCGA-DJ-A3VF-01A-11D-A23L-01	-0.100000	0.100000
TCGA-DJ-A3VG-01A-11D-A23L-01	-0.100000	0.100000
TCGA-DJ-A3VI-01A-11D-A23L-01	-0.100000	0.100000
TCGA-DJ-A3VJ-01A-11D-A23L-01	-0.100000	0.100000
TCGA-DJ-A3VK-01A-11D-A23L-01	-0.674000	0.100000
TCGA-DJ-A3VL-01A-11D-A23L-01	-0.100000	0.100000
TCGA-DJ-A3VM-01A-11D-A23L-01	-0.839000	0.100000
TCGA-DJ-A4UL-01A-11D-A256-01	-0.100000	0.100000
TCGA-DJ-A4UP-01A-11D-A256-01	-0.100000	0.100000
TCGA-DJ-A4UQ-01A-11D-A256-01	-0.100000	0.100000
TCGA-DJ-A4UR-01A-11D-A256-01	-0.911000	0.100000
TCGA-DJ-A4UT-01A-11D-A256-01	-0.100000	0.100000
TCGA-DJ-A4UW-01A-11D-A256-01	-0.100000	0.100000
