Arm	# Genes	Amp frequency	Amp z-score	Amp q-value	Del Frequency	Del z-score	Del q-value
1p	1300	0.10	0.796	0.624	0.06	-2.72	1
1q	1195	0.35	19.7	0	0.06	-2.25	1
2p	624	0.17	4.07	0.000121	0.03	-5.62	1
2q	967	0.15	3.35	0.00183	0.04	-4.61	1
3p	644	0.10	-1.18	1	0.11	-0.679	1
3q	733	0.16	3.06	0.0045	0.08	-1.91	1
4p	289	0.03	-6.08	1	0.20	5.2	4.09e-07
4q	670	0.02	-6.45	1	0.20	5.97	8.01e-09
5p	183	0.10	-2.3	1	0.12	-0.766	1
5q	905	0.04	-4.89	1	0.15	2.86	0.00611
6p	710	0.15	2.82	0.00895	0.05	-4.44	1
6q	556	0.12	0.442	0.728	0.06	-4.17	1
7p	389	0.13	0.42	0.728	0.10	-1.4	1
7q	783	0.13	1.33	0.313	0.10	-0.982	1
8p	338	0.22	6.27	1.24e-09	0.21	5.56	7.02e-08
8q	551	0.30	12.8	0	0.07	-3.1	1
9p	301	0.04	-5.52	1	0.20	4.93	1.55e-06
9q	700	0.02	-6.12	1	0.22	8	7.59e-15
10p	253	0.23	6.67	1.08e-10	0.11	-1.15	1
10q	738	0.21	6.99	1.41e-11	0.10	-0.886	1
11p	509	0.05	-4.93	1	0.15	2.12	0.041
11q	975	0.04	-4.34	1	0.14	2.69	0.00965
12p	339	0.13	0.559	0.728	0.10	-1.61	1
12q	904	0.10	-0.469	1	0.08	-1.65	1
13q	560	0.07	-3.35	1	0.18	4.48	1.29e-05
14q	938	0.08	-2.15	1	0.12	1.28	0.229
15q	810	0.02	-5.74	1	0.21	7.19	3.29e-12
16p	559	0.05	-4.28	1	0.20	5.42	1.35e-07
16q	455	0.03	-5.92	1	0.26	10	0
17p	415	0.03	-5.93	1	0.25	8.71	0
17q	972	0.07	-2.72	1	0.18	5.88	1.18e-08
18p	104	0.13	-0.259	1	0.13	-0.259	1
18q	275	0.08	-3.04	1	0.14	0.904	0.395
19p	681	0.11	-0.533	1	0.12	0.732	0.453
19q	935	0.11	0.59	0.728	0.12	0.853	0.403
20p	234	0.20	5.06	1.21e-06	0.06	-4.32	1
20q	448	0.24	8.47	0	0.03	-5.61	1
21q	258	0.08	-3.18	1	0.11	-1.39	1
22q	564	0.07	-3.11	1	0.22	6.82	3.69e-11
Xp	418	0.13	0.518	0.728	0.19	4.27	3.05e-05
Xq	668	0.13	1.08	0.439	0.15	2.59	0.0122
