# Using amp_thresh=0.10, del_thresh=0.10
Sample	Low	High
TCGA-2E-A9G8-01A-11D-A402-01	-1.100000	0.988000
TCGA-4E-A92E-01A-11D-A37M-01	-0.100000	0.929000
TCGA-5B-A90C-01A-11D-A37M-01	-0.696000	1.073000
TCGA-5S-A9Q8-01A-11D-A402-01	-1.055000	1.011000
TCGA-A5-A0G1-01A-11D-A120-01	-0.100000	0.100000
TCGA-A5-A0G2-01A-11D-A042-01	-0.517000	0.490000
TCGA-A5-A0G5-01A-11D-A042-01	-0.100000	1.354000
TCGA-A5-A0G9-01A-11D-A042-01	-0.100000	1.711000
TCGA-A5-A0GA-01A-11D-A042-01	-0.100000	1.058000
TCGA-A5-A0GB-01A-11D-A042-01	-0.100000	0.923000
TCGA-A5-A0GD-01A-11D-A042-01	-0.100000	0.100000
TCGA-A5-A0GE-01A-11D-A042-01	-0.100000	0.684000
TCGA-A5-A0GG-01A-11D-A120-01	-0.482000	0.456000
TCGA-A5-A0GH-01A-21D-A042-01	-0.100000	0.100000
TCGA-A5-A0GI-01A-11D-A042-01	-0.100000	0.956000
TCGA-A5-A0GJ-01A-11D-A042-01	-0.904000	1.503000
TCGA-A5-A0GM-01A-11D-A042-01	-0.100000	0.100000
TCGA-A5-A0GN-01A-11D-A042-01	-0.623000	1.510000
TCGA-A5-A0GP-01A-11D-A042-01	-0.100000	0.100000
TCGA-A5-A0GQ-01A-11D-A120-01	-0.100000	0.100000
TCGA-A5-A0GR-01A-11D-A120-01	-0.611000	0.660000
TCGA-A5-A0GU-01A-11D-A042-01	-0.100000	0.874000
TCGA-A5-A0GV-01A-31D-A042-01	-0.100000	1.050000
TCGA-A5-A0GW-01A-11D-A042-01	-0.100000	0.644000
TCGA-A5-A0GX-01A-11D-A042-01	-0.100000	0.430000
TCGA-A5-A0R6-01A-11D-A102-01	-0.714000	1.050000
TCGA-A5-A0R7-01A-31D-A102-01	-0.766000	0.821000
TCGA-A5-A0R8-01A-11D-A102-01	-0.100000	0.100000
TCGA-A5-A0R9-01A-11D-A102-01	-0.100000	0.869000
TCGA-A5-A0RA-01A-21D-A102-01	-0.100000	0.100000
TCGA-A5-A0VP-01A-21D-A102-01	-0.925000	0.100000
TCGA-A5-A0VQ-01A-11D-A102-01	-0.100000	0.100000
TCGA-A5-A1OF-01A-11D-A14F-01	-0.100000	0.100000
TCGA-A5-A1OG-01A-11D-A14F-01	-0.645000	1.035000
TCGA-A5-A1OH-01A-21D-A227-01	-0.762000	1.189000
TCGA-A5-A1OJ-01A-11D-A14F-01	-0.100000	0.811000
TCGA-A5-A1OK-01A-11D-A14J-01	-0.100000	1.389000
TCGA-A5-A2K2-01A-11D-A18N-01	-0.866000	0.527000
TCGA-A5-A2K3-01A-11D-A17U-01	-0.272000	0.893000
TCGA-A5-A2K4-01A-11D-A18N-01	-0.668000	0.283000
TCGA-A5-A2K5-01A-11D-A17U-01	-0.100000	0.100000
TCGA-A5-A2K7-01A-11D-A17U-01	-0.100000	0.100000
TCGA-A5-A3LO-01A-11D-A227-01	-0.435000	0.510000
TCGA-A5-A3LP-01A-11D-A227-01	-0.691000	0.856000
TCGA-A5-A7WJ-01A-12D-A34P-01	-0.100000	1.997000
TCGA-A5-A7WK-01A-11D-A34P-01	-0.997000	0.100000
TCGA-A5-AB3J-01A-11D-A402-01	-0.100000	0.885000
TCGA-AJ-A23M-01A-11D-A160-01	-0.794000	0.880000
TCGA-AJ-A23N-01A-11D-A227-01	-0.516000	0.815000
TCGA-AJ-A23O-01A-11D-A160-01	-0.359000	1.219000
TCGA-AJ-A2QK-01A-11D-A18N-01	-0.668000	0.475000
TCGA-AJ-A2QL-01A-11D-A18N-01	-0.730000	0.204000
TCGA-AJ-A2QM-01A-11D-A18N-01	-0.915000	0.100000
TCGA-AJ-A2QN-01A-11D-A18N-01	-0.640000	0.613000
TCGA-AJ-A2QO-01A-11D-A18N-01	-0.100000	0.100000
TCGA-AJ-A3BD-01A-11D-A19X-01	-1.055000	0.631000
TCGA-AJ-A3BF-01A-11D-A20R-01	-0.823000	0.766000
TCGA-AJ-A3BG-01A-11D-A19X-01	-1.000000	0.100000
TCGA-AJ-A3BH-01A-11D-A19X-01	-0.100000	0.667000
TCGA-AJ-A3BI-01A-11D-A20R-01	-0.609000	1.566000
TCGA-AJ-A3BK-01A-11D-A19X-01	-0.100000	0.849000
TCGA-AJ-A3EJ-01A-11D-A19X-01	-0.578000	0.549000
TCGA-AJ-A3EK-01A-11D-A19X-01	-0.100000	0.100000
TCGA-AJ-A3EL-01A-11D-A20R-01	-0.100000	0.100000
TCGA-AJ-A3EM-01A-11D-A20R-01	-0.612000	1.013000
TCGA-AJ-A3I9-01A-11D-A227-01	-1.019000	0.927000
TCGA-AJ-A3IA-01A-11D-A20R-01	-0.238000	1.370000
TCGA-AJ-A3NC-01A-11D-A227-01	-0.100000	1.557000
TCGA-AJ-A3NE-01A-11D-A227-01	-0.100000	0.317000
TCGA-AJ-A3NF-01A-11D-A227-01	-0.479000	0.339000
TCGA-AJ-A3NG-01A-11D-A227-01	-0.100000	1.419000
TCGA-AJ-A3NH-01A-11D-A227-01	-0.551000	0.892000
TCGA-AJ-A3OJ-01A-11D-A227-01	-0.100000	0.100000
TCGA-AJ-A3OK-01A-12D-A227-01	-0.100000	0.100000
TCGA-AJ-A3OL-01A-11D-A227-01	-0.100000	1.079000
TCGA-AJ-A3QS-01A-11D-A227-01	-0.462000	0.878000
TCGA-AJ-A3TW-01A-11D-A227-01	-0.615000	0.418000
TCGA-AJ-A5DV-01A-11D-A27O-01	-0.100000	0.100000
TCGA-AJ-A5DW-01A-11D-A27O-01	-0.100000	0.100000
TCGA-AJ-A6NU-01A-11D-A34P-01	-0.500000	0.451000
TCGA-AJ-A8CT-01A-11D-A37M-01	-0.100000	0.100000
TCGA-AJ-A8CV-01A-11D-A37M-01	-0.100000	0.100000
TCGA-AJ-A8CW-01A-11D-A37M-01	-0.100000	1.704000
TCGA-AP-A051-01A-21D-A00X-01	-0.100000	1.364000
TCGA-AP-A052-01A-11D-A00X-01	-0.968000	0.232000
TCGA-AP-A053-01A-21D-A00X-01	-1.071000	0.935000
TCGA-AP-A054-01A-11D-A042-01	-1.087000	0.999000
TCGA-AP-A056-01A-11D-A00X-01	-0.100000	0.100000
TCGA-AP-A059-01A-21D-A120-01	-0.100000	0.100000
TCGA-AP-A05A-01A-11D-A00X-01	-1.047000	0.896000
TCGA-AP-A05D-01A-11D-A00X-01	-0.813000	0.279000
TCGA-AP-A05H-01A-11D-A00X-01	-1.393000	0.704000
TCGA-AP-A05J-01A-11D-A00X-01	-1.053000	0.100000
TCGA-AP-A05N-01A-11D-A00X-01	-0.100000	0.100000
TCGA-AP-A05O-01A-12D-A120-01	-0.100000	0.100000
TCGA-AP-A05P-01A-11D-A042-01	-0.225000	0.989000
TCGA-AP-A0L8-01A-11D-A042-01	-0.746000	2.562000
TCGA-AP-A0L9-01A-11D-A042-01	-0.877000	0.931000
TCGA-AP-A0LD-01A-11D-A042-01	-0.100000	0.888000
TCGA-AP-A0LE-01A-11D-A102-01	-0.100000	0.919000
TCGA-AP-A0LF-01A-11D-A120-01	-0.385000	1.260000
TCGA-AP-A0LG-01A-11D-A042-01	-0.100000	0.100000
TCGA-AP-A0LH-01A-11D-A042-01	-0.949000	1.533000
TCGA-AP-A0LI-01A-11D-A042-01	-0.617000	0.451000
TCGA-AP-A0LJ-01A-11D-A042-01	-0.100000	0.726000
TCGA-AP-A0LL-01A-12D-A102-01	-0.100000	1.842000
TCGA-AP-A0LM-01A-11D-A120-01	-0.100000	0.100000
TCGA-AP-A0LN-01A-11D-A042-01	-0.100000	0.975000
TCGA-AP-A0LO-01A-11D-A042-01	-0.236000	0.700000
TCGA-AP-A0LP-01A-12D-A102-01	-0.100000	0.100000
TCGA-AP-A0LQ-01A-12D-A102-01	-0.100000	0.691000
TCGA-AP-A0LS-01A-11D-A14F-01	-0.100000	0.100000
TCGA-AP-A0LT-01A-11D-A042-01	-0.100000	0.100000
TCGA-AP-A0LV-01A-11D-A042-01	-0.100000	0.100000
TCGA-AP-A1DH-01A-31D-A134-01	-0.100000	0.100000
TCGA-AP-A1DK-01A-11D-A134-01	-0.100000	0.100000
TCGA-AP-A1DM-01A-21D-A134-01	-0.100000	0.705000
TCGA-AP-A1DO-01A-11D-A134-01	-0.100000	1.505000
TCGA-AP-A1DP-01A-11D-A134-01	-0.100000	1.588000
TCGA-AP-A1DQ-01A-11D-A134-01	-0.966000	1.065000
TCGA-AP-A1DR-01A-11D-A134-01	-0.100000	0.100000
TCGA-AP-A1DV-01A-21D-A134-01	-0.100000	0.100000
TCGA-AP-A1E0-01A-11D-A134-01	-0.100000	0.203000
TCGA-AP-A1E1-01A-11D-A134-01	-0.100000	1.398000
TCGA-AP-A1E3-01A-11D-A134-01	-0.100000	0.412000
TCGA-AP-A1E4-01A-12D-A134-01	-0.100000	1.630000
TCGA-AP-A3K1-01A-11D-A20R-01	-1.000000	1.583000
TCGA-AP-A5FX-01A-11D-A27O-01	-0.685000	1.148000
TCGA-AW-A1PO-01A-12D-A160-01	-1.010000	1.558000
TCGA-AX-A05S-01A-11D-A00X-01	-0.100000	0.746000
TCGA-AX-A05T-01A-11D-A00X-01	-0.100000	0.914000
TCGA-AX-A05U-01A-11D-A00X-01	-1.072000	1.013000
TCGA-AX-A05W-01A-21D-A00X-01	-0.100000	0.831000
TCGA-AX-A05Y-01A-11D-A00X-01	-0.100000	0.923000
TCGA-AX-A05Z-01A-11D-A00X-01	-0.100000	0.652000
TCGA-AX-A060-01A-11D-A00X-01	-0.100000	1.837000
TCGA-AX-A062-01A-11D-A00X-01	-0.100000	0.100000
TCGA-AX-A063-01A-11D-A00X-01	-0.100000	0.854000
TCGA-AX-A064-01A-11D-A00X-01	-0.100000	1.754000
TCGA-AX-A06B-01A-11D-A00X-01	-0.785000	0.834000
TCGA-AX-A06D-01A-11D-A120-01	-0.100000	0.954000
TCGA-AX-A06F-01A-11D-A00X-01	-0.100000	0.100000
TCGA-AX-A06H-01A-11D-A120-01	-0.100000	0.100000
TCGA-AX-A06J-01A-11D-A00X-01	-0.100000	0.782000
TCGA-AX-A06L-01A-11D-A120-01	-0.100000	0.100000
TCGA-AX-A0IS-01A-12D-A10L-01	-0.100000	1.533000
TCGA-AX-A0IU-01A-11D-A102-01	-0.865000	1.351000
TCGA-AX-A0IW-01A-11D-A042-01	-0.630000	3.757000
TCGA-AX-A0IZ-01A-11D-A120-01	-0.100000	0.100000
TCGA-AX-A0J0-01A-11D-A107-01	-0.100000	0.100000
TCGA-AX-A0J1-01A-11D-A042-01	-0.100000	1.569000
TCGA-AX-A1C4-01A-11D-A134-01	-0.100000	0.943000
TCGA-AX-A1C5-01A-11D-A134-01	-0.100000	0.100000
TCGA-AX-A1C7-01A-11D-A134-01	-0.961000	1.119000
TCGA-AX-A1C8-01A-11D-A134-01	-0.707000	0.761000
TCGA-AX-A1C9-01A-11D-A134-01	-0.820000	0.100000
TCGA-AX-A1CA-01A-12D-A134-01	-0.569000	0.519000
TCGA-AX-A1CC-01A-11D-A134-01	-0.248000	0.271000
TCGA-AX-A1CE-01A-11D-A134-01	-0.100000	0.100000
TCGA-AX-A1CF-01A-11D-A134-01	-0.774000	0.806000
TCGA-AX-A1CI-01A-11D-A134-01	-0.933000	0.893000
TCGA-AX-A1CJ-01A-11D-A134-01	-0.100000	0.767000
TCGA-AX-A1CK-01A-11D-A134-01	-0.990000	1.678000
TCGA-AX-A1CN-01A-11D-A134-01	-0.894000	0.100000
TCGA-AX-A1CP-01A-11D-A134-01	-0.714000	0.100000
TCGA-AX-A1CR-01A-12D-A134-01	-0.730000	0.828000
TCGA-AX-A2H2-01A-11D-A17U-01	-0.640000	1.192000
TCGA-AX-A2H4-01A-21D-A18N-01	-0.426000	0.602000
TCGA-AX-A2H5-01A-11D-A17C-01	-0.963000	0.275000
TCGA-AX-A2H7-01A-12D-A18N-01	-0.100000	1.442000
TCGA-AX-A2H8-01A-11D-A17C-01	-0.832000	0.602000
TCGA-AX-A2HA-01A-12D-A18N-01	-0.100000	1.724000
TCGA-AX-A2HC-01A-11D-A17C-01	-0.100000	1.061000
TCGA-AX-A2HD-01A-21D-A17C-01	-0.971000	0.100000
TCGA-AX-A2HF-01A-11D-A17C-01	-0.997000	0.878000
TCGA-AX-A2HG-01A-11D-A17C-01	-0.100000	0.100000
TCGA-AX-A2HH-01A-11D-A17C-01	-1.038000	1.088000
TCGA-AX-A2HJ-01A-11D-A17C-01	-0.750000	0.668000
TCGA-AX-A2HK-01A-11D-A17C-01	-1.393000	1.605000
TCGA-AX-A2IN-01A-12D-A17U-01	-0.100000	1.005000
TCGA-AX-A2IO-01A-11D-A17U-01	-0.729000	0.645000
