"","low","low.pval","high","high.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
"nmdptc_n_decayed",0.00826354966413016,0.0392156862745098,0.0443970325426208,0.0196078431372549,0.0257844078349412,0.0196078431372549,4.49321494223096,0.0196078431372549
"nmdptc_mean.wt",0.0235570984785768,0.0196078431372549,0.0185237311106506,0.0392156862745098,0.0205390315894794,0.0196078431372549,3.93950204364071,0.0196078431372549
"nmdns_mean.wt",0.0138771462197933,0.0588235294117647,0.00926228036669213,0.0588235294117647,0.0111106638454393,0.0588235294117647,2.42928132713102,0.0392156862745098
"nmdns_frac_decayed",0.00575518117503412,0.0784313725490196,0.00604099095349095,0.0980392156862745,0.00580936756115371,0.0784313725490196,1.25925683939446,0.372549019607843
"nmdptc_med.wt",0.00124639551624846,0.333333333333333,0.0107483333445021,0.0392156862745098,0.00575050423669837,0.0784313725490196,2.17001741764583,0.117647058823529
"nmdns_mean",0.00673780239368474,0.117647058823529,0.00527923718438424,0.137254901960784,0.00541262344164648,0.0980392156862745,1.80771893776416,0.333333333333333
"nmdns_med.wt",0.00330682071196777,0.215686274509804,0.00672193958002781,0.0784313725490196,0.00470505507727399,0.117647058823529,1.61859945371818,0.254901960784314
"nmdns_med",0.00502663488472312,0.156862745098039,0.00422069807127857,0.176470588235294,0.00441097526583731,0.176470588235294,1.57198710573221,0.490196078431373
"nmdptc_frac_decayed",0.00107209040959041,0.333333333333333,0.00818823774264951,0.0784313725490196,0.00440745641242285,0.117647058823529,0.928586253109596,0.96078431372549
"nmdns_max",0.00891629391849979,0.137254901960784,-0.00221970015278839,0.509803921568627,0.00339685506961273,0.156862745098039,1.34571529256668,0.92156862745098
"nmdfs_n_decayed",0.00676703235704784,0.0392156862745098,-0.000147000058764765,0.411764705882353,0.00285569429081467,0.117647058823529,0.869197454993686,0.294117647058824
"nmdfs_frac_decayed",-0.000906058892088304,0.490196078431373,0.000767129258770126,0.294117647058824,0.000103932749173024,0.294117647058824,0.516361484619945,0.784313725490196
"nmdns_mut.bool",0.000235664335664336,0.235294117647059,-0.000176923076923077,0.705882352941177,3.84615384615385e-05,0.352941176470588,0.0188444444444444,0.941176470588235
"nmdptc_mut.bool",0,1,0,1,0,1,0.0837020241972496,0.0784313725490196
"nmdptc_mean",-0.00205490383799207,0.529411764705882,0.00142784186917314,0.313725490196078,-0.000292299874759457,0.313725490196078,1.57095975962607,0.764705882352941
"nmdfs_mut.bool",-0.000267885872297637,0.686274509803922,-0.00032973692973693,0.568627450980392,-0.000310268800325243,0.647058823529412,0.0728124410316637,0.607843137254902
"nmdptc_med",-0.00608205801336606,0.764705882352941,0.00550377261627261,0.196078431372549,-0.000333596172539596,0.392156862745098,1.30496280244665,0.92156862745098
"nmdptc_max",-0.00665510502569326,0.745098039215686,0.00590163360031781,0.156862745098039,-0.0005463605241424,0.470588235294118,1.59495441077692,0.901960784313726
"nmdns_n_decayed",-0.0021561358361281,0.666666666666667,-0.00013962826389297,0.549019607843137,-0.00115725430352867,0.607843137254902,0.849531525827755,0.901960784313726
"nmdfs_mean.wt",-0.00435891216626511,0.705882352941177,0.000835513098013098,0.294117647058824,-0.00193418744733898,0.549019607843137,0.758621283242057,1
"nmdfs_med",-0.00145237776928954,0.529411764705882,-0.00293498209307033,0.784313725490196,-0.00203780544505474,0.666666666666667,0.811090714579426,0.980392156862745
"nmdfs_med.wt",-0.00327403013653014,0.607843137254902,-0.00183256908640036,0.607843137254902,-0.00244179701467597,0.647058823529412,0.861247043668433,0.980392156862745
"nmdfs_mean",-0.00238248891631245,0.529411764705882,-0.00238468475968476,0.686274509803922,-0.00246146817070209,0.705882352941177,0.614925736379618,1
"nmdfs_max",-0.00635631100925219,0.803921568627451,-0.000486639177815649,0.529411764705882,-0.00365148920952006,0.647058823529412,1.02057592789897,0.980392156862745
