"","low","low.pval","high","high.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
"nmdptc_n_decayed",0.0112972447487153,0.0588235294117647,0.043853123347241,0.0196078431372549,0.0268372982923678,0.0196078431372549,4.11844283000607,0.0196078431372549
"nmdptc_mean.wt",0.0222082226596933,0.0196078431372549,0.0284034478593302,0.0196078431372549,0.0239431816626941,0.0196078431372549,3.76812887907629,0.0196078431372549
"nmdns_mean.wt",0.00755736681619035,0.176470588235294,0.00411633758398464,0.235294117647059,0.00569930865256119,0.0980392156862745,2.67055493642302,0.0588235294117647
"nmdns_med",0.00261609501609502,0.411764705882353,0.00972547387253269,0.0980392156862745,0.00520785777640169,0.254901960784314,1.78189870466757,0.274509803921569
"nmdptc_frac_decayed",0.00152350394703336,0.490196078431373,0.00673268479886127,0.117647058823529,0.00408665480435028,0.137254901960784,0.984261232532477,0.941176470588235
"nmdns_frac_decayed",0.00223204654822302,0.392156862745098,0.00667501354854296,0.117647058823529,0.00385103408880898,0.156862745098039,1.12007307132029,0.470588235294118
"nmdns_mean",0.00528720136073077,0.274509803921569,0.00238645096733332,0.352941176470588,0.00383432022197495,0.176470588235294,1.89125550229672,0.196078431372549
"nmdns_med.wt",-0.000802602136425667,0.666666666666667,0.00861870776282542,0.0784313725490196,0.00339167535740533,0.196078431372549,1.50199360198278,0.411764705882353
"nmdns_max",0.00842080697080697,0.137254901960784,-0.00256801841948901,0.666666666666667,0.00313859620886078,0.196078431372549,1.35504023467109,0.862745098039216
"nmdptc_med.wt",-0.00566043531631767,0.901960784313726,0.013855528948176,0.0784313725490196,0.00302838519115792,0.352941176470588,2.12575702950998,0.333333333333333
"nmdfs_n_decayed",0.00458658400423106,0.156862745098039,-0.00240225689343336,0.705882352941177,0.000763194719462421,0.313725490196078,0.895247471883564,0.215686274509804
"nmdns_mut.bool",0.000485714285714286,0.196078431372549,0.000166666666666667,0.274509803921569,0.000304843304843305,0.137254901960784,0.0346602998719771,0.647058823529412
"nmdfs_frac_decayed",-6.91419691419694e-05,0.392156862745098,0.000388978178684061,0.392156862745098,7.01364019954724e-05,0.372549019607843,0.480757349096602,0.823529411764706
"nmdfs_mut.bool",0.000482692307692308,0.254901960784314,-0.000553342245989305,0.686274509803922,1.36900136900139e-06,0.392156862745098,0.0781974773374774,0.372549019607843
"nmdptc_mut.bool",0,1,0,1,0,1,0.100592839192933,0.0196078431372549
"nmdns_n_decayed",-0.0011342693254458,0.647058823529412,0.000326739273798097,0.352941176470588,-0.000298429375026866,0.470588235294118,0.845127484093205,0.745098039215686
"nmdptc_med",-0.0050490752711341,0.803921568627451,0.00475351951969599,0.254901960784314,-0.00108775289165192,0.627450980392157,1.42486625064369,0.803921568627451
"nmdfs_med",-0.00168880759763113,0.588235294117647,-0.000948786181139122,0.588235294117647,-0.00142071499388426,0.549019607843137,0.831646838306547,0.941176470588235
"nmdptc_mean",-0.00219717194570136,0.627450980392157,-0.00120749854720443,0.607843137254902,-0.0016220080367362,0.666666666666667,1.45924443752182,0.862745098039216
"nmdptc_max",-0.00397377459142165,0.666666666666667,-0.000791538690068103,0.509803921568627,-0.00181382962106845,0.490196078431373,1.8010421348433,0.666666666666667
"nmdfs_med.wt",-0.00239051030668678,0.705882352941177,-0.00215776021364257,0.627450980392157,-0.00201177015236585,0.686274509803922,0.80426393817766,0.96078431372549
"nmdfs_max",-0.00718013375513376,0.862745098039216,0.00129717863835511,0.431372549019608,-0.0028885168257266,0.725490196078431,0.964702130754556,0.96078431372549
"nmdfs_mean.wt",-0.00694902679020326,0.96078431372549,0.000699526290702762,0.392156862745098,-0.00300058542364213,0.882352941176471,0.752310020614289,1
"nmdfs_mean",-0.00354757105639459,0.745098039215686,-0.00578689170306817,0.92156862745098,-0.00499029246727251,0.92156862745098,0.711874699115486,1
