"","low","low.pval","high","high.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
"nmdptc_n_decayed",7.03489607136031,0.0196078431372549,9.12263933810638,0.0196078431372549,11.1776585793393,0.0196078431372549,2.70706139939703,0.0196078431372549
"nmdptc_mean.wt",5.94162533458691,0.0588235294117647,5.07706605475919,0.0392156862745098,7.33796660385239,0.0588235294117647,2.63339864176028,0.0392156862745098
"nmdns_mean.wt",4.58140163485025,0.0784313725490196,5.09894928529021,0.0392156862745098,6.57885671720489,0.0392156862745098,2.0634209005446,0.0588235294117647
"nmdns_frac_decayed",1.13396095601746,0.431372549019608,4.98867942785649,0.0196078431372549,3.83970183618659,0.0980392156862745,1.14319095591191,0.235294117647059
"nmdfs_n_decayed",4.56792466659546,0.0588235294117647,1.1944736805962,0.254901960784314,3.71150407506878,0.117647058823529,0.900643152646253,0.176470588235294
"nmdptc_frac_decayed",-0.122608899279514,0.470588235294118,4.24018085065951,0.0588235294117647,3.21161725560748,0.0392156862745098,0.914479858292161,0.862745098039216
"nmdns_max",3.74831914785854,0.0980392156862745,0.593349985228948,0.313725490196078,2.96103574347415,0.137254901960784,1.18812453056321,0.725490196078431
"nmdns_med.wt",-0.0738368427913953,0.568627450980392,4.45246323156357,0.0392156862745098,2.65534788205809,0.156862745098039,1.68239522425544,0.0784313725490196
"nmdns_mean",2.13485102073095,0.176470588235294,1.74070792049282,0.156862745098039,2.62132766876099,0.0980392156862745,1.48509097216075,0.196078431372549
"nmdptc_med.wt",-0.402846213991328,0.607843137254902,3.65544700049038,0.0784313725490196,2.01750254345735,0.196078431372549,1.89956119011603,0.0980392156862745
"nmdns_med",1.3129516420271,0.254901960784314,-0.171879974619763,0.431372549019608,0.685096109333509,0.352941176470588,1.37801631469379,0.215686274509804
"nmdns_n_decayed",0.91155672499907,0.274509803921569,0.213912298560618,0.352941176470588,0.606745305258625,0.254901960784314,0.891314680992078,0.352941176470588
"missense",-1.1697856878726,0.705882352941177,1.56884750323005,0.235294117647059,0.438079035416777,0.313725490196078,1.04047688446711,0.843137254901961
"total",-1.13956854616393,0.607843137254902,1.7278466332184,0.235294117647059,0.424479277244337,0.411764705882353,1.01468045542167,1
"nmdptc_max",-0.931876355816317,0.549019607843137,1.5779741467822,0.235294117647059,0.309191506007565,0.372549019607843,1.25534197927664,0.901960784313726
"nmdfs_frac_decayed",0.836213642384632,0.215686274509804,-0.394777372074749,0.509803921568627,0.110935169395317,0.372549019607843,0.566044231836465,0.588235294117647
"nmdptc_mut.bool",0,1,0,1,0,1,0.0823946381956686,0.0196078431372549
"nmdptc_mean",-1.59943304389491,0.705882352941177,0.907068806648468,0.333333333333333,-0.0564393918008069,0.470588235294118,1.28747447135946,0.705882352941177
"nmdptc_med",-1.77094675489578,0.725490196078431,2.02884533092273,0.254901960784314,-0.0961988720869719,0.509803921568627,1.157684664176,0.823529411764706
"nmdns_mut.bool",0.264874522317854,0.294117647058824,-1.00050037531277,0.647058823529412,-0.291355181760748,0.509803921568627,0.0169267921146953,0.980392156862745
"frameshift",-1.102565583149,0.705882352941177,0.544666681340453,0.411764705882353,-0.330822127031918,0.588235294117647,1.03509527570703,0.666666666666667
"nonstop",-1.81327151360279,0.862745098039216,0.936816061163609,0.254901960784314,-0.56455198468953,0.509803921568627,0.189314238297408,0.941176470588235
"silent",-2.12083035103534,0.745098039215686,0.379201059072051,0.372549019607843,-1.14119678484103,0.568627450980392,0.961178732406588,0.96078431372549
"nmdfs_mut.bool",-0.53569597467976,0.647058823529412,-1.8147041727003,0.882352941176471,-1.34039326693337,0.725490196078431,0.0825065760843958,0.627450980392157
"nmdfs_max",-2.9415332350595,0.941176470588235,0.0425557122119534,0.529411764705882,-2.04008051451629,0.784313725490196,0.736136666757329,1
"nmdfs_med",-1.76026760631764,0.862745098039216,-1.06738389719391,0.725490196078431,-2.04800049698083,0.882352941176471,0.768896463983161,0.96078431372549
"nmdfs_med.wt",-2.69454893449258,0.92156862745098,-0.323498792957475,0.549019607843137,-2.1104320526439,0.784313725490196,0.81199506080371,0.980392156862745
"nmdfs_mean",-2.05263532056059,0.725490196078431,-1.4724888684334,0.803921568627451,-2.26746635326062,0.745098039215686,0.629238059602307,1
"nonsense",-3.21637107041794,0.901960784313726,-0.843111471843618,0.607843137254902,-2.79640600403278,0.823529411764706,1.00736534647509,0.745098039215686
"nmdfs_mean.wt",-3.93573803737084,0.96078431372549,-0.468924981788904,0.509803921568627,-3.32137526996413,0.882352941176471,0.924278914429059,0.862745098039216
