"","low","low.pval","high","high.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
"nmdptc_n_decayed",0.0160632610853199,0.0196078431372549,0.0231084357249218,0.0196078431372549,0.0190754614264279,0.0196078431372549,2.70706139939703,0.0196078431372549
"nmdptc_mean.wt",0.0154016927516927,0.0392156862745098,0.0123183990630972,0.0392156862745098,0.012723510673893,0.0588235294117647,2.63339864176028,0.0392156862745098
"nmdns_mean.wt",0.0109732409747116,0.0784313725490196,0.0126592494321983,0.0392156862745098,0.011097003993406,0.0392156862745098,2.0634209005446,0.0588235294117647
"nmdns_frac_decayed",0.00203958496354007,0.392156862745098,0.00845613928555105,0.0392156862745098,0.00470094902944623,0.0980392156862745,1.14319095591191,0.235294117647059
"nmdfs_n_decayed",0.00666464964773788,0.0588235294117647,0.00190529172839544,0.254901960784314,0.00421493200410387,0.0980392156862745,0.900643152646253,0.176470588235294
"nmdns_max",0.00767755765476353,0.0980392156862745,0.00111618469250048,0.333333333333333,0.00421370002686184,0.137254901960784,1.18812453056321,0.725490196078431
"nmdns_med.wt",-0.000162381065786638,0.588235294117647,0.00842760711510711,0.0196078431372549,0.00357146344408944,0.176470588235294,1.68239522425544,0.0784313725490196
"nmdns_mean",0.00386120448179272,0.176470588235294,0.003431524864884,0.156862745098039,0.00332487043361969,0.0980392156862745,1.48509097216075,0.196078431372549
"nmdptc_frac_decayed",-0.000183596958596959,0.470588235294118,0.00597097916273612,0.0784313725490196,0.00303783019453435,0.0980392156862745,0.914479858292161,0.862745098039216
"nmdptc_med.wt",-0.000878731012709341,0.627450980392157,0.00761948441565314,0.0980392156862745,0.00284641074259735,0.196078431372549,1.89956119011603,0.0980392156862745
"nmdns_med",0.00241901570651571,0.254901960784314,-0.000288453213453214,0.431372549019608,0.000795406986084971,0.352941176470588,1.37801631469379,0.215686274509804
"nmdns_n_decayed",0.00127140041331218,0.294117647058824,0.000334820979673921,0.352941176470588,0.000622346612820405,0.235294117647059,0.891314680992078,0.352941176470588
"missense",-0.00168831348390172,0.666666666666667,0.00248642817450867,0.235294117647059,0.000477441095980511,0.313725490196078,1.04047688446711,0.843137254901961
"total",-0.00152381156425274,0.549019607843137,0.00265618317011506,0.254901960784314,0.000415174456995463,0.411764705882353,1.01468045542167,1
"nmdptc_max",-0.00150879896247543,0.549019607843137,0.00239297132605956,0.274509803921569,0.000336023076311902,0.372549019607843,1.25534197927664,0.901960784313726
"nmdfs_frac_decayed",0.00115676145749675,0.215686274509804,-0.000548635149680041,0.509803921568627,0.000103366074507032,0.372549019607843,0.566044231836465,0.588235294117647
"nmdptc_mut.bool",0,1,0,1,0,1,0.0823946381956686,0.0196078431372549
"nmdns_mut.bool",4.64285714285714e-05,0.313725490196078,-0.000111111111111111,0.549019607843137,-2.31884057971014e-05,0.450980392156863,0.0169267921146953,0.980392156862745
"nmdptc_mean",-0.00233611070302247,0.666666666666667,0.00166453309762133,0.352941176470588,-5.98965079214428e-05,0.470588235294118,1.28747447135946,0.705882352941177
"nmdptc_med",-0.00262778863293569,0.686274509803922,0.00310439909247959,0.294117647058824,-9.87571804129486e-05,0.509803921568627,1.157684664176,0.823529411764706
"nonstop",-0.00103976578976579,0.745098039215686,0.000671073371073371,0.254901960784314,-0.000262577933462886,0.490196078431373,0.189314238297408,0.941176470588235
"frameshift",-0.00143991286491286,0.705882352941177,0.000816128887452417,0.411764705882353,-0.00032910110418131,0.588235294117647,1.03509527570703,0.666666666666667
"nmdfs_mut.bool",-0.000222039072039072,0.627450980392157,-0.000406089743589744,0.705882352941177,-0.000336076194337064,0.745098039215686,0.0825065760843958,0.627450980392157
"silent",-0.00306422013229289,0.725490196078431,0.000586723918496365,0.392156862745098,-0.00127578552181643,0.549019607843137,0.961178732406588,0.96078431372549
"nmdfs_med.wt",-0.00318235057426234,0.843137254901961,-0.000418005914793841,0.549019607843137,-0.00175340239844383,0.666666666666667,0.81199506080371,0.980392156862745
"nmdfs_max",-0.00400286698595522,0.901960784313726,4.95603682523188e-05,0.529411764705882,-0.00183099676117932,0.705882352941177,0.736136666757329,1
"nmdfs_mean",-0.00260802987861811,0.666666666666667,-0.00198035271402144,0.745098039215686,-0.00201665634535555,0.647058823529412,0.629238059602307,1
"nmdfs_med",-0.0024533698327816,0.764705882352941,-0.00150854619236972,0.647058823529412,-0.0020226602868215,0.823529411764706,0.768896463983161,0.96078431372549
"nonsense",-0.00515623926726868,0.901960784313726,-0.00149164754663981,0.627450980392157,-0.00305302618504268,0.843137254901961,1.00736534647509,0.745098039215686
"nmdfs_mean.wt",-0.00601197519800461,0.96078431372549,-0.000722434875066454,0.470588235294118,-0.00354327085958751,0.882352941176471,0.924278914429059,0.862745098039216
