"","low","low.pval","high","high.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
"nmdns_mean.wt",0.0045740643524751,0.333333333333333,0.00704718279680764,0.137254901960784,0.00569442707261111,0.0392156862745098,11.2273632403476,0.0196078431372549
"nmdns_med.wt",0.00217470298646893,0.450980392156863,0.00786755412810017,0.176470588235294,0.00495442813455577,0.0588235294117647,10.6889632675114,0.0784313725490196
"nmdfs_med.wt",0.00974528807259142,0.215686274509804,-0.00131961578242151,0.411764705882353,0.00406066636952659,0.0980392156862745,11.4887651973862,0.333333333333333
"nmdptc_mean.wt",0.00295629778439141,0.450980392156863,0.00457941576495946,0.235294117647059,0.00356869347861812,0.156862745098039,16.0779673663663,0.254901960784314
"nmdns_mean",-0.003032727136002,0.588235294117647,0.00886329129556456,0.176470588235294,0.00304007883244335,0.117647058823529,10.457011251799,0.156862745098039
"nmdptc_n_decayed",-0.00597848590811073,0.725490196078431,0.0115893405437181,0.117647058823529,0.00276891414753338,0.0588235294117647,5.62541811457299,0.176470588235294
"nmdfs_frac_decayed",0.00392997789880517,0.196078431372549,0.00125880857639412,0.294117647058824,0.00247861725288211,0.0588235294117647,3.67123672749493,0.411764705882353
"nmdptc_frac_decayed",0.0048568992010849,0.294117647058824,0.000153998159255752,0.529411764705882,0.00239819067830118,0.117647058823529,5.18740299934477,0.901960784313726
"nmdfs_med",0.00915305519822602,0.156862745098039,-0.00478062182849354,0.588235294117647,0.00209289677391497,0.215686274509804,11.2024171972035,0.627450980392157
"nmdns_n_decayed",0.00239587599895433,0.411764705882353,0.00170366552186229,0.235294117647059,0.00195011053291019,0.0980392156862745,3.56255839428023,0.235294117647059
"nmdns_med",-0.00366391585642224,0.725490196078431,0.00739915811864871,0.156862745098039,0.00164363795782832,0.215686274509804,10.0765756672285,0.254901960784314
"nmdns_frac_decayed",0.0130932465600069,0.0196078431372549,-0.0103023014825956,0.980392156862745,0.00127275861448713,0.117647058823529,3.11603472305561,0.254901960784314
"nmdfs_max",7.64923220321504e-05,0.549019607843137,0.00257961713007509,0.352941176470588,0.00121658694290572,0.333333333333333,11.6401662600581,0.725490196078431
"nmdfs_mean",-0.00107148281159202,0.588235294117647,0.00353730414734776,0.294117647058824,0.00121440611828026,0.274509803921569,10.6519673147183,0.980392156862745
"nmdfs_mean.wt",0.0089815643517937,0.137254901960784,-0.00630634030770068,0.686274509803922,0.00114133071474413,0.254901960784314,11.3072135316331,0.627450980392157
"nmdptc_med",0.00382319562622793,0.431372549019608,-0.00164001859325357,0.411764705882353,0.00108836385481286,0.274509803921569,15.8135520596536,0.372549019607843
"nmdptc_med.wt",-0.0109437570100848,0.862745098039216,0.0123594685379513,0.176470588235294,0.000370733739876266,0.372549019607843,15.6427469962578,0.313725490196078
"nmdptc_mean",-0.000812918030189502,0.588235294117647,0.00239897395984276,0.352941176470588,0.000338543029011678,0.392156862745098,15.6604347269158,0.686274509803922
"nmdns_max",-0.00352718519122236,0.764705882352941,0.00440298521073997,0.274509803921569,0.000298249822325353,0.372549019607843,9.47591751203434,0.823529411764706
"nmdfs_n_decayed",-0.00600818819937693,0.803921568627451,0.0061891591590187,0.156862745098039,6.50341057957069e-05,0.411764705882353,4.07170993707419,0.117647058823529
"nmdfs_mut.bool",-0.00335411879487054,0.92156862745098,0.00287278073823011,0.156862745098039,-0.000237268911254419,0.647058823529412,0.405259136059157,0.294117647058824
"nmdns_mut.bool",-0.00275315621693976,0.941176470588235,0.00213819863757025,0.156862745098039,-0.000295280176825622,0.666666666666667,0.393044795040753,0.764705882352941
"nmdptc_max",-0.0070044785104948,0.666666666666667,0.0059629572602595,0.294117647058824,-0.000698645031150787,0.450980392156863,14.4238503407117,1
"nmdptc_mut.bool",-0.00626972312755198,0.96078431372549,0.00516480088030874,0.117647058823529,-0.000720556339662992,0.96078431372549,0.169889657758719,0.333333333333333
