"","low","low.pval","high","high.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
"total",0.0162291118626791,0.0392156862745098,0.0326934994809093,0.0196078431372549,0.0244463757462771,0.0196078431372549,23.6838666888036,0.0196078431372549
"missense",0.0137064351625249,0.0196078431372549,0.0327140935205703,0.0196078431372549,0.0232353739524317,0.0196078431372549,21.6602524006776,0.0196078431372549
"silent",0.00810737430330484,0.0980392156862745,0.0206145404276832,0.0196078431372549,0.0144490287787067,0.0196078431372549,17.2211586483793,0.0196078431372549
"nmdptc_mean.wt",0.00663226992161593,0.0784313725490196,0.00784239529646419,0.0588235294117647,0.0073445242862797,0.0196078431372549,11.7310976139109,0.549019607843137
"nonsense",-0.00124799130353192,0.470588235294118,0.0154928960209891,0.0196078431372549,0.00712738427550973,0.0392156862745098,10.1182661689659,0.0784313725490196
"nmdns_med.wt",0.00289743178615454,0.156862745098039,0.0100974535556591,0.0196078431372549,0.00641215467380885,0.0196078431372549,8.03742111459228,0.0588235294117647
"nmdns_mean.wt",0.00295497971720864,0.137254901960784,0.0093989413470065,0.0392156862745098,0.00619028823030847,0.0196078431372549,7.34607630568564,0.509803921568627
"nmdptc_med",0.00956936324844923,0.0196078431372549,0.00286305851307252,0.235294117647059,0.00616870936986087,0.0196078431372549,10.4777009221099,1
"nmdns_mean",0.00255349744305418,0.176470588235294,0.00968527395171023,0.0196078431372549,0.00609889379472975,0.0196078431372549,6.79969671301049,0.980392156862745
"nmdptc_mean",0.00707094111004411,0.0784313725490196,0.00481336419681745,0.117647058823529,0.00585479089571506,0.0196078431372549,10.7409914994272,0.96078431372549
"nmdptc_med.wt",0.000109355173777198,0.450980392156863,0.0111420479480594,0.0392156862745098,0.00552925273899372,0.0784313725490196,11.1320494323752,0.647058823529412
"nmdfs_med",0.0103218617530921,0.0196078431372549,-0.000910955746564561,0.549019607843137,0.0046483671176378,0.0196078431372549,7.1390183969415,1
"nmdns_max",0.00124640932689998,0.333333333333333,0.00721954656448212,0.0196078431372549,0.00423321202271302,0.0588235294117647,7.67552363215598,0.686274509803922
"nmdptc_max",0.00523542720882268,0.196078431372549,0.00310731567831504,0.215686274509804,0.00420513722484493,0.0588235294117647,11.219277219544,0.882352941176471
"nmdfs_mean.wt",0.0099419735134766,0.0392156862745098,-0.00192412618123171,0.725490196078431,0.00404719983957385,0.0392156862745098,7.76040201192268,1
"nmdns_med",0.0015741024312041,0.254901960784314,0.00598975308245017,0.0196078431372549,0.00372251105263422,0.0392156862745098,7.19199373373323,0.529411764705882
"nmdptc_frac_decayed",0.00908023627860633,0.0196078431372549,-0.0017304007976224,0.705882352941177,0.00372106942816746,0.0392156862745098,3.84188632088486,0.980392156862745
"nmdfs_med.wt",0.00710228486244395,0.0588235294117647,0.000287872758412819,0.490196078431373,0.0036267003325718,0.0588235294117647,7.47119736640275,1
"nmdfs_mean",0.00401958003358855,0.215686274509804,0.00302987742877544,0.274509803921569,0.00347674010516762,0.0588235294117647,7.75406081229282,1
"nmdns_n_decayed",-0.0016684785668595,0.784313725490196,0.00743803190170178,0.0196078431372549,0.0029582139227518,0.0392156862745098,2.7071334652625,0.549019607843137
"nmdfs_frac_decayed",0.00562770433067426,0.0196078431372549,-0.000125534661211471,0.568627450980392,0.00266767591036789,0.0196078431372549,2.67736257303482,0.92156862745098
"nmdptc_n_decayed",0.00127728817933141,0.372549019607843,0.0039680926776151,0.117647058823529,0.00253509367398857,0.0392156862745098,3.91127751634418,0.803921568627451
"nmdfs_max",0.0050578306407793,0.117647058823529,-0.00130932326418328,0.568627450980392,0.00173401207095678,0.156862745098039,8.82664108356789,0.843137254901961
"nmdns_frac_decayed",0.00442202098356943,0.0392156862745098,-0.00114216418887112,0.647058823529412,0.00155053103472518,0.0196078431372549,2.17602471467788,0.647058823529412
"nmdns_mut.bool",-0.000718982397812623,0.823529411764706,0.00337657757560095,0.0196078431372549,0.00130433070702642,0.0196078431372549,0.657686155353587,0.0392156862745098
"nmdfs_n_decayed",0.0030642726307551,0.117647058823529,-0.000559603955221671,0.549019607843137,0.00126559540907335,0.0980392156862745,3.1461444345085,0.352941176470588
"nonstop",-0.00087330701642991,0.803921568627451,0.00210432307450453,0.0392156862745098,0.000627790108438592,0.137254901960784,1.49689810655275,0.803921568627451
"nmdptc_mut.bool",-0.00102619078685483,0.843137254901961,0.00148299944742424,0.0784313725490196,0.000225286101371912,0.215686274509804,0.332261128703899,0.137254901960784
"frameshift",-0.00677262505775557,0.92156862745098,0.00691605653257115,0.196078431372549,2.213375552318e-05,0.509803921568627,9.79969378976845,0.980392156862745
"nmdfs_mut.bool",-0.00113774195655742,0.862745098039216,0.00100983679563931,0.117647058823529,-9.04912042481251e-05,0.607843137254902,0.439379514920493,0.274509803921569
