"","low","low.pval","high","high.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
"nmdptc_med.wt",13.6854492801626,0.0196078431372549,9.4395288638474,0.0392156862745098,16.963609250079,0.0196078431372549,6.10792140464174,0.0392156862745098
"nmdns_mean.wt",5.34205468421018,0.0588235294117647,5.71839596862447,0.117647058823529,8.48501204554335,0.0392156862745098,4.71436523998918,0.0588235294117647
"nmdptc_mean.wt",5.76106913176257,0.0392156862745098,3.5560762089168,0.313725490196078,7.16756730543955,0.0784313725490196,3.32144461762671,0.372549019607843
"nmdns_frac_decayed",-1.94191405713268,0.647058823529412,7.78612127878588,0.0588235294117647,4.79499579367845,0.0588235294117647,1.05946144998375,0.803921568627451
"nmdns_med.wt",1.50032328007549,0.274509803921569,4.5837104538791,0.0784313725490196,4.70445617716714,0.0784313725490196,3.2987004517509,0.0784313725490196
"nmdptc_max",2.99541249544049,0.137254901960784,2.5879434233768,0.196078431372549,3.76785311479542,0.0588235294117647,4.67026902722192,0.117647058823529
"nmdfs_mut.bool",-0.642480478458568,0.529411764705882,1.58813857000563,0.156862745098039,0.974916196762893,0.215686274509804,0.0617136043780781,0.901960784313726
"nmdptc_n_decayed",-1.0320837191749,0.647058823529412,2.58842874777005,0.313725490196078,0.972789806402982,0.450980392156863,2.52100116098247,0.176470588235294
"nmdptc_frac_decayed",-2.61070023707229,0.725490196078431,3.52995372308197,0.156862745098039,0.711329418637837,0.176470588235294,1.68619101154585,0.431372549019608
"nmdptc_med",-6.5636495443747,0.941176470588235,7.41108742240236,0.0784313725490196,0.387870892498368,0.333333333333333,3.60582021759153,0.215686274509804
"nmdns_mean",1.9669939930264,0.215686274509804,-0.659179932468413,0.607843137254902,0.266680622056539,0.352941176470588,2.39607863118921,0.823529411764706
"nmdptc_mean",3.71402505130206,0.137254901960784,-4.8646924913473,0.882352941176471,-0.624817080431411,0.470588235294118,2.71941356782653,0.764705882352941
"nmdfs_med",-1.7575956504424,0.764705882352941,1.1438567061218,0.294117647058824,-0.644307585156788,0.450980392156863,0.702646454671623,0.980392156862745
"nmdns_med",-0.00566491765220788,0.470588235294118,-0.506576381819217,0.470588235294118,-0.693029890848507,0.450980392156863,2.08173935483839,1
"nmdfs_mean.wt",-0.581563864142389,0.450980392156863,-0.845089287203274,0.745098039215686,-1.25651823943288,0.588235294117647,0.663666302885025,1
"nmdns_max",-3.04853359681873,0.803921568627451,1.32840943515527,0.333333333333333,-1.34362271374799,0.568627450980392,2.63317809008088,0.803921568627451
"nmdns_n_decayed",-0.645585429585906,0.647058823529412,-1.36959914675617,0.627450980392157,-1.59137103883319,0.647058823529412,1.00886570691011,0.941176470588235
"nmdptc_mut.bool",0.747132959578384,0.352941176470588,-1.95889121221833,0.666666666666667,-1.95057305345463,0.647058823529412,0.0603129532232473,0.803921568627451
"nmdfs_max",-1.90870925267868,0.686274509803922,-0.978816076480616,0.549019607843137,-1.97188636335158,0.647058823529412,1.21872944732865,0.882352941176471
"nmdfs_mean",0.214112840209549,0.431372549019608,-3.27206854026706,0.901960784313726,-2.00259389364799,0.686274509803922,0.765984464488543,1
"nmdfs_med.wt",-1.28870404537779,0.607843137254902,-1.47970549269883,0.803921568627451,-2.09701269356649,0.725490196078431,0.66315046640867,1
"nmdfs_frac_decayed",-1.0356094746725,0.607843137254902,-2.69487809669033,0.901960784313726,-2.9121549695718,0.96078431372549,0.193557644551925,0.96078431372549
"nmdns_mut.bool",-0.198290346019523,0.490196078431373,-3.28348080477554,0.901960784313726,-3.17880909723874,0.96078431372549,0.08107235705471,0.392156862745098
"nmdfs_n_decayed",-2.84682557042912,0.882352941176471,-2.30796419693946,0.745098039215686,-3.86304524535488,0.96078431372549,0.318900452243014,0.96078431372549
