"","low","low.pval","high","high.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
"nmdptc_med.wt",0.0422020446193179,0.0196078431372549,0.026445279559659,0.0392156862745098,0.0336731751096708,0.0392156862745098,6.10792140464174,0.0392156862745098
"nmdns_mean.wt",0.0162641676283738,0.0392156862745098,0.0175083082173357,0.0784313725490196,0.0160897738232126,0.0392156862745098,4.71436523998918,0.0588235294117647
"nmdptc_mean.wt",0.0123737760810853,0.0588235294117647,0.00758958892736015,0.313725490196078,0.00965758606593364,0.0980392156862745,3.32144461762671,0.372549019607843
"nmdns_med.wt",0.00381655272155642,0.215686274509804,0.0116987593593621,0.0196078431372549,0.00728567914060129,0.0784313725490196,3.2987004517509,0.0784313725490196
"nmdptc_max",0.00747722989936881,0.137254901960784,0.0071450837430892,0.137254901960784,0.00635175509728648,0.0588235294117647,4.67026902722192,0.117647058823529
"nmdns_frac_decayed",-0.0029308733174664,0.588235294117647,0.012813233007215,0.0588235294117647,0.00488062026185234,0.0784313725490196,1.05946144998375,0.803921568627451
"nmdptc_n_decayed",-0.00204608972143902,0.666666666666667,0.00559650558886829,0.235294117647059,0.00125022123548401,0.431372549019608,2.52100116098247,0.176470588235294
"nmdptc_frac_decayed",-0.00453671797665101,0.745098039215686,0.0065919589918863,0.156862745098039,0.000841096758070436,0.176470588235294,1.68619101154585,0.431372549019608
"nmdptc_med",-0.0148291919164277,0.92156862745098,0.0164704885805205,0.0980392156862745,0.000511037638143763,0.333333333333333,3.60582021759153,0.215686274509804
"nmdns_mean",0.00377886653030044,0.274509803921569,-0.001358266397943,0.627450980392157,0.000327529113794457,0.352941176470588,2.39607863118921,0.823529411764706
"nmdfs_mut.bool",-0.000152939501159315,0.490196078431373,0.000407782012673317,0.215686274509804,0.00014287810758399,0.254901960784314,0.0617136043780781,0.901960784313726
"nmdptc_mut.bool",0.000163612307884754,0.352941176470588,-0.000968394264647125,0.745098039215686,-0.000359067270315148,0.725490196078431,0.0603129532232473,0.803921568627451
"nmdfs_med",-0.00172218931182486,0.686274509803922,0.0010938564963252,0.333333333333333,-0.000390365250062965,0.450980392156863,0.702646454671623,0.980392156862745
"nmdns_med",-1.14984051260808e-05,0.470588235294118,-0.000864709157707878,0.470588235294118,-0.00076768944527161,0.450980392156863,2.08173935483839,1
"nmdfs_mean.wt",-0.000601982115340576,0.450980392156863,-0.000838966480043341,0.745098039215686,-0.000768820697946421,0.588235294117647,0.663666302885025,1
"nmdptc_mean",0.00817638708257836,0.137254901960784,-0.00927511172828308,0.862745098039216,-0.000773904181559615,0.450980392156863,2.71941356782653,0.764705882352941
"nmdns_mut.bool",-4.63952112558924e-05,0.490196078431373,-0.00164246061535569,0.92156862745098,-0.000817084442947132,0.96078431372549,0.08107235705471,0.392156862745098
"nmdfs_frac_decayed",-0.00052142037678449,0.549019607843137,-0.00165072991612566,0.941176470588235,-0.00110383951356437,0.882352941176471,0.193557644551925,0.96078431372549
"nmdfs_mean",0.000231949071964215,0.431372549019608,-0.00329229481515926,0.843137254901961,-0.00128007181904891,0.627450980392157,0.765984464488543,1
"nmdns_n_decayed",-0.000720340272267179,0.627450980392157,-0.00176889828151438,0.627450980392157,-0.00130057375441062,0.607843137254902,1.00886570691011,0.941176470588235
"nmdfs_med.wt",-0.00130697649511016,0.607843137254902,-0.00133492711689979,0.725490196078431,-0.00148021893987085,0.705882352941177,0.66315046640867,1
"nmdns_max",-0.00568013920409768,0.764705882352941,0.00279353528171673,0.372549019607843,-0.00168927187974894,0.549019607843137,2.63317809008088,0.803921568627451
"nmdfs_max",-0.00262443475703638,0.588235294117647,-0.00120785093217756,0.549019607843137,-0.00180643952573406,0.666666666666667,1.21872944732865,0.882352941176471
"nmdfs_n_decayed",-0.00198551292017236,0.784313725490196,-0.00151521590320958,0.705882352941177,-0.00181492129911221,0.862745098039216,0.318900452243014,0.96078431372549
