"","low","low.pval","high","high.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
"nmdptc_med.wt",0.0102617532813054,0.0588235294117647,0.0164523862124848,0.0196078431372549,0.0131102367401375,0.0196078431372549,3.505809792623,0.0196078431372549
"missense",0.00729864102555885,0.117647058823529,0.0140377339779567,0.0196078431372549,0.0100323974749918,0.0784313725490196,3.16627091726979,0.196078431372549
"nmdns_mean.wt",0.00939705589116815,0.0588235294117647,0.0108753552019987,0.0392156862745098,0.00946413344258164,0.0196078431372549,3.03501697734308,0.0392156862745098
"nmdptc_mean.wt",0.00843333910225618,0.0784313725490196,0.00833735051881707,0.0784313725490196,0.00808244182223874,0.0588235294117647,2.78710435367599,0.0784313725490196
"nmdns_med.wt",0.00601345461132646,0.117647058823529,0.00517104726994786,0.156862745098039,0.00534764118138879,0.0588235294117647,2.55237878665048,0.117647058823529
"nonstop",0.0076015641210691,0.0196078431372549,0.0017375790785395,0.0392156862745098,0.0044344672742743,0.0196078431372549,1.2622620998805,0.0196078431372549
"total",0.00178062276207114,0.313725490196078,0.00794300397348721,0.0392156862745098,0.00433182921213306,0.156862745098039,3.38852493090419,0.0980392156862745
"silent",-0.00133249417017825,0.588235294117647,0.00938929481468114,0.0980392156862745,0.00387343049920358,0.254901960784314,3.13579290832277,0.215686274509804
"nmdptc_frac_decayed",0.00167932399176779,0.294117647058824,0.00571178343989657,0.176470588235294,0.00345705831898726,0.156862745098039,1.50722856958969,0.313725490196078
"nmdns_frac_decayed",0.00127472021747664,0.294117647058824,0.00302222057100405,0.254901960784314,0.00227906090944085,0.117647058823529,0.832516125265108,0.941176470588235
"nonsense",-0.00511266052530052,0.882352941176471,0.00875315411792158,0.0392156862745098,0.00160701273883614,0.274509803921569,2.54890691150523,0.156862745098039
"nmdptc_med",-0.00116727911851986,0.568627450980392,0.00426367833263041,0.137254901960784,0.00156082336074287,0.196078431372549,2.53506938432932,0.215686274509804
"nmdfs_frac_decayed",0.00124724214722027,0.215686274509804,0.000297643702822058,0.313725490196078,0.000724704448372599,0.156862745098039,0.33120976919275,0.666666666666667
"nmdns_med",0.00197537110999757,0.313725490196078,-0.000450152312016964,0.509803921568627,0.000431842135739623,0.372549019607843,1.81173785052151,0.803921568627451
"nmdptc_max",0.00325534471398989,0.254901960784314,-0.00215645926417699,0.568627450980392,0.000272998567419836,0.294117647058824,2.35688086780967,0.647058823529412
"nmdns_mean",0.0019024237698632,0.333333333333333,-0.00122323012812009,0.607843137254902,0.000161784888218001,0.431372549019608,1.59034603726378,1
"nmdns_mut.bool",0.000319324125531219,0.352941176470588,-0.000309950120399037,0.568627450980392,2.50995134896064e-05,0.450980392156863,0.0563448839249356,0.862745098039216
"frameshift",-0.000461739250638833,0.529411764705882,0.000645675479939513,0.372549019607843,-1.16940151063713e-07,0.431372549019608,1.30905859777649,0.862745098039216
"nmdptc_mean",0.00293024807064281,0.294117647058824,-0.0020373855556582,0.549019607843137,-1.15854886304075e-05,0.392156862745098,1.91446668348039,0.882352941176471
"nmdns_max",-0.00265179427447263,0.627450980392157,0.00252008190680859,0.274509803921569,-0.000118955627946092,0.450980392156863,1.82789006494329,0.843137254901961
"nmdptc_mut.bool",-0.000145657351129151,0.588235294117647,-0.000124793365389341,0.450980392156863,-0.000154502065028381,0.568627450980392,0.034260004946881,0.92156862745098
"nmdfs_mut.bool",-3.34118811521558e-05,0.529411764705882,-0.000549366216858477,0.823529411764706,-0.000273727457705786,0.784313725490196,0.0923581680783642,0.823529411764706
"nmdptc_n_decayed",0.000172461794722529,0.411764705882353,-0.000936830189485661,0.509803921568627,-0.000664144897177157,0.549019607843137,1.44376933541172,0.411764705882353
"nmdfs_mean",0.000391324724143408,0.352941176470588,-0.00212381094717042,0.784313725490196,-0.000849997696257533,0.607843137254902,0.836122615366687,0.980392156862745
"nmdns_n_decayed",0.000175651453809348,0.607843137254902,-0.00182184621323099,0.666666666666667,-0.000869779043241001,0.725490196078431,0.83827349520453,0.941176470588235
"nmdfs_mean.wt",0.000907170466309987,0.392156862745098,-0.00308378792518111,0.92156862745098,-0.00110341859041306,0.784313725490196,0.878386771129178,0.96078431372549
"nmdfs_med",-0.00105440914584137,0.627450980392157,-0.00140164148500129,0.666666666666667,-0.00128392369678598,0.764705882352941,0.736382118186284,0.980392156862745
"nmdfs_n_decayed",-6.31163151919648e-05,0.529411764705882,-0.00261090010787884,0.92156862745098,-0.00129795137846111,0.882352941176471,0.409423513392801,0.92156862745098
"nmdfs_med.wt",0.00143307906497266,0.333333333333333,-0.00411515964211078,1,-0.00130187255728022,0.764705882352941,0.756765086949601,0.980392156862745
"nmdfs_max",-0.00148207015939147,0.666666666666667,-0.00287656814875148,0.862745098039216,-0.00232923690399302,0.862745098039216,0.997563921012125,0.96078431372549
