"","low","low.pval","high","high.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
"nmdns_n_decayed",20.2246325574254,0.0196078431372549,13.2274004832288,0.0196078431372549,21.4929135226794,0.0196078431372549,6.89196628350186,0.0196078431372549
"nmdptc_n_decayed",13.4709386933908,0.0196078431372549,7.19313771282875,0.0196078431372549,13.740723018333,0.0196078431372549,4.767941220487,0.0196078431372549
"nmdptc_mean.wt",11.0573455211683,0.0196078431372549,4.56826210517957,0.176470588235294,12.1111266087911,0.0196078431372549,3.63113147444029,0.0980392156862745
"nmdptc_frac_decayed",10.690717317747,0.0196078431372549,0.426213212792961,0.450980392156863,9.79016436716416,0.0196078431372549,1.90627979116467,0.588235294117647
"nmdptc_med",8.59311171043765,0.0196078431372549,-0.258299039183386,0.450980392156863,7.48106530345731,0.0784313725490196,2.9422383247717,0.529411764705882
"nmdfs_frac_decayed",8.66071966185978,0.0588235294117647,0.494341720823038,0.372549019607843,7.0874226415633,0.0588235294117647,0.972240784516133,0.901960784313726
"nmdns_mean.wt",3.86480767268375,0.176470588235294,5.19381858993725,0.0588235294117647,6.91436220544484,0.0784313725490196,3.07211512490382,0.313725490196078
"nmdfs_mean",9.61733810159741,0.0196078431372549,-3.52933156047743,0.901960784313726,6.90571413770925,0.0392156862745098,1.90248287569626,0.823529411764706
"nmdfs_n_decayed",3.34275856081009,0.156862745098039,4.59166157342764,0.0980392156862745,5.90764855973486,0.0784313725490196,1.39599640080038,0.450980392156863
"nmdfs_max",5.26475011337648,0.0980392156862745,1.28687227375441,0.235294117647059,5.67237538242274,0.0784313725490196,1.77255516448305,0.96078431372549
"nmdfs_mean.wt",3.46407436171552,0.137254901960784,1.87833309560355,0.196078431372549,3.96872183576711,0.0784313725490196,1.74124593570907,0.568627450980392
"nmdfs_med.wt",3.45253609400123,0.117647058823529,0.692547074843914,0.313725490196078,3.61016357853907,0.117647058823529,1.60772100212593,0.647058823529412
"nmdns_max",8.18762369667215,0.0588235294117647,-5.24522665443889,0.882352941176471,3.36103448382889,0.196078431372549,2.76711798116998,0.901960784313726
"nmdfs_med",5.53089652214329,0.0588235294117647,-3.86320403187101,0.96078431372549,3.17685473947845,0.137254901960784,1.43230139027372,0.96078431372549
"nmdptc_med.wt",4.75467814795037,0.0588235294117647,-1.68747610683656,0.607843137254902,2.98499052424996,0.254901960784314,2.51432316121805,0.627450980392157
"nmdptc_mean",2.68514099963426,0.274509803921569,-0.163526013224718,0.588235294117647,2.32174652490699,0.215686274509804,2.18748653783493,1
"nmdns_med.wt",0.405182836376222,0.529411764705882,2.36276800799826,0.215686274509804,2.15033094821496,0.196078431372549,2.19902915030903,0.823529411764706
"nmdns_frac_decayed",1.46154082532594,0.313725490196078,0.538614806815405,0.431372549019608,1.90630807608093,0.196078431372549,1.07307358219558,1
"nmdns_mean",-0.95706083976508,0.529411764705882,2.41366790938524,0.294117647058824,0.862731752365796,0.313725490196078,2.0219417459283,1
"nmdptc_max",4.75170203485529,0.0980392156862745,-5.35032170661162,0.901960784313726,0.715772482272611,0.313725490196078,3.72176256590997,0.392156862745098
"nmdns_med",1.29353453489334,0.392156862745098,-0.634796519598829,0.431372549019608,0.5221222576649,0.294117647058824,1.8581919324634,1
"nmdptc_mut.bool",1.26836583166964,0.235294117647059,-1.64979420329269,0.725490196078431,0.190908031564622,0.333333333333333,0.0394202391740931,0.705882352941177
"nmdfs_mut.bool",-0.383170018034133,0.607843137254902,0.594341223810928,0.333333333333333,0.0585600853697125,0.450980392156863,0.092291916776349,0.666666666666667
"nmdns_mut.bool",-1.09453763075657,0.647058823529412,0.850066198098224,0.333333333333333,-0.303041763398287,0.470588235294118,0.0914115517126096,0.0980392156862745
