"","low","low.pval","high","high.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
"nmdns_n_decayed",0.0618236230414944,0.0196078431372549,0.0467428209689087,0.0196078431372549,0.0529643213786165,0.0196078431372549,6.89196628350186,0.0196078431372549
"nmdptc_n_decayed",0.0338260243104641,0.0196078431372549,0.0201813023535395,0.0196078431372549,0.0268887564577885,0.0196078431372549,4.767941220487,0.0196078431372549
"nmdptc_mean.wt",0.0306245562070804,0.0196078431372549,0.0104410612181624,0.156862745098039,0.0199893453150177,0.0196078431372549,3.63113147444029,0.0980392156862745
"nmdptc_frac_decayed",0.0245083958936274,0.0196078431372549,0.00059986483457913,0.450980392156863,0.0121101766059735,0.0392156862745098,1.90627979116467,0.588235294117647
"nmdns_mean.wt",0.00862351139847587,0.156862745098039,0.0106719232198755,0.0784313725490196,0.00929004087523336,0.0784313725490196,3.07211512490382,0.313725490196078
"nmdptc_med",0.0184679680982932,0.0392156862745098,-0.000363154601788335,0.450980392156863,0.00886742561416075,0.0784313725490196,2.9422383247717,0.529411764705882
"nmdfs_mean",0.0182846520519683,0.0196078431372549,-0.00451133542246579,0.803921568627451,0.00685258191054616,0.0784313725490196,1.90248287569626,0.823529411764706
"nmdfs_frac_decayed",0.0133754180663516,0.0784313725490196,0.000597392975089502,0.372549019607843,0.00678252357715004,0.0784313725490196,0.972240784516133,0.901960784313726
"nmdfs_n_decayed",0.00463829903953061,0.176470588235294,0.00641562991266821,0.117647058823529,0.00549602530072608,0.0784313725490196,1.39599640080038,0.450980392156863
"nmdfs_max",0.00894344883394924,0.117647058823529,0.00172311803164206,0.274509803921569,0.00540291103163142,0.117647058823529,1.77255516448305,0.96078431372549
"nmdfs_mean.wt",0.00572486055876889,0.137254901960784,0.00246981358859404,0.215686274509804,0.00393867939777988,0.0980392156862745,1.74124593570907,0.568627450980392
"nmdfs_med.wt",0.00633757809605131,0.117647058823529,0.000896481446095122,0.313725490196078,0.00370102111660687,0.117647058823529,1.60772100212593,0.647058823529412
"nmdns_max",0.0157317231339705,0.0784313725490196,-0.00788279649957735,0.823529411764706,0.00352166298337847,0.254901960784314,2.76711798116998,0.901960784313726
"nmdptc_med.wt",0.00944853251495795,0.0588235294117647,-0.00280133825735892,0.568627450980392,0.00316597464494525,0.274509803921569,2.51432316121805,0.627450980392157
"nmdfs_med",0.00994858277049722,0.0588235294117647,-0.00436622461457668,0.862745098039216,0.00294077774046148,0.156862745098039,1.43230139027372,0.96078431372549
"nmdptc_mean",0.00463368283779164,0.274509803921569,-0.000242577063845404,0.568627450980392,0.00231863125101019,0.294117647058824,2.18748653783493,1
"nmdns_med.wt",0.000716218556661079,0.529411764705882,0.00379637761589303,0.274509803921569,0.00223530910555528,0.235294117647059,2.19902915030903,0.823529411764706
"nmdns_frac_decayed",0.0019432356925815,0.333333333333333,0.000678335496931539,0.431372549019608,0.00148020526947186,0.196078431372549,1.07307358219558,1
"nmdns_mean",-0.00158945654654195,0.509803921568627,0.00339457123100548,0.352941176470588,0.000838265956804503,0.352941176470588,2.0219417459283,1
"nmdptc_max",0.0100343342650305,0.0588235294117647,-0.00839260321529873,0.803921568627451,0.000825007632501515,0.313725490196078,3.72176256590997,0.392156862745098
"nmdns_med",0.00204202746908596,0.431372549019608,-0.000914524249948264,0.411764705882353,0.00048354763412023,0.352941176470588,1.8581919324634,1
"nmdptc_mut.bool",0.000227437894349659,0.196078431372549,-0.000226665395372489,0.764705882352941,1.7420595826871e-05,0.333333333333333,0.0394202391740931,0.705882352941177
"nmdfs_mut.bool",-0.000158467382290912,0.627450980392157,0.000186097675276569,0.352941176470588,1.31683109355481e-05,0.450980392156863,0.092291916776349,0.666666666666667
"nmdns_mut.bool",-0.000279076695167353,0.725490196078431,0.000224488842359686,0.254901960784314,-4.51038480929217e-05,0.509803921568627,0.0914115517126096,0.0980392156862745
