"","low","low.pval","high","high.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
"nmdns_n_decayed",21.3171493037784,0.0196078431372549,14.9928740551301,0.0196078431372549,22.9126691129022,0.0196078431372549,7.36720391598106,0.0196078431372549
"nmdptc_n_decayed",13.9006040277955,0.0392156862745098,7.38578934035563,0.0196078431372549,13.5442324992736,0.0196078431372549,4.36293437096461,0.0196078431372549
"nmdptc_mean.wt",9.19172872507022,0.0392156862745098,5.56495802443,0.0392156862745098,11.0684768300019,0.0196078431372549,3.75302332600701,0.0784313725490196
"nmdptc_frac_decayed",9.26748539946758,0.0588235294117647,1.33186274991205,0.313725490196078,8.87525088608636,0.0392156862745098,1.88356870572266,0.784313725490196
"nmdfs_mean",9.52616397275581,0.0196078431372549,-1.20823257883074,0.529411764705882,8.01230144547568,0.0196078431372549,1.74445862937795,0.862745098039216
"nmdfs_frac_decayed",6.68205606219617,0.0392156862745098,2.54021869338579,0.156862745098039,7.18029827155202,0.0588235294117647,1.14269883316145,0.470588235294118
"nmdns_mean.wt",4.15708636800276,0.117647058823529,5.42328270508492,0.0392156862745098,7.16953634153502,0.0784313725490196,2.91775205357309,0.392156862745098
"nmdptc_med",7.85660940750051,0.0980392156862745,-1.02452663847952,0.490196078431373,6.19477649435443,0.0784313725490196,2.77065263016986,0.647058823529412
"nmdfs_n_decayed",4.05187432094152,0.0784313725490196,4.07021373989743,0.137254901960784,5.91586403151223,0.0588235294117647,1.48219319901554,0.549019607843137
"nmdfs_med",5.7001678294319,0.0588235294117647,-0.277614423323085,0.352941176470588,5.08082048885977,0.0588235294117647,1.63559261311571,0.784313725490196
"nmdptc_med.wt",6.94506879597662,0.0392156862745098,-1.91058652199904,0.745098039215686,4.73048446245491,0.0588235294117647,2.39059778690098,0.705882352941177
"nmdns_med.wt",3.22333627583978,0.0980392156862745,1.67641600783444,0.196078431372549,3.75613094431856,0.117647058823529,2.08928615333415,0.862745098039216
"nmdns_frac_decayed",1.67227903486454,0.313725490196078,2.95411318598977,0.176470588235294,3.52012112752684,0.137254901960784,1.11884976617193,0.980392156862745
"nmdfs_mean.wt",3.64328639550916,0.176470588235294,0.229867165644343,0.333333333333333,3.48466979514827,0.156862745098039,1.72380189452872,0.803921568627451
"nmdfs_med.wt",4.06157099956838,0.0980392156862745,-1.61864673769875,0.607843137254902,3.06683859168453,0.0980392156862745,1.61618024838629,0.764705882352941
"nmdfs_max",2.28480366212192,0.196078431372549,1.33883632403475,0.294117647058824,2.90213464346477,0.176470588235294,1.80710264962079,0.941176470588235
"nmdptc_mean",2.62231450938652,0.254901960784314,0.910333140239728,0.294117647058824,2.70060007107679,0.156862745098039,2.17647396254342,1
"nmdptc_max",5.49450235474335,0.0784313725490196,-3.50523615257542,0.843137254901961,1.90314600361194,0.235294117647059,3.71642217651715,0.529411764705882
"nmdns_max",6.36481339131801,0.0196078431372549,-5.58615816868117,0.941176470588235,1.40778376931539,0.254901960784314,2.62482031477224,0.92156862745098
"nmdns_med",1.40899098983784,0.352941176470588,0.198489928829353,0.313725490196078,1.27934664879009,0.196078431372549,1.85155021892882,1
"nmdptc_mut.bool",2.1320629318795,0.156862745098039,-1.98460788279516,0.823529411764706,1.00630555043121,0.352941176470588,0.0418588144069889,0.509803921568627
"nmdfs_mut.bool",-1.73221878596466,0.764705882352941,2.57392795514038,0.0784313725490196,0.724408650502091,0.352941176470588,0.106478142817192,0.352941176470588
"nmdns_mean",1.13791051479174,0.294117647058824,-0.429193268873352,0.549019607843137,0.681419028000455,0.352941176470588,2.11982725743953,1
"nmdns_mut.bool",-1.22625482219849,0.725490196078431,1.28991341760539,0.235294117647059,0.363854699404573,0.450980392156863,0.111992971463506,0.0980392156862745
