"","low","low.pval","high","high.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
"nmdns_n_decayed",0.0648559902275486,0.0196078431372549,0.0516152480525787,0.0196078431372549,0.057117240940351,0.0196078431372549,7.36720391598106,0.0196078431372549
"nmdptc_n_decayed",0.0331834455155624,0.0196078431372549,0.0196662256772507,0.0196078431372549,0.0257881183748672,0.0196078431372549,4.36293437096461,0.0196078431372549
"nmdptc_mean.wt",0.0261611738916552,0.0392156862745098,0.0133211117294016,0.0196078431372549,0.019748867372324,0.0196078431372549,3.75302332600701,0.0784313725490196
"nmdptc_frac_decayed",0.0203772459671665,0.0588235294117647,0.00179432839200305,0.313725490196078,0.0111074949268349,0.0392156862745098,1.88356870572266,0.784313725490196
"nmdns_mean.wt",0.00803039372953906,0.137254901960784,0.0104962860009198,0.0784313725490196,0.00908038548433046,0.0980392156862745,2.91775205357309,0.392156862745098
"nmdfs_mean",0.0188282050312519,0.0196078431372549,-0.00161439903239001,0.509803921568627,0.00846190371444696,0.0392156862745098,1.74445862937795,0.862745098039216
"nmdptc_med",0.0149163709783706,0.137254901960784,-0.00149532858007619,0.470588235294118,0.00673971358446811,0.137254901960784,2.77065263016986,0.647058823529412
"nmdfs_frac_decayed",0.0107216995859915,0.0588235294117647,0.00265288573136231,0.176470588235294,0.00653979921183325,0.0588235294117647,1.14269883316145,0.470588235294118
"nmdfs_n_decayed",0.00666349337815512,0.0784313725490196,0.00579573580485412,0.156862745098039,0.0061393332940669,0.0980392156862745,1.48219319901554,0.549019607843137
"nmdptc_med.wt",0.0139279267449464,0.0392156862745098,-0.00319615893837794,0.725490196078431,0.0052183554223522,0.0588235294117647,2.39059778690098,0.705882352941177
"nmdfs_med",0.0108442105006783,0.0588235294117647,-0.000342793459102182,0.352941176470588,0.0050163275359026,0.0588235294117647,1.63559261311571,0.784313725490196
"nmdns_med.wt",0.00521230933114935,0.137254901960784,0.00280494313608797,0.196078431372549,0.00403980695008948,0.137254901960784,2.08928615333415,0.862745098039216
"nmdfs_mean.wt",0.00608574011326165,0.196078431372549,0.000303124126986019,0.333333333333333,0.00327193256605468,0.156862745098039,1.72380189452872,0.803921568627451
"nmdfs_med.wt",0.0077937335191237,0.0588235294117647,-0.0021194616730318,0.529411764705882,0.00310902496922453,0.117647058823529,1.61618024838629,0.764705882352941
"nmdptc_mean",0.00475816168574649,0.254901960784314,0.00127354425112535,0.372549019607843,0.00297889522843581,0.156862745098039,2.17647396254342,1
"nmdfs_max",0.00372372212170776,0.254901960784314,0.0018267231125411,0.333333333333333,0.00287772137121063,0.196078431372549,1.80710264962079,0.941176470588235
"nmdns_frac_decayed",0.00210018781987519,0.352941176470588,0.00369142591817423,0.196078431372549,0.00285208104539945,0.156862745098039,1.11884976617193,0.980392156862745
"nmdptc_max",0.0113081767647633,0.0784313725490196,-0.00591235865505206,0.823529411764706,0.00233420385244295,0.254901960784314,3.71642217651715,0.529411764705882
"nmdns_max",0.0119631783432454,0.0392156862745098,-0.00821276921553641,0.803921568627451,0.00157218227151741,0.274509803921569,2.62482031477224,0.92156862745098
"nmdns_med",0.00227928680240961,0.372549019607843,0.000283024612338021,0.313725490196078,0.00117361885589892,0.196078431372549,1.85155021892882,1
"nmdns_mean",0.00192828789825703,0.313725490196078,-0.00062511264347245,0.549019607843137,0.000686069464219695,0.352941176470588,2.11982725743953,1
"nmdfs_mut.bool",-0.00089341011006612,0.843137254901961,0.00110375536890882,0.0588235294117647,0.000201862237612764,0.294117647058824,0.106478142817192,0.352941176470588
"nmdptc_mut.bool",0.000449103605310699,0.156862745098039,-0.000175467076782866,0.764705882352941,9.31207008750388e-05,0.352941176470588,0.0418588144069889,0.509803921568627
"nmdns_mut.bool",-0.000329220749458354,0.823529411764706,0.000418399272987374,0.156862745098039,6.44285645255399e-05,0.392156862745098,0.111992971463506,0.0980392156862745
