"","low","low.pval","high","high.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
"total",8.02247207951146,0.0196078431372549,8.31653025636852,0.0196078431372549,9.9955555018624,0.0196078431372549,6.44809073239956,0.0196078431372549
"nmdns_n_decayed",8.51477065686176,0.0196078431372549,6.72066518054952,0.0196078431372549,9.48954565202169,0.0196078431372549,3.53555834939018,0.0196078431372549
"silent",7.51670874870228,0.0196078431372549,5.91612448674882,0.0392156862745098,8.74121525415415,0.0196078431372549,7.27460857169252,0.0196078431372549
"missense",4.53369828985108,0.0588235294117647,4.85758665591217,0.0196078431372549,6.52291887353338,0.0196078431372549,5.09391089818356,0.0196078431372549
"nonsense",3.72681749686648,0.0784313725490196,5.63177617297999,0.0196078431372549,6.44086825815458,0.0196078431372549,3.87434779672835,0.0196078431372549
"nmdptc_frac_decayed",7.1484093749051,0.0196078431372549,-0.597176689914309,0.647058823529412,5.9465256911466,0.0392156862745098,1.37090131891482,0.803921568627451
"nmdptc_mean.wt",4.91074289211038,0.0196078431372549,0.784627556287439,0.294117647058824,4.52671731552747,0.0392156862745098,1.89040304429879,0.647058823529412
"nmdns_mean.wt",4.28466651236504,0.0392156862745098,1.03564111406725,0.215686274509804,4.2264927046291,0.0588235294117647,1.77911315741761,0.764705882352941
"nmdptc_n_decayed",2.68592383575017,0.0588235294117647,2.585356153375,0.0588235294117647,3.67545019748044,0.0392156862745098,1.90388313135899,0.235294117647059
"nmdfs_frac_decayed",4.8906108069628,0.0588235294117647,-1.07290448209224,0.745098039215686,3.48857249962873,0.0980392156862745,0.893418434070226,0.705882352941177
"nmdfs_med",4.18698701112507,0.0784313725490196,-1.37752121498277,0.725490196078431,3.02508593291586,0.156862745098039,0.992109349987511,1
"nmdptc_mean",4.76211331859617,0.0392156862745098,-1.80815968278074,0.627450980392157,2.96137233892287,0.0980392156862745,1.35351110107004,1
"nmdptc_med",4.09441710070652,0.0392156862745098,-1.01052318397059,0.647058823529412,2.51102488203413,0.0980392156862745,1.45981122680305,1
"nmdfs_med.wt",1.92017163454397,0.215686274509804,-0.0201607392311664,0.509803921568627,1.74658465456474,0.215686274509804,1.127766497599,0.941176470588235
"nmdns_frac_decayed",2.59841691818916,0.0784313725490196,-1.05814225366033,0.686274509803922,1.33021367842168,0.254901960784314,0.798945287095738,1
"nmdns_mut.bool",1.61707083114595,0.117647058823529,-1.00100150250438,0.725490196078431,1.32974963761819,0.156862745098039,0.0259975191605724,0.882352941176471
"nmdfs_mean",2.70515376651238,0.0980392156862745,-1.8768730538945,0.803921568627451,1.22957843272353,0.117647058823529,1.02627187530372,1
"nmdfs_mean.wt",0.479590105585172,0.411764705882353,0.779448456170861,0.176470588235294,1.0065428681904,0.215686274509804,0.939834908517003,1
"nmdptc_mut.bool",1.00100150250438,0.137254901960784,0,0.686274509803922,1.00100150250438,0.176470588235294,0.0248615053763441,0.568627450980392
"nmdptc_med.wt",3.28036257037087,0.0784313725490196,-3.16276301545923,0.941176470588235,0.805122906236368,0.235294117647059,1.34233084379327,1
"nmdns_mean",1.89136903125858,0.215686274509804,-1.71886870539488,0.705882352941177,0.469561654761987,0.274509803921569,1.46989236120271,1
"nmdptc_max",1.16741125610136,0.294117647058824,-1.41484763214137,0.686274509803922,0.0923761286340662,0.372549019607843,2.20167277466108,0.941176470588235
"nmdfs_max",1.18477079193509,0.235294117647059,-1.72976204501776,0.745098039215686,-0.0533247831138577,0.372549019607843,0.874687801114754,1
"nonstop",0.169197209261971,0.411764705882353,-0.368865423303549,0.392156862745098,-0.061428120142693,0.294117647058824,0.145064180901757,0.96078431372549
"nmdns_max",2.66262682132586,0.137254901960784,-3.37900974566205,0.862745098039216,-0.254808085847986,0.372549019607843,1.56541934307669,1
"nmdfs_n_decayed",0.15084040990629,0.450980392156863,-0.894820790890923,0.529411764705882,-0.354271170515443,0.529411764705882,0.626938784329014,1
"nmdns_med.wt",-0.702481493089352,0.627450980392157,-0.173670893428953,0.529411764705882,-0.712234917454836,0.607843137254902,1.10166947762877,1
"nmdns_med",1.45161671247877,0.196078431372549,-2.76755970438023,0.862745098039216,-0.970196318137287,0.568627450980392,1.20514829488021,1
"nmdfs_mut.bool",-0.913210816327607,0.745098039215686,0.10040222355528,0.450980392156863,-1.077974449237,0.784313725490196,0.07246720666849,0.470588235294118
"frameshift",-2.00910554007831,0.764705882352941,-0.337325743121541,0.470588235294118,-1.72404365685879,0.686274509803922,1.05506793007939,1
