"","low","low.pval","high","high.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
"total",0.02849479213689,0.0196078431372549,0.0353507226654324,0.0196078431372549,0.0307757576712289,0.0196078431372549,6.44809073239956,0.0196078431372549
"silent",0.0302216247656064,0.0196078431372549,0.0266571905287703,0.0196078431372549,0.0276461819115776,0.0196078431372549,7.27460857169252,0.0196078431372549
"nmdns_n_decayed",0.0275436303399616,0.0196078431372549,0.024442151471125,0.0196078431372549,0.0257155875072884,0.0196078431372549,3.53555834939018,0.0196078431372549
"missense",0.0141899041287405,0.0588235294117647,0.0171057427404693,0.0196078431372549,0.015514782815397,0.0196078431372549,5.09391089818356,0.0196078431372549
"nonsense",0.0102120113740076,0.0784313725490196,0.0204721578288599,0.0196078431372549,0.0151968373826004,0.0196078431372549,3.87434779672835,0.0196078431372549
"nmdptc_frac_decayed",0.018980794552212,0.0196078431372549,-0.000919313895225188,0.568627450980392,0.00903044490887366,0.0588235294117647,1.37090131891482,0.803921568627451
"nmdptc_mean.wt",0.0149599699608658,0.0196078431372549,0.00197078981128651,0.254901960784314,0.00858567224381916,0.0588235294117647,1.89040304429879,0.647058823529412
"nmdptc_n_decayed",0.0062637710771154,0.0588235294117647,0.00667872261351666,0.0392156862745098,0.00660859747528614,0.0196078431372549,1.90388313135899,0.235294117647059
"nmdns_mean.wt",0.00988298942849825,0.0784313725490196,0.00179750453194423,0.254901960784314,0.00572625621896637,0.0588235294117647,1.77911315741761,0.764705882352941
"nmdfs_frac_decayed",0.00891900882802754,0.0980392156862745,-0.00149204882022152,0.686274509803922,0.00371592564687623,0.117647058823529,0.893418434070226,0.705882352941177
"nmdfs_med",0.0100608607704246,0.0784313725490196,-0.00169475423384092,0.627450980392157,0.00368778170736889,0.176470588235294,0.992109349987511,1
"nmdptc_mean",0.00997439670894308,0.0588235294117647,-0.00273059620579053,0.490196078431373,0.0036186504617992,0.137254901960784,1.35351110107004,1
"nmdptc_med",0.00846763594608728,0.0588235294117647,-0.00159628404671412,0.588235294117647,0.00325522500687134,0.117647058823529,1.45981122680305,1
"nmdfs_med.wt",0.00379904606583298,0.235294117647059,-3.00125407762182e-05,0.509803921568627,0.00203199015481822,0.235294117647059,1.127766497599,0.941176470588235
"nmdns_frac_decayed",0.00417571732047435,0.196078431372549,-0.00157539682831041,0.627450980392157,0.00142512607162217,0.294117647058824,0.798945287095738,1
"nmdfs_mean",0.00557913498214144,0.137254901960784,-0.00256491964612053,0.607843137254902,0.00141904414285713,0.137254901960784,1.02627187530372,1
"nmdfs_mean.wt",0.000814865587964928,0.431372549019608,0.00125965521505878,0.215686274509804,0.00115203324289564,0.254901960784314,0.939834908517003,1
"nmdptc_med.wt",0.00682984073267086,0.0784313725490196,-0.00510677359892766,0.764705882352941,0.000957756062000576,0.294117647058824,1.34233084379327,1
"nmdns_mean",0.00375465033747306,0.294117647058824,-0.00257191580185119,0.607843137254902,0.000541609020372023,0.294117647058824,1.46989236120271,1
"nmdns_mut.bool",0.00038695652173913,0.0980392156862745,-9.09090909090909e-05,0.529411764705882,0.000158108108108108,0.137254901960784,0.0259975191605724,0.882352941176471
"nmdptc_max",0.0030636381572342,0.274509803921569,-0.00279267615116634,0.647058823529412,0.000133647613330013,0.372549019607843,2.20167277466108,0.941176470588235
"nmdptc_mut.bool",8e-05,0.254901960784314,0,0.686274509803922,4.65116279069767e-05,0.274509803921569,0.0248615053763441,0.568627450980392
"nonstop",5.25676937441643e-05,0.431372549019608,-7.3015873015873e-05,0.372549019607843,-1.06266900384547e-05,0.294117647058824,0.145064180901757,0.96078431372549
"nmdfs_max",0.00200849844030824,0.294117647058824,-0.00242775007165302,0.666666666666667,-5.35726577009637e-05,0.372549019607843,0.874687801114754,1
"nmdfs_mut.bool",-0.000492884076707606,0.823529411764706,4.84394548333167e-05,0.431372549019608,-0.000282720970182353,0.725490196078431,0.07246720666849,0.470588235294118
"nmdns_max",0.00512788100815493,0.176470588235294,-0.0053226179341814,0.725490196078431,-0.000300859406195038,0.372549019607843,1.56541934307669,1
"nmdfs_n_decayed",0.00024385468447388,0.450980392156863,-0.000969068786565085,0.450980392156863,-0.000313300227721079,0.509803921568627,0.626938784329014,1
"nmdns_med.wt",-0.00139978227228867,0.627450980392157,-0.000245204053884226,0.529411764705882,-0.000730316877729904,0.568627450980392,1.10166947762877,1
"nmdns_med",0.00250485579513241,0.274509803921569,-0.00419690669338738,0.764705882352941,-0.00101902339674932,0.549019607843137,1.20514829488021,1
"frameshift",-0.00359933901702511,0.725490196078431,-0.000567680545625087,0.470588235294118,-0.00197167620377302,0.666666666666667,1.05506793007939,1
