"","low","low.pval","high","high.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
"nmdns_med",1.92322783469775,0.274509803921569,10.3033959690583,0.0196078431372549,11.531145052225,0.0196078431372549,8.21518670967345,0.0196078431372549
"nmdptc_frac_decayed",5.77872176108553,0.0784313725490196,0.210739794052011,0.352941176470588,5.58661302964434,0.0392156862745098,2.25852373197277,0.568627450980392
"nmdptc_max",-1.36800005643809,0.647058823529412,7.32924795394641,0.0196078431372549,5.32465021780556,0.137254901960784,10.7633418404188,0.176470588235294
"nmdptc_med",-0.74560679233713,0.588235294117647,5.3755269742809,0.0196078431372549,4.71398653006731,0.0784313725490196,8.07803745944377,0.294117647058824
"nmdns_frac_decayed",2.21027214513691,0.254901960784314,2.21212943619364,0.235294117647059,4.01439864780529,0.0784313725490196,2.49322149286437,0.0196078431372549
"nmdptc_mean",-0.707959096966946,0.588235294117647,3.75955568564033,0.0588235294117647,3.02893140690158,0.117647058823529,7.4301167465744,0.627450980392157
"nmdns_max",-1.30740223719881,0.529411764705882,4.10241866275437,0.117647058823529,2.61894379005126,0.235294117647059,6.94946698648227,0.215686274509804
"nmdfs_frac_decayed",6.34244238692653,0.0196078431372549,-5.415727998804,1,2.55900802934233,0.0980392156862745,0.741428329230991,0.803921568627451
"nmdns_med.wt",-3.64871895785475,0.882352941176471,5.24395382454838,0.0392156862745098,2.27474358771923,0.0980392156862745,4.32980272396951,0.176470588235294
"nmdns_n_decayed",1.94242006273671,0.352941176470588,-0.238580667667277,0.431372549019608,1.05252533283885,0.254901960784314,2.16781512582155,0.0784313725490196
"nmdptc_mean.wt",1.34100482783508,0.274509803921569,-0.0195745753179852,0.411764705882353,0.867801855865872,0.294117647058824,6.53208944404802,0.823529411764706
"nmdfs_n_decayed",2.97066896269934,0.196078431372549,-2.02718429926103,0.686274509803922,0.399199204457284,0.274509803921569,0.829760602783015,0.901960784313726
"nmdfs_med",3.97321919769693,0.0196078431372549,-3.34922879907744,0.882352941176471,-0.00445584797662544,0.313725490196078,3.55161635920685,0.843137254901961
"nmdptc_n_decayed",2.68212252866621,0.313725490196078,-2.77061220020097,0.686274509803922,-0.191244615300602,0.333333333333333,1.91580274000782,0.666666666666667
"nmdfs_med.wt",1.93725273534551,0.215686274509804,-1.88774809839743,0.745098039215686,-0.213885474351019,0.392156862745098,2.59504797459612,1
"nmdfs_mean",2.93263607695447,0.117647058823529,-3.21198705304354,0.882352941176471,-0.269199130765708,0.450980392156863,2.96418405162855,1
"nmdfs_max",1.2482571885108,0.352941176470588,-1.4907900550144,0.705882352941177,-0.384527975834191,0.470588235294118,4.60132917765097,0.862745098039216
"nmdns_mean",-0.595892481523613,0.411764705882353,0.0398987719990409,0.431372549019608,-0.638480449777173,0.450980392156863,5.08915210192642,0.156862745098039
"nmdptc_med.wt",-0.348117763269985,0.509803921568627,-0.0232835290766076,0.411764705882353,-0.685533956361436,0.450980392156863,5.49795814362195,0.980392156862745
"nmdfs_mut.bool",1.04301568347398,0.352941176470588,-1.91352020489841,0.725490196078431,-0.867287391202722,0.568627450980392,0.21612103675931,0.0784313725490196
"nmdns_mean.wt",-0.481550648635497,0.490196078431373,-0.672948472777505,0.509803921568627,-1.05428306709973,0.568627450980392,4.63046541253963,0.333333333333333
"nmdfs_mean.wt",1.60297548758022,0.254901960784314,-2.76669851083828,0.745098039215686,-1.59036023671573,0.607843137254902,2.48457621798533,1
"nmdns_mut.bool",0.0664149554707944,0.568627450980392,-1.37256691576864,0.568627450980392,-2.04675310045492,0.941176470588235,0.142117926094244,0.568627450980392
"nmdptc_mut.bool",-0.344734795205607,0.607843137254902,-0.610042351496242,0.392156862745098,-2.29257060704229,0.784313725490196,0.0812453022409192,0.764705882352941
