"","low","low.pval","high","high.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
"nmdns_med",1.06002550222284,0.431372549019608,14.8194162619847,0.0196078431372549,15.0668943345323,0.0196078431372549,8.0882564313989,0.0196078431372549
"nmdptc_med",-0.905033934218605,0.529411764705882,7.93728795730333,0.0784313725490196,7.75897653443967,0.0588235294117647,7.97833272015108,0.254901960784314
"nmdptc_max",-3.29382687120013,0.745098039215686,8.91065044116643,0.0784313725490196,5.52658538913191,0.215686274509804,10.9590550245378,0.117647058823529
"nmdptc_mean",-1.9441510270709,0.686274509803922,7.16692474488308,0.0784313725490196,5.52451218642712,0.0784313725490196,7.82787192937423,0.549019607843137
"nmdns_frac_decayed",3.03921906216521,0.254901960784314,2.56455556227894,0.294117647058824,5.11981705266893,0.0784313725490196,2.03100553841943,0.0588235294117647
"nmdptc_frac_decayed",7.31183076814686,0.117647058823529,-2.55756624263645,0.627450980392157,4.45137738787543,0.137254901960784,2.44019023203501,0.450980392156863
"nmdfs_frac_decayed",9.06150443338134,0.0196078431372549,-6.73732970316649,1,3.80071591435578,0.137254901960784,0.782194324010817,0.823529411764706
"nmdfs_mean",4.97462977271724,0.117647058823529,-1.91723982178021,0.647058823529412,3.10340447507494,0.215686274509804,3.15144255866242,0.980392156862745
"nmdfs_med",3.76625338187207,0.137254901960784,-1.35978343707103,0.686274509803922,2.7023047812943,0.215686274509804,3.33354218537031,0.901960784313726
"nmdns_max",-3.51834954253236,0.666666666666667,5.4204732108848,0.215686274509804,2.17616183227028,0.274509803921569,7.51480591513814,0.0392156862745098
"nmdns_n_decayed",0.893255876830007,0.313725490196078,1.5675470339529,0.411764705882353,2.06567083408432,0.215686274509804,1.79997811431701,0.0980392156862745
"nmdns_med.wt",-3.71151006584753,0.882352941176471,5.21040903195762,0.0980392156862745,1.6028253854487,0.313725490196078,4.55368780072251,0.294117647058824
"nmdns_mean",0.202204561060788,0.588235294117647,1.57883344762942,0.313725490196078,1.39490196820475,0.313725490196078,4.98564256678419,0.215686274509804
"nmdns_mean.wt",-1.42557527818738,0.686274509803922,2.17667019403547,0.372549019607843,0.784149429749166,0.352941176470588,4.65996812080506,0.470588235294118
"nmdfs_med.wt",3.54634421288866,0.196078431372549,-2.13683007073388,0.745098039215686,0.698261376980497,0.450980392156863,2.34403255855495,1
"nmdfs_mut.bool",0.169569867594815,0.392156862745098,0.285800520998459,0.509803921568627,0.164430789393806,0.392156862745098,0.211461513155369,0.0588235294117647
"nmdfs_max",-0.613715244031544,0.529411764705882,0.878799309089231,0.372549019607843,0.0851803263030094,0.431372549019608,4.32938640001425,0.980392156862745
"nmdfs_mean.wt",2.55955578626946,0.313725490196078,-2.54035118562772,0.764705882352941,0.0592216378363464,0.431372549019608,2.54435823867534,1
"nmdptc_mean.wt",0.839055512819692,0.372549019607843,-0.564771034742206,0.529411764705882,-0.139329513411022,0.450980392156863,6.96995284264254,0.627450980392157
"nmdptc_n_decayed",1.57804869226281,0.372549019607843,-1.57151391682534,0.588235294117647,-0.175773376519444,0.352941176470588,1.65616129596948,0.862745098039216
"nmdptc_med.wt",-2.0659057398741,0.549019607843137,1.32580301196813,0.470588235294118,-0.951256411229068,0.568627450980392,5.36289502847449,1
"nmdns_mut.bool",-0.415807076253273,0.431372549019608,-0.495228158635418,0.588235294117647,-1.37663571906318,0.627450980392157,0.139460602224604,0.705882352941177
"nmdfs_n_decayed",1.01467781749631,0.235294117647059,-2.87718116365245,0.843137254901961,-2.35971178101529,0.725490196078431,0.83529410274216,0.882352941176471
"nmdptc_mut.bool",-0.113367323552182,0.470588235294118,-0.848960644978826,0.588235294117647,-2.53521878354913,0.843137254901961,0.08782014990338,0.666666666666667
