"","low","low.pval","high","high.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
"nmdns_med",0.00188595524139055,0.392156862745098,0.0316541780709868,0.0196078431372549,0.0165468768903584,0.0196078431372549,8.0882564313989,0.0196078431372549
"nmdptc_med",-0.00215760527997434,0.529411764705882,0.019938270035789,0.0784313725490196,0.00880304430947925,0.0588235294117647,7.97833272015108,0.254901960784314
"nmdptc_max",-0.00870490015764395,0.764705882352941,0.0258235487656481,0.0784313725490196,0.00843334831199022,0.196078431372549,10.9590550245378,0.117647058823529
"nmdptc_mean",-0.00446004023546688,0.686274509803922,0.0181520009684549,0.0784313725490196,0.00623793787599054,0.137254901960784,7.82787192937423,0.549019607843137
"nmdns_frac_decayed",0.00427515363887257,0.176470588235294,0.00365499720150299,0.254901960784314,0.00383834742152889,0.0784313725490196,2.03100553841943,0.0588235294117647
"nmdptc_frac_decayed",0.0104978512285549,0.117647058823529,-0.0033742703799872,0.666666666666667,0.00330032782616269,0.137254901960784,2.44019023203501,0.450980392156863
"nmdns_max",-0.00784234040617378,0.725490196078431,0.0137202491245195,0.137254901960784,0.00276114877163387,0.254901960784314,7.51480591513814,0.0392156862745098
"nmdfs_mean",0.00674128713583847,0.235294117647059,-0.00259797554674227,0.549019607843137,0.00209693891339562,0.235294117647059,3.15144255866242,0.980392156862745
"nmdfs_med",0.00563770403895285,0.196078431372549,-0.00179430000250265,0.686274509803922,0.00193933175228676,0.235294117647059,3.33354218537031,0.901960784313726
"nmdns_n_decayed",0.00111857779328536,0.294117647058824,0.00222349935967438,0.352941176470588,0.00157797242413028,0.156862745098039,1.79997811431701,0.0980392156862745
"nmdfs_frac_decayed",0.00725019470191086,0.0588235294117647,-0.00422808986887926,0.980392156862745,0.0015599331422929,0.176470588235294,0.782194324010817,0.823529411764706
"nmdns_med.wt",-0.00621037889020233,0.862745098039216,0.00952561415321946,0.0980392156862745,0.00138100085519243,0.313725490196078,4.55368780072251,0.294117647058824
"nmdns_mean",0.000340391905432593,0.588235294117647,0.00281838035629834,0.313725490196078,0.00127714248785216,0.313725490196078,4.98564256678419,0.215686274509804
"nmdns_mean.wt",-0.00218751616028726,0.666666666666667,0.00382469826530662,0.392156862745098,0.000682513346079693,0.352941176470588,4.65996812080506,0.470588235294118
"nmdfs_med.wt",0.00480009868660704,0.235294117647059,-0.00286960359080371,0.705882352941177,0.000451540001459282,0.450980392156863,2.34403255855495,1
"nmdfs_max",-0.000993519896513512,0.509803921568627,0.00149412306576229,0.372549019607843,7.91668243308005e-05,0.431372549019608,4.32938640001425,0.980392156862745
"nmdfs_mean.wt",0.00329070250992971,0.372549019607843,-0.00324487875827286,0.666666666666667,3.83202832393535e-05,0.431372549019608,2.54435823867534,1
"nmdfs_mut.bool",7.5576375728087e-05,0.392156862745098,0.000142883308973598,0.509803921568627,2.74613519814664e-05,0.411764705882353,0.211461513155369,0.0588235294117647
"nmdptc_n_decayed",0.00177007995786036,0.392156862745098,-0.00185051543373466,0.568627450980392,-0.000107693717750125,0.333333333333333,1.65616129596948,0.862745098039216
"nmdptc_mean.wt",0.00170361590926636,0.392156862745098,-0.00137143401940765,0.529411764705882,-0.000147680322954977,0.450980392156863,6.96995284264254,0.627450980392157
"nmdns_mut.bool",-0.000185920543156979,0.450980392156863,-0.000241649123854525,0.607843137254902,-0.000272797914797069,0.607843137254902,0.139460602224604,0.705882352941177
"nmdptc_mut.bool",-5.89014069521997e-05,0.470588235294118,-0.000588496630439704,0.588235294117647,-0.000399797219581409,0.745098039215686,0.08782014990338,0.666666666666667
"nmdptc_med.wt",-0.00421695983668286,0.549019607843137,0.00287128461878265,0.470588235294118,-0.000931676135244451,0.568627450980392,5.36289502847449,1
"nmdfs_n_decayed",0.000796040842503347,0.294117647058824,-0.00238370056128789,0.803921568627451,-0.000973860892577488,0.686274509803922,0.83529410274216,0.882352941176471
