"","low","low.pval","high","high.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
"nmdptc_max",0.0374305618583344,0.0196078431372549,0.00471599313087591,0.274509803921569,0.0208713562186488,0.0196078431372549,7.03629476796068,0.0588235294117647
"nmdns_med.wt",0.0310202235286405,0.0196078431372549,0.00613488331389444,0.215686274509804,0.0174709161588071,0.0196078431372549,5.76884362633961,0.0196078431372549
"nmdptc_mean.wt",0.0152886066718135,0.0196078431372549,0.00825729272561946,0.117647058823529,0.0116427032354174,0.0392156862745098,5.17658848746974,0.0588235294117647
"nmdfs_max",0.00664002744027794,0.0784313725490196,0.0110552847630607,0.117647058823529,0.00804789736204851,0.0588235294117647,3.4983562628462,0.431372549019608
"nmdfs_frac_decayed",0.00345113034325945,0.0980392156862745,0.011507054361842,0.0392156862745098,0.00683518014941821,0.0392156862745098,2.29700206607303,0.0392156862745098
"nmdptc_med.wt",0.0120052154455106,0.0392156862745098,0.00176902929277997,0.352941176470588,0.00659056902533363,0.0980392156862745,4.08912928441717,0.392156862745098
"nmdptc_mean",0.0047412219783499,0.137254901960784,0.00891094744008607,0.215686274509804,0.00627953933986897,0.0784313725490196,4.34239273309421,0.431372549019608
"nmdptc_med",0.00457779904290986,0.294117647058824,0.00643410971102622,0.117647058823529,0.00509151127540568,0.117647058823529,4.4811671663147,0.372549019607843
"nmdptc_n_decayed",0.00160015964869299,0.215686274509804,0.00637409002769839,0.117647058823529,0.00408433751361069,0.0784313725490196,2.43305852582174,0.509803921568627
"nmdns_mean",0.00385596037798179,0.117647058823529,0.00218974608806946,0.313725490196078,0.00275481710067149,0.0980392156862745,3.26930732905518,0.549019607843137
"nmdfs_n_decayed",0.000215612469254833,0.470588235294118,0.00544431161558858,0.137254901960784,0.00256965439838027,0.0980392156862745,2.03780185855819,0.254901960784314
"nmdns_med",0.00695896386707714,0.0980392156862745,-0.00189736884306951,0.588235294117647,0.00244502415877177,0.196078431372549,2.49131063462497,0.980392156862745
"nmdfs_med",-0.00400648090840109,0.784313725490196,0.0072755723041623,0.117647058823529,0.00124164201535848,0.352941176470588,2.61914056979777,0.92156862745098
"nmdfs_mut.bool",0.000678008958597052,0.0784313725490196,0.00167705705727445,0.0392156862745098,0.00116160160830694,0.0196078431372549,0.426324197624815,0.0196078431372549
"nmdfs_mean",-0.00311340316416738,0.764705882352941,0.00622585915218374,0.117647058823529,0.00103350230718094,0.372549019607843,3.08901085702892,0.686274509803922
"nmdns_frac_decayed",-0.0004899124810835,0.509803921568627,0.00125074159373266,0.352941176470588,0.000377645592190997,0.372549019607843,1.1312555976041,1
"nmdfs_mean.wt",0.00105326029562543,0.431372549019608,-0.000598132465989263,0.470588235294118,0.000287829165962451,0.411764705882353,2.3320504011387,0.980392156862745
"nmdns_n_decayed",-0.00221738731688591,0.666666666666667,0.00324860552967487,0.254901960784314,0.000249781570706988,0.431372549019608,1.71084824566112,0.843137254901961
"nmdns_mut.bool",3.28320802005013e-05,0.333333333333333,0.000142169312169312,0.254901960784314,0.000100922751226839,0.196078431372549,0.0625695232075667,0.568627450980392
"nmdns_max",-0.0028165369523714,0.647058823529412,0.00301877407360914,0.313725490196078,-0.000263356337373058,0.450980392156863,3.35572907401656,0.882352941176471
"nmdns_mean.wt",0.00373034563936968,0.215686274509804,-0.0052694696603098,0.823529411764706,-0.000890542295157952,0.588235294117647,2.93538640213225,0.96078431372549
"nmdfs_med.wt",0.00223564513006995,0.411764705882353,-0.00459857785881629,0.764705882352941,-0.00111529300798692,0.509803921568627,2.76333770481715,0.725490196078431
"nmdptc_frac_decayed",-0.00489288988241541,0.686274509803922,0.00154590456334574,0.431372549019608,-0.00183757747369258,0.647058823529412,2.17478039868133,0.843137254901961
