"","low","low.pval","high","high.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
"nmdptc_max",11.8518288066583,0.0196078431372549,1.73031431577149,0.392156862745098,10.2715140576234,0.0196078431372549,7.99329344186673,0.0588235294117647
"nmdns_med.wt",7.68620346766723,0.0196078431372549,3.68616568975164,0.0784313725490196,9.01699124500256,0.0196078431372549,6.35559687230599,0.0392156862745098
"nmdfs_frac_decayed",-0.793997826888779,0.588235294117647,7.52256417313885,0.0196078431372549,6.7398569431766,0.0196078431372549,2.31482947296847,0.117647058823529
"nmdptc_mean",1.56463426448783,0.254901960784314,4.19907846481104,0.0980392156862745,5.48878094936827,0.0588235294117647,4.06920316181551,0.509803921568627
"nmdptc_med",0.454709973799638,0.431372549019608,3.10794265149516,0.137254901960784,3.45281107882484,0.0392156862745098,4.64626011043911,0.196078431372549
"nmdns_mean",3.9775277538153,0.0784313725490196,0.835976910260335,0.333333333333333,3.42901328985472,0.156862745098039,3.34319769767872,0.568627450980392
"nmdfs_max",0.50691252308461,0.431372549019608,3.22649606288719,0.117647058823529,2.7885491373849,0.137254901960784,3.39693838389112,0.607843137254902
"nmdfs_mean",-0.784353599984203,0.490196078431373,4.35598264064118,0.0196078431372549,2.61925654371539,0.0980392156862745,2.80617085098781,0.549019607843137
"nmdptc_mean.wt",3.67819272736825,0.0588235294117647,-0.920161021743526,0.666666666666667,2.49626233017068,0.176470588235294,6.19091777025781,0.0784313725490196
"nmdfs_n_decayed",2.25781131527242,0.254901960784314,1.26035325120897,0.215686274509804,2.32528691390166,0.176470588235294,1.92364867004022,0.254901960784314
"nmdfs_med",-2.32628683305241,0.843137254901961,4.36228621346831,0.0588235294117647,2.27402610563581,0.0588235294117647,2.5027300120322,0.745098039215686
"nmdptc_med.wt",3.40849253896586,0.117647058823529,-0.574954337510489,0.568627450980392,2.2419395231284,0.137254901960784,3.37482026803895,0.803921568627451
"nmdptc_n_decayed",1.81359386458852,0.274509803921569,0.949976708294034,0.235294117647059,2.20934051528997,0.196078431372549,2.63549046423533,0.431372549019608
"nmdfs_mut.bool",0.726890476490185,0.294117647058824,1.48421220280312,0.0784313725490196,1.60010137725704,0.0784313725490196,0.440494935764985,0.0392156862745098
"nmdns_mut.bool",0.957691400443612,0.196078431372549,0.993667693417784,0.274509803921569,1.17203405839757,0.0980392156862745,0.0271209472697845,0.882352941176471
"nmdns_med",0.571323057146061,0.490196078431373,0.281256303402203,0.372549019607843,0.78354806996595,0.313725490196078,2.37838886524564,0.941176470588235
"nmdns_n_decayed",0.72502765569715,0.411764705882353,0.437079647716617,0.352941176470588,0.758643445950708,0.431372549019608,1.6427604512419,0.725490196078431
"nmdfs_med.wt",2.30137957980581,0.196078431372549,-2.24758068138723,0.823529411764706,0.161170605230739,0.372549019607843,2.47110528813464,0.647058823529412
"nmdfs_mean.wt",-0.215283294421226,0.470588235294118,0.507337000455463,0.294117647058824,-0.00919931095828063,0.313725490196078,1.98806117063065,0.980392156862745
"nmdns_mean.wt",2.56930886954655,0.117647058823529,-2.54702774440806,0.862745098039216,-0.458985844782059,0.490196078431373,2.54163806657941,0.843137254901961
"nmdns_frac_decayed",-0.90653983527878,0.607843137254902,0.165321907793894,0.450980392156863,-0.715364221951431,0.529411764705882,1.0792145297021,0.980392156862745
"nmdns_max",-2.14453414275254,0.725490196078431,0.969024875818689,0.352941176470588,-0.858121869700368,0.509803921568627,3.37281525669124,0.882352941176471
"nmdptc_frac_decayed",-3.13212948227258,0.803921568627451,2.50532299769049,0.156862745098039,-1.03642535991986,0.549019607843137,1.97976045503883,0.862745098039216
