"","low","low.pval","high","high.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
"nmdptc_max",0.0438404125832308,0.0196078431372549,0.00593126179793092,0.333333333333333,0.0242664947202965,0.0196078431372549,7.99329344186673,0.0588235294117647
"nmdns_med.wt",0.0327146616982401,0.0196078431372549,0.0139084808030981,0.0588235294117647,0.0224486376747584,0.0196078431372549,6.35559687230599,0.0392156862745098
"nmdfs_frac_decayed",-0.0017719357186902,0.588235294117647,0.0227499303781749,0.0196078431372549,0.0102363669489315,0.0196078431372549,2.31482947296847,0.117647058823529
"nmdptc_mean",0.00426502182185076,0.235294117647059,0.0126105920812741,0.137254901960784,0.00874391184002973,0.0588235294117647,4.06920316181551,0.509803921568627
"nmdptc_med",0.00121453822082669,0.411764705882353,0.00885496003737737,0.117647058823529,0.0055867138954758,0.0196078431372549,4.64626011043911,0.196078431372549
"nmdns_mean",0.00964542661949191,0.0784313725490196,0.00215273541296948,0.352941176470588,0.00538283392170283,0.176470588235294,3.34319769767872,0.568627450980392
"nmdptc_mean.wt",0.0136838176010471,0.0196078431372549,-0.00320385217919486,0.745098039215686,0.00519536353739444,0.0980392156862745,6.19091777025781,0.0784313725490196
"nmdfs_max",0.00121140545733374,0.431372549019608,0.0075943379006201,0.176470588235294,0.00439572347163312,0.137254901960784,3.39693838389112,0.607843137254902
"nmdfs_mean",-0.0016992573680783,0.509803921568627,0.00957781261019647,0.0196078431372549,0.00358749155432637,0.0980392156862745,2.80617085098781,0.549019607843137
"nmdfs_med",-0.0052411787265543,0.882352941176471,0.0119202405874439,0.0588235294117647,0.00297175307265883,0.0588235294117647,2.5027300120322,0.745098039215686
"nmdptc_med.wt",0.00722394685211221,0.215686274509804,-0.00140590198387159,0.588235294117647,0.00272188463597156,0.215686274509804,3.37482026803895,0.803921568627451
"nmdfs_n_decayed",0.00333456639606639,0.294117647058824,0.00216386947360619,0.196078431372549,0.00262547310902799,0.196078431372549,1.92364867004022,0.254901960784314
"nmdptc_n_decayed",0.00311127401711802,0.274509803921569,0.00170096863137532,0.235294117647059,0.00254273259290511,0.215686274509804,2.63549046423533,0.431372549019608
"nmdns_med",0.00122217266992236,0.529411764705882,0.000559172730789649,0.392156862745098,0.000923565974488182,0.313725490196078,2.37838886524564,0.941176470588235
"nmdns_n_decayed",0.000882130726727775,0.431372549019608,0.000628964970432991,0.352941176470588,0.000698688186143622,0.431372549019608,1.6427604512419,0.725490196078431
"nmdfs_mut.bool",0.000338671810433824,0.176470588235294,0.00105530441897649,0.0392156862745098,0.000643180013356798,0.0588235294117647,0.440494935764985,0.0392156862745098
"nmdfs_med.wt",0.00477528833028486,0.156862745098039,-0.00452933498233753,0.823529411764706,0.000203034540810276,0.372549019607843,2.47110528813464,0.647058823529412
"nmdns_mut.bool",0.000207789855072464,0.117647058823529,0.00013629135253162,0.254901960784314,0.000178670882450654,0.0980392156862745,0.0271209472697845,0.882352941176471
"nmdfs_mean.wt",-0.000436215438762225,0.470588235294118,0.000932593353733852,0.333333333333333,-9.95093264613883e-06,0.313725490196078,1.98806117063065,0.980392156862745
"nmdns_mean.wt",0.00593818722699769,0.0980392156862745,-0.00675386337927941,0.882352941176471,-0.000597324504684432,0.490196078431373,2.54163806657941,0.843137254901961
"nmdns_frac_decayed",-0.00160858848550821,0.568627450980392,0.00029980464730235,0.450980392156863,-0.00062099423184504,0.509803921568627,1.0792145297021,0.980392156862745
"nmdns_max",-0.00452203726458659,0.686274509803922,0.00216650212504196,0.333333333333333,-0.00120392731496438,0.490196078431373,3.37281525669124,0.882352941176471
"nmdptc_frac_decayed",-0.00663245742832301,0.823529411764706,0.00460687259637552,0.235294117647059,-0.00126858838189373,0.568627450980392,1.97976045503883,0.862745098039216
