"","low","low.pval","high","high.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
"nmdptc_max",10.3886225658972,0.0196078431372549,3.21340090801505,0.176470588235294,9.8897192286603,0.0196078431372549,4.34197082822499,0.0196078431372549
"nmdns_med.wt",8.80033135434707,0.0196078431372549,1.37562687739814,0.352941176470588,7.8376920956658,0.0392156862745098,4.32796646422745,0.0196078431372549
"nmdptc_mean.wt",4.7608103628376,0.0196078431372549,4.19109590090844,0.0588235294117647,7.06013680521284,0.0196078431372549,3.76805490157902,0.0784313725490196
"nmdfs_mean",1.27873478697152,0.215686274509804,5.96076769074248,0.0392156862745098,5.746283663095,0.0588235294117647,2.60829290945183,0.705882352941177
"nmdfs_max",1.22483002822018,0.235294117647059,6.06457621105044,0.0784313725490196,5.28136801103657,0.0588235294117647,2.96668025130363,0.431372549019608
"frameshift",4.19041840422401,0.0980392156862745,2.68846752204678,0.156862745098039,5.07740609124165,0.0392156862745098,3.23845191602181,0.0392156862745098
"nmdptc_med.wt",3.17670036464676,0.0980392156862745,2.85552977906779,0.137254901960784,4.85504266567565,0.0196078431372549,3.34315413924743,0.235294117647059
"nmdptc_mean",2.17970724470675,0.156862745098039,3.96463914339388,0.0784313725490196,4.83607035683496,0.0588235294117647,3.4160974046358,0.254901960784314
"nmdfs_mut.bool",0.478954550546501,0.372549019607843,4.72894749084193,0.0196078431372549,3.9109209752807,0.0196078431372549,0.565049696059881,0.0196078431372549
"nmdfs_frac_decayed",-0.292786230022133,0.450980392156863,4.98728980097678,0.0784313725490196,3.74416344164601,0.0980392156862745,1.62941735667189,0.196078431372549
"silent",0.998956627432219,0.254901960784314,3.31755652996573,0.117647058823529,3.11152568257406,0.0784313725490196,2.91290898723778,0.568627450980392
"nmdfs_med",-0.520873840482529,0.490196078431373,4.4056639100099,0.0588235294117647,3.10007486048353,0.0588235294117647,2.19932189865814,0.901960784313726
"nmdfs_n_decayed",-0.0465743924606881,0.411764705882353,3.75142375230249,0.0588235294117647,2.92282435406527,0.0784313725490196,1.70313340143939,0.137254901960784
"nmdptc_n_decayed",2.54000227034932,0.117647058823529,0.139678406869572,0.352941176470588,2.0932326500123,0.137254901960784,1.74419859680823,0.607843137254902
"total",0.675378862002182,0.431372549019608,2.26494028060379,0.117647058823529,2.08257709019456,0.215686274509804,2.83194666605892,0.686274509803922
"nonsense",-0.525424358795276,0.490196078431373,3.28803107053423,0.117647058823529,1.95145154645372,0.176470588235294,2.06977129751177,0.764705882352941
"nmdfs_med.wt",0.996503690039719,0.235294117647059,1.66165318545049,0.313725490196078,1.79064226813019,0.176470588235294,2.4108862760871,0.882352941176471
"nmdptc_med",1.03207699103114,0.352941176470588,1.21388205063385,0.294117647058824,1.72362825891678,0.156862745098039,3.28638026878478,0.274509803921569
"nmdns_n_decayed",1.30689572173523,0.254901960784314,0.731393969983001,0.392156862745098,1.45457862590169,0.215686274509804,1.46080472083551,0.745098039215686
"missense",-1.02696032413844,0.627450980392157,2.04923471601205,0.156862745098039,0.879827048662063,0.274509803921569,2.83212885280942,0.764705882352941
"nmdns_mean.wt",0.349540237070565,0.313725490196078,0.825154641248,0.450980392156863,0.782496899090865,0.372549019607843,2.9117462507685,0.411764705882353
"nmdfs_mean.wt",0.305375186717266,0.411764705882353,0.626079762388423,0.372549019607843,0.636917658558541,0.352941176470588,2.01009200795387,1
"nmdns_mean",0.396525641702053,0.470588235294118,0.309066407123057,0.509803921568627,0.523926706469854,0.411764705882353,2.45892700887901,0.96078431372549
"nmdns_max",-0.170445256023555,0.411764705882353,0.882001615914997,0.372549019607843,0.401577092276961,0.294117647058824,2.65975412041799,0.862745098039216
"nmdns_med",2.10808559312694,0.176470588235294,-1.81025172242436,0.803921568627451,0.271756162042929,0.392156862745098,2.48326071919148,0.96078431372549
"nmdptc_frac_decayed",-1.70165216582415,0.568627450980392,1.90086621761518,0.274509803921569,0.126827605833937,0.333333333333333,1.79400582142446,0.862745098039216
"nmdns_mut.bool",-0.850687807773343,0.549019607843137,-1.53647378318777,0.901960784313726,-1.88012602753393,0.901960784313726,0.036898638667193,1
"nonstop",-1.15979840421433,0.803921568627451,-3.26796351975949,0.96078431372549,-2.77427791571313,0.941176470588235,0.276384944525014,0.862745098039216
"nmdns_frac_decayed",-3.270004788512,0.843137254901961,-0.143330797046152,0.588235294117647,-2.90718693336483,0.901960784313726,1.17508508308917,0.980392156862745
