"","low","low.pval","high","high.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
"nmdptc_mean.wt",6.62634408412044,0.0588235294117647,12.6881197659445,0.0196078431372549,18.0971166974317,0.0196078431372549,17.6771253189309,0.0196078431372549
"nmdns_mean",3.08256786795101,0.176470588235294,11.0428955167844,0.0196078431372549,13.1896843999873,0.0196078431372549,9.35521911487394,0.0392156862745098
"nmdptc_mean",-3.94045853602875,0.901960784313726,16.9923907000328,0.0196078431372549,13.10079582829,0.0196078431372549,11.6608372485399,0.274509803921569
"nmdfs_max",9.93478108024103,0.0196078431372549,3.19922718432158,0.254901960784314,11.1994113455411,0.0196078431372549,10.3152305027206,0.215686274509804
"nmdptc_med",-9.75569536746441,1,17.1973225033959,0.0196078431372549,10.2895172355225,0.0196078431372549,11.134057602866,0.254901960784314
"nmdptc_max",5.33665826346103,0.0784313725490196,6.80244833681399,0.0588235294117647,10.2717619506476,0.0196078431372549,11.7125477246357,0.607843137254902
"nmdfs_mean.wt",4.53298178438116,0.0196078431372549,6.04059054412744,0.0392156862745098,9.95863502601135,0.0196078431372549,9.56617233873528,0.117647058823529
"nmdptc_n_decayed",-2.66016527167649,0.862745098039216,12.3110304711616,0.0196078431372549,9.62818622711843,0.0196078431372549,4.82547949109152,0.274509803921569
"nmdns_mean.wt",1.51067374326373,0.254901960784314,6.77839968597128,0.0196078431372549,8.51060372269224,0.0196078431372549,6.37712390632724,0.313725490196078
"nmdns_max",6.71372993275026,0.0392156862745098,2.33819797195492,0.176470588235294,7.36912368733957,0.0196078431372549,5.91778104461329,0.941176470588235
"nmdfs_med.wt",-2.057211881262,0.725490196078431,8.88653819393507,0.0196078431372549,7.20105764222135,0.0196078431372549,7.84632311129307,0.215686274509804
"nmdfs_mean",0.433037937048071,0.372549019607843,5.63052895501215,0.0784313725490196,5.48850056674809,0.0392156862745098,8.0587815013606,0.725490196078431
"nmdfs_med",-1.395711049723,0.666666666666667,6.39835137747258,0.0588235294117647,5.31221977081998,0.0784313725490196,6.55237923074056,0.92156862745098
"nmdns_n_decayed",3.92331391092755,0.0392156862745098,2.13773670241677,0.313725490196078,5.27459016497827,0.0392156862745098,2.56002712547827,0.235294117647059
"nmdns_med",1.19902568904479,0.392156862745098,3.95498150236105,0.117647058823529,4.99955988014752,0.0588235294117647,4.47424904458947,0.980392156862745
"nmdptc_mut.bool",-4.52695539197515,1,5.58798609640517,0.0196078431372549,4.95329018256644,0.0196078431372549,0.28112476924006,0.0196078431372549
"nmdns_frac_decayed",-1.78970131096666,0.725490196078431,6.11491733671793,0.0196078431372549,4.53645295042195,0.0196078431372549,2.52787246833474,0.333333333333333
"nmdfs_n_decayed",-1.56449686498449,0.607843137254902,5.75807774478232,0.0588235294117647,4.06590337932801,0.0980392156862745,2.71257491375637,1
"nmdptc_med.wt",-1.92042973712254,0.647058823529412,4.95198575775489,0.0588235294117647,3.3557879712757,0.0784313725490196,5.38564728786807,1
"nmdns_med.wt",0.30563094276366,0.411764705882353,2.61913376835658,0.117647058823529,2.68935784138516,0.0588235294117647,4.22402734214141,1
"nmdptc_frac_decayed",-3.15863714082749,0.823529411764706,4.51665056609787,0.0980392156862745,2.66454782078183,0.156862745098039,4.78238636187291,0.941176470588235
"nmdns_mut.bool",-3.34427244808172,1,3.83711301181331,0.0392156862745098,1.74614644826012,0.0784313725490196,0.159991699981971,0.588235294117647
"nmdfs_mut.bool",-0.374728712840728,0.509803921568627,1.28756491540204,0.313725490196078,1.26851479301542,0.254901960784314,0.100176653152899,0.666666666666667
"nmdfs_frac_decayed",-3.35346530999934,0.823529411764706,3.04304223383483,0.215686274509804,0.494417201470975,0.392156862745098,3.58743387786891,0.96078431372549
