"","low","low.pval","high","high.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
"nmdptc_mean.wt",0.0254387870279152,0.0196078431372549,0.055594904455776,0.0196078431372549,0.0401722727422663,0.0196078431372549,17.6771253189309,0.0196078431372549
"nmdptc_mean",-0.0118653096079015,0.941176470588235,0.0586186359793478,0.0196078431372549,0.0229826769421111,0.0196078431372549,11.6608372485399,0.274509803921569
"nmdns_mean",0.00889480682246411,0.0784313725490196,0.0336298798639592,0.0196078431372549,0.0210041180615597,0.0196078431372549,9.35521911487394,0.0392156862745098
"nmdptc_med",-0.0255812845891016,0.980392156862745,0.0595352297965722,0.0196078431372549,0.0165838977526304,0.0196078431372549,11.134057602866,0.254901960784314
"nmdfs_max",0.0239893967213734,0.0196078431372549,0.00669441036798427,0.294117647058824,0.015377004473042,0.0196078431372549,10.3152305027206,0.215686274509804
"nmdfs_mean.wt",0.0123254273802282,0.0196078431372549,0.0174199943745169,0.0392156862745098,0.0147959604912208,0.0196078431372549,9.56617233873528,0.117647058823529
"nmdptc_max",0.0122793079460109,0.137254901960784,0.0162912968850198,0.0784313725490196,0.0143983948198508,0.0392156862745098,11.7125477246357,0.607843137254902
"nmdns_mean.wt",0.00345627552335631,0.176470588235294,0.018735861101987,0.0196078431372549,0.0111204718215534,0.0196078431372549,6.37712390632724,0.313725490196078
"nmdfs_med.wt",-0.00423145881534041,0.725490196078431,0.0211624029604073,0.0392156862745098,0.00836847606130948,0.0392156862745098,7.84632311129307,0.215686274509804
"nmdptc_n_decayed",-0.00323335983712502,0.764705882352941,0.0201379805096306,0.0196078431372549,0.00832900828530447,0.0196078431372549,4.82547949109152,0.274509803921569
"nmdns_max",0.0120766961668454,0.0588235294117647,0.00426747432301533,0.215686274509804,0.00805132295327273,0.0784313725490196,5.91778104461329,0.941176470588235
"nmdfs_mean",0.000979456108406323,0.372549019607843,0.0128952552034921,0.0784313725490196,0.00683511915448031,0.0392156862745098,8.0587815013606,0.725490196078431
"nmdfs_med",-0.00257056086642577,0.627450980392157,0.0140586391888645,0.0784313725490196,0.00569672160990112,0.0980392156862745,6.55237923074056,0.92156862745098
"nmdns_med",0.00219057504071795,0.411764705882353,0.0072917051730071,0.137254901960784,0.00470774713949149,0.0980392156862745,4.47424904458947,0.980392156862745
"nmdns_n_decayed",0.00523094296916603,0.0392156862745098,0.00278380878146627,0.274509803921569,0.00404344277146311,0.0588235294117647,2.56002712547827,0.235294117647059
"nmdfs_n_decayed",-0.0016215675074858,0.470588235294118,0.00705141961532894,0.117647058823529,0.00275666921868656,0.0980392156862745,2.71257491375637,1
"nmdptc_med.wt",-0.00318983892555689,0.588235294117647,0.00883820692828291,0.156862745098039,0.00272140869472513,0.0980392156862745,5.38564728786807,1
"nmdns_frac_decayed",-0.00155053903936758,0.627450980392157,0.00687537733125022,0.0392156862745098,0.00260730447718581,0.0588235294117647,2.52787246833474,0.333333333333333
"nmdns_med.wt",0.000447021277495588,0.450980392156863,0.00477291788134224,0.137254901960784,0.00248129127036672,0.0588235294117647,4.22402734214141,1
"nmdptc_frac_decayed",-0.00429418678196774,0.725490196078431,0.00873275606999269,0.137254901960784,0.00228518897900886,0.215686274509804,4.78238636187291,0.941176470588235
"nmdptc_mut.bool",-0.00185656762761414,0.980392156862745,0.00490945253420976,0.0196078431372549,0.0014884976220631,0.0196078431372549,0.28112476924006,0.0196078431372549
"nmdfs_frac_decayed",-0.00414986209979987,0.705882352941177,0.00483977468035905,0.235294117647059,0.000381979169672619,0.392156862745098,3.58743387786891,0.96078431372549
"nmdns_mut.bool",-0.00119319030903618,0.96078431372549,0.00177846421693402,0.0392156862745098,0.000332210107064399,0.0588235294117647,0.159991699981971,0.588235294117647
"nmdfs_mut.bool",-5.28808534594225e-05,0.450980392156863,0.000484934373787255,0.294117647058824,0.000228127279958929,0.156862745098039,0.100176653152899,0.666666666666667
