"","low","low.pval","high","high.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
"nmdptc_mean.wt",5.69078234440024,0.0196078431372549,8.94948516908628,0.0196078431372549,13.0390784942096,0.0196078431372549,12.1555383354072,0.0196078431372549
"nmdptc_mean",1.51525612516894,0.215686274509804,11.4995398351149,0.0196078431372549,12.2886322460436,0.0196078431372549,10.8807659623895,0.0588235294117647
"nmdns_mean",5.33020957972922,0.0392156862745098,9.22408490172699,0.0196078431372549,11.9617911792952,0.0196078431372549,8.35769655618643,0.0196078431372549
"nmdfs_max",8.34016729345032,0.0196078431372549,4.50017599404606,0.137254901960784,10.4855404620648,0.0196078431372549,10.2238794180986,0.117647058823529
"nmdptc_med",-4.37463422556793,0.901960784313726,12.9182301829,0.0196078431372549,9.69540017176831,0.0196078431372549,9.67627097782502,0.254901960784314
"nmdfs_mean.wt",4.33714717022165,0.0392156862745098,5.69859714338368,0.0392156862745098,9.20171958502704,0.0196078431372549,10.030946504141,0.0392156862745098
"nmdptc_max",3.09372777839312,0.176470588235294,8.67526953511146,0.0196078431372549,9.13254211344561,0.0196078431372549,10.7621718986956,0.196078431372549
"nmdns_mean.wt",3.11623745246425,0.0784313725490196,6.48543165484655,0.0196078431372549,8.6876305279123,0.0196078431372549,7.21295990143662,0.333333333333333
"nmdfs_med",0.96766927216826,0.333333333333333,7.49467714628505,0.0196078431372549,7.76604632320344,0.0196078431372549,7.54796270251602,0.862745098039216
"nmdns_max",4.82223697253031,0.0392156862745098,3.61426575667121,0.137254901960784,6.70126757048433,0.0196078431372549,6.26441982341441,0.96078431372549
"nmdfs_mean",1.21384915234754,0.196078431372549,5.74622189058813,0.0392156862745098,6.53124906573098,0.0196078431372549,8.2799580061126,0.725490196078431
"nmdfs_med.wt",2.3019276010635,0.156862745098039,4.81180766756958,0.0392156862745098,6.38065321438139,0.0196078431372549,7.94517398396352,0.627450980392157
"nmdptc_n_decayed",-0.378405527346425,0.588235294117647,7.93468216287267,0.0196078431372549,6.26466884484779,0.0392156862745098,4.17107043433812,0.941176470588235
"nmdns_med",1.84851886541444,0.137254901960784,4.72228501203733,0.0784313725490196,5.77030892078827,0.0196078431372549,6.06418290001543,0.92156862745098
"nmdns_med.wt",1.58150784640151,0.196078431372549,4.41619097612654,0.0588235294117647,5.65016956429403,0.0196078431372549,5.667077378105,1
"nmdns_n_decayed",4.18083513071185,0.0588235294117647,1.50008752202391,0.352941176470588,4.84952699433057,0.0392156862745098,2.62486866022252,0.686274509803922
"nmdptc_med.wt",-1.64904309464207,0.725490196078431,5.87417574729619,0.0392156862745098,4.80121871511784,0.0196078431372549,7.03170154161321,1
"nmdfs_n_decayed",1.02006471477432,0.372549019607843,4.15362631879749,0.0392156862745098,4.41434723204758,0.0196078431372549,3.94375208754945,0.627450980392157
"nmdns_frac_decayed",1.0677911058388,0.411764705882353,4.00383358386743,0.0392156862745098,4.2416821222432,0.0588235294117647,2.74585579172402,0.607843137254902
"nmdfs_mut.bool",-1.53349159275061,0.745098039215686,3.62325396001298,0.0196078431372549,2.99378253229517,0.0588235294117647,0.408404770337649,0.0196078431372549
"nmdns_mut.bool",-0.637885190353596,0.490196078431373,3.09243344832682,0.0980392156862745,2.6243678893778,0.0784313725490196,0.357319488600037,0.509803921568627
"nmdptc_mut.bool",-3.83758524823285,0.96078431372549,3.9022551636808,0.0196078431372549,2.6116132549666,0.0784313725490196,0.275148943782347,0.0196078431372549
"nmdptc_frac_decayed",-1.48738534048953,0.666666666666667,3.72541667422758,0.0980392156862745,2.37799541823422,0.137254901960784,5.26571314146885,0.882352941176471
"nmdfs_frac_decayed",-2.65128259565655,0.803921568627451,1.48878339728744,0.450980392156863,-0.723080037583004,0.568627450980392,3.74876948833858,1
