"","low","low.pval","high","high.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
"nmdptc_mean.wt",0.0190945894000543,0.0196078431372549,0.030914779083452,0.0196078431372549,0.02467763313314,0.0196078431372549,12.1555383354072,0.0196078431372549
"nmdns_mean",0.014032050553773,0.0392156862745098,0.0258602223070153,0.0196078431372549,0.019732635207727,0.0196078431372549,8.35769655618643,0.0196078431372549
"nmdptc_mean",0.00418862047872459,0.176470588235294,0.0350883430687369,0.0196078431372549,0.0197133953267114,0.0196078431372549,10.8807659623895,0.0588235294117647
"nmdfs_max",0.0188361865340046,0.0196078431372549,0.0106376106066165,0.117647058823529,0.0144581754080649,0.0196078431372549,10.2238794180986,0.117647058823529
"nmdfs_mean.wt",0.0115266064521375,0.0196078431372549,0.0163003715100989,0.0196078431372549,0.0139318781893212,0.0196078431372549,10.030946504141,0.0392156862745098
"nmdptc_med",-0.010940063259942,0.92156862745098,0.0396593708449393,0.0196078431372549,0.01392775520535,0.0196078431372549,9.67627097782502,0.254901960784314
"nmdptc_max",0.00664237813511205,0.176470588235294,0.0200334082412015,0.0196078431372549,0.0134678779615397,0.0196078431372549,10.7621718986956,0.196078431372549
"nmdns_mean.wt",0.00681226630968042,0.117647058823529,0.0159471494549253,0.0196078431372549,0.011326812122545,0.0196078431372549,7.21295990143662,0.333333333333333
"nmdfs_mean",0.00274360164720329,0.215686274509804,0.0164838632277901,0.0392156862745098,0.00953591972758561,0.0196078431372549,8.2799580061126,0.725490196078431
"nmdfs_med",0.00186961029753506,0.352941176470588,0.0164888706386962,0.0196078431372549,0.00920737477444083,0.0196078431372549,7.54796270251602,0.862745098039216
"nmdfs_med.wt",0.00441804859890973,0.235294117647059,0.0111900268762643,0.0588235294117647,0.00761549408885199,0.0196078431372549,7.94517398396352,0.627450980392157
"nmdns_max",0.00894969992389743,0.0588235294117647,0.00670649047232603,0.156862745098039,0.00760187798227229,0.0196078431372549,6.26441982341441,0.96078431372549
"nmdns_med",0.00370030535079485,0.156862745098039,0.00891015070415325,0.0980392156862745,0.00617117876251143,0.0392156862745098,6.06418290001543,0.92156862745098
"nmdns_med.wt",0.00300155698524321,0.235294117647059,0.00883252501346013,0.0784313725490196,0.00596325232562092,0.0196078431372549,5.667077378105,1
"nmdptc_n_decayed",-0.000437373779512348,0.568627450980392,0.0115156471188927,0.0392156862745098,0.00542366342663778,0.0588235294117647,4.17107043433812,0.941176470588235
"nmdptc_med.wt",-0.00363445284262914,0.666666666666667,0.0143807434470498,0.0392156862745098,0.00510368892468793,0.0588235294117647,7.03170154161321,1
"nmdfs_n_decayed",0.00115726767582306,0.392156862745098,0.00603942776085958,0.0784313725490196,0.00364437432108554,0.0588235294117647,3.94375208754945,0.627450980392157
"nmdns_n_decayed",0.00467363609095757,0.117647058823529,0.00170506284396315,0.372549019607843,0.00323006025916839,0.0784313725490196,2.62486866022252,0.686274509803922
"nmdns_frac_decayed",0.00113089443298235,0.411764705882353,0.00529914254823577,0.0980392156862745,0.00318051954773571,0.0980392156862745,2.74585579172402,0.607843137254902
"nmdptc_frac_decayed",-0.00270138485562964,0.666666666666667,0.00797154812272139,0.0784313725490196,0.00252236179681069,0.137254901960784,5.26571314146885,0.882352941176471
"nmdfs_mut.bool",-0.00062374868402479,0.725490196078431,0.0026946924420008,0.0196078431372549,0.00105673479245982,0.0196078431372549,0.408404770337649,0.0196078431372549
"nmdns_mut.bool",-0.000258472143355015,0.470588235294118,0.00177043892611414,0.0980392156862745,0.000810053789764776,0.0784313725490196,0.357319488600037,0.509803921568627
"nmdptc_mut.bool",-0.00164324398187036,0.96078431372549,0.0029867335151327,0.0196078431372549,0.000703287357019946,0.0588235294117647,0.275148943782347,0.0196078431372549
"nmdfs_frac_decayed",-0.00320125728315768,0.607843137254902,0.00212663550943247,0.490196078431373,-0.000546169025573648,0.509803921568627,3.74876948833858,1
