"","low","low.pval","high","high.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
"missense",0.0324455896024645,0.0196078431372549,0.0355175956276053,0.0196078431372549,0.0335339117123459,0.0196078431372549,16.7435278888639,0.0196078431372549
"nmdptc_mean.wt",0.0247086905652117,0.0196078431372549,0.0308292546257089,0.0196078431372549,0.0276846282968978,0.0196078431372549,9.09955332079373,0.0196078431372549
"total",0.0246431631399836,0.0196078431372549,0.0308404869865681,0.0196078431372549,0.0274600445723197,0.0196078431372549,14.5796211286871,0.0196078431372549
"nmdptc_mean",0.00541410959890409,0.137254901960784,0.0374688191988481,0.0196078431372549,0.0212134280301323,0.0196078431372549,7.74355944495417,0.392156862745098
"nmdptc_med",-0.00144173019258011,0.549019607843137,0.0404416410430301,0.0196078431372549,0.0193789655903,0.0196078431372549,7.16972226165682,0.529411764705882
"silent",0.0133233658992361,0.0196078431372549,0.0237326784294749,0.0196078431372549,0.0183110591262441,0.0196078431372549,13.0581461435932,0.0196078431372549
"nmdfs_mean.wt",0.0175248095414736,0.0196078431372549,0.0138888740044021,0.0196078431372549,0.0155463407379159,0.0196078431372549,7.13192769098838,0.235294117647059
"nmdns_mean",0.01377678750913,0.0196078431372549,0.0164141909355965,0.0196078431372549,0.0149599242854555,0.0196078431372549,6.37963806598692,0.156862745098039
"frameshift",0.0106310153553111,0.0196078431372549,0.0174129459330902,0.0196078431372549,0.0138379348142375,0.0196078431372549,8.27822403928556,0.0196078431372549
"nmdfs_max",0.0128112810090411,0.0196078431372549,0.0102639177872204,0.0196078431372549,0.0115621958161304,0.0196078431372549,5.64484859235755,1
"nmdfs_mean",0.00310683201129587,0.254901960784314,0.0160902501262252,0.0196078431372549,0.00959702616549843,0.0196078431372549,5.43910238607168,1
"nmdptc_max",0.00677516118720784,0.0784313725490196,0.0124007514665055,0.0196078431372549,0.00947935505190711,0.0196078431372549,6.96696772124885,0.92156862745098
"nmdns_mean.wt",0.00811411932648425,0.0196078431372549,0.00675362566105419,0.0588235294117647,0.00752484634154175,0.0196078431372549,4.27036277015772,1
"nmdfs_med",0.00180243051387573,0.372549019607843,0.01210657297268,0.0196078431372549,0.00691781232374939,0.0196078431372549,4.83900346819411,1
"nmdptc_med.wt",0.00266502955600584,0.254901960784314,0.0108643230842323,0.0588235294117647,0.00663623065123922,0.0588235294117647,5.07089381116389,1
"nmdns_med",0.00639621595298364,0.0392156862745098,0.00660304338111734,0.0588235294117647,0.00662094984957578,0.0196078431372549,4.79025329262812,0.980392156862745
"nmdfs_med.wt",0.00437999523294717,0.117647058823529,0.00789057556666569,0.0196078431372549,0.00604677099693086,0.0196078431372549,4.95414385211572,1
"nmdns_max",0.00808503400363801,0.0196078431372549,0.00400453516822796,0.156862745098039,0.00599149704307918,0.0196078431372549,4.33906716437647,1
"nmdns_med.wt",0.00465363198515062,0.137254901960784,0.00607465943724862,0.0588235294117647,0.0054387768797201,0.0196078431372549,4.19299075542218,1
"nmdfs_n_decayed",0.00364587896162161,0.0980392156862745,0.00398779509549128,0.0588235294117647,0.00377911269864793,0.0392156862745098,2.51922035935935,1
"nonsense",-0.000431454547765121,0.470588235294118,0.00709157911651621,0.0392156862745098,0.00332830357152842,0.0784313725490196,3.51654347292039,1
"nmdfs_frac_decayed",0.00146748884287953,0.274509803921569,0.00436324935405559,0.137254901960784,0.00287067163465411,0.0588235294117647,2.40103179245407,1
"nmdptc_frac_decayed",-0.000188786731887305,0.509803921568627,0.00572369398144142,0.137254901960784,0.0026143224848007,0.0196078431372549,3.43134483977596,1
"nmdptc_n_decayed",0.00104505573953598,0.352941176470588,0.00378235879511532,0.0784313725490196,0.00245979640706504,0.0588235294117647,3.02332324549685,1
"nmdns_frac_decayed",-4.13003836028004e-05,0.450980392156863,0.00360150188912703,0.117647058823529,0.00180912057455606,0.0392156862745098,1.80264729271007,1
"nmdns_n_decayed",0.00350758641717883,0.0392156862745098,-0.000523796568949452,0.647058823529412,0.00150340331022166,0.0980392156862745,1.46350147811962,1
"nmdptc_mut.bool",-1.69271590690946e-05,0.470588235294118,0.000676181291534148,0.156862745098039,0.000309401352642038,0.0980392156862745,0.194165726128388,0.0980392156862745
"nmdfs_mut.bool",2.838100368347e-05,0.470588235294118,0.000439840182863994,0.176470588235294,0.000237408566461766,0.117647058823529,0.277287351566127,0.176470588235294
"nonstop",0.000132473803660244,0.0392156862745098,3.84615384615385e-05,0.274509803921569,8.61672224533123e-05,0.0980392156862745,0.196043597960311,0.176470588235294
"nmdns_mut.bool",-0.000759533320671433,0.882352941176471,0.000789880802140201,0.0784313725490196,3.09179571783261e-05,0.352941176470588,0.21393430081977,1
