"var","KIPAN_rho","KIPAN_rho_pval","KIPAN_LH_meddelta","KIPAN_LH_pval"
"silent",-0.356119751930237,0,-7,3.52572255665086e-14
"missense",-0.375906854867935,0,-20,3.56423050714046e-16
"nonstop",0.0533979497849941,0.176596227755621,0,0.0829403178331022
"nonsense",-0.0238128583878279,0.546992369863253,-1,0.806404372113372
"frameshift",-0.218058601021767,2.3825483808082e-08,-3,6.22689965435405e-06
"total",-0.363452583551407,0,-30,1.06775983521189e-14
"GZMA",0.97315639257431,0,NA,NA
"PRF1",0.966726005077362,0,NA,NA
"cyt",1,NA,NA,NA
"nmdptc_max",-0.174946397542953,8.2522485191916e-06,-0.832833965959128,8.84570797230481e-06
"nmdptc_n_decayed",-0.0543916113674641,0.168669144593035,-1,0.128641642332435
"nmdptc_frac_decayed",-0.159860551357269,4.72552831056738e-05,-0.166666666666667,2.02609688595812e-05
"nmdptc_med",-0.196967050433159,4.89637854705904e-07,-0.371497736067129,1.04397071889459e-07
"nmdptc_med.wt",-0.161306753754616,4.02396488803358e-05,-0.0472425810295328,0.466947746223393
"nmdptc_mean",-0.224979415535927,8.24349344341613e-09,-0.440706519252105,4.44806888824209e-09
"nmdptc_mean.wt",-0.210439950227737,7.36383594102108e-08,-0.0733599691719451,1.06344560415008e-08
"nmdptc_mut.bool",-0.0501830279827118,0.204139599867175,0,0.167042602107093
"nmdfs_max",-0.11094281822443,0.00488908966538215,-0.649508462623266,1.92064512793746e-05
"nmdfs_n_decayed",-0.00277906330302358,0.943972363650337,0,0.171627422499384
"nmdfs_frac_decayed",-0.0784547924995422,0.0469162891999562,-0.0952380952380952,0.00141487897603538
"nmdfs_med",-0.123143084347248,0.00177207870716822,-0.357151069738749,4.18461444969453e-06
"nmdfs_med.wt",-0.0937887653708458,0.0174539142006347,-0.0649888404377423,0.463680254348789
"nmdfs_mean",-0.131841957569122,0.000811937768247617,-0.429774289123709,7.36364674945592e-07
"nmdfs_mean.wt",-0.122253946959972,0.00191409628802885,-0.113952665920521,2.9983850560622e-06
"nmdfs_mut.bool",-0.0905558690428734,0.0217489456643729,0,0.0385919477167023
"nmdns_max",-0.155914291739464,7.27526326893546e-05,-1.12897843364456,0.00333670844762102
"nmdns_n_decayed",-0.115972675383091,0.00325372463367568,-1,0.108612995593588
"nmdns_frac_decayed",-0.167415469884872,2.0099042628452e-05,-0.4,0.00273681515184339
"nmdns_med",-0.194583907723427,6.75532675575852e-07,-0.659688046504847,5.44436482658298e-05
"nmdns_med.wt",-0.169904887676239,1.5038774826337e-05,-0.303033163481693,0.46716038804504
"nmdns_mean",-0.215509101748466,3.49180102610092e-08,-0.714175636619113,0.482010501013985
"nmdns_mean.wt",-0.185033425688744,2.35839041451413e-06,-0.314396019976439,0.482010501013985
"nmdns_mut.bool",0.078839935362339,0.045842546744709,0,0.116936143946957
"TNFRSF4_cna",0.217865869402885,2.45280078470245e-08,0,0.000447898651288977
"CNKSR1_cna",0.213203728199005,4.9137710345093e-08,0,0.000386981030176388
"CNKSR1_mut",0.0185505263507366,0.638960700334357,0,1
"FUBP1_cna",0.267623007297516,5.42899059041702e-12,0,1.99707825532706e-06
"IL10_cna",0.272591859102249,2.11164419283705e-12,0,2.39603332473639e-08
"IRF6_cna",0.28639218211174,1.38333788868295e-13,0,3.49119578659961e-08
"DNMT3A_cna",0.17618702352047,7.10052934760341e-06,0,3.68781666589232e-09
"DNMT3A_mut",0.0218581482768059,0.580385056587169,0,0.605580729351418
