"","low","low.pval","high","high.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
"nmdptc_frac_decayed",12.2781895432776,0.0196078431372549,3.71410585344308,0.156862745098039,13.1467817613308,0.0196078431372549,4.30550231828369,0.0196078431372549
"nmdptc_mean",10.8604527373329,0.0196078431372549,2.68326271699859,0.156862745098039,10.8478819386496,0.0196078431372549,3.94974956848617,0.0980392156862745
"nmdns_mean.wt",6.72632212887314,0.0588235294117647,6.19467665055272,0.0588235294117647,10.7721229168274,0.0392156862745098,3.80282499769651,0.0392156862745098
"nmdfs_mean",9.57758985756729,0.0196078431372549,1.35644641273239,0.294117647058824,9.32364610104145,0.0196078431372549,3.23183538845015,0.196078431372549
"nmdptc_med",7.52973155929943,0.0196078431372549,3.24322937559942,0.176470588235294,9.21406755684139,0.0392156862745098,3.10007900033192,0.254901960784314
"nmdns_mean",2.7926538098276,0.137254901960784,6.39260859833978,0.0392156862745098,7.76654434517867,0.0196078431372549,2.54170221057901,0.823529411764706
"nmdptc_mean.wt",8.03831959810506,0.0196078431372549,0.849756745147553,0.392156862745098,7.00278158289012,0.0392156862745098,3.43434772390138,0.294117647058824
"nmdptc_med.wt",4.27756840468969,0.0784313725490196,4.06549509446203,0.117647058823529,6.89538178739045,0.0392156862745098,3.24374738659131,0.0980392156862745
"nmdfs_frac_decayed",4.05691621179276,0.0980392156862745,4.33165398682798,0.117647058823529,6.68392898264616,0.0196078431372549,1.84031699137326,0.176470588235294
"nmdns_med.wt",2.6350001445629,0.215686274509804,5.77976441543795,0.0196078431372549,6.38353400613395,0.0196078431372549,2.80045483935269,0.333333333333333
"nmdns_max",5.9288130616108,0.0392156862745098,1.74503227522759,0.176470588235294,6.05037999155299,0.0392156862745098,2.36465604060789,0.823529411764706
"nmdfs_mean.wt",5.5055430368816,0.0980392156862745,1.27409079986845,0.352941176470588,5.37927273137224,0.0980392156862745,2.77354154700343,0.509803921568627
"nmdns_frac_decayed",6.27173027003348,0.0196078431372549,-0.0589026155241984,0.470588235294118,5.20973320822791,0.0392156862745098,1.89166696843875,0.568627450980392
"nmdptc_n_decayed",7.65508913170732,0.0392156862745098,-1.15159843623529,0.568627450980392,4.96250374945929,0.0784313725490196,2.10054613631033,0.392156862745098
"nmdns_med",2.05991066242421,0.196078431372549,3.74279730498953,0.0980392156862745,4.84839596530555,0.0980392156862745,2.72115039854297,0.431372549019608
"nmdns_n_decayed",6.60604755738007,0.0588235294117647,-2.56325085639643,0.764705882352941,3.86225167508869,0.117647058823529,1.4196212500856,0.862745098039216
"nmdptc_max",5.94431988465982,0.0588235294117647,-1.69028178888425,0.588235294117647,3.67735316991656,0.0980392156862745,3.16605455417817,0.607843137254902
"nmdfs_med",3.44868527054192,0.0980392156862745,1.41418897829953,0.274509803921569,3.67322619579668,0.0784313725490196,2.34495088298819,0.862745098039216
"nmdfs_med.wt",0.201223125864286,0.490196078431373,4.38470693194397,0.0784313725490196,3.43770871028377,0.176470588235294,2.72473818207566,0.470588235294118
"nmdfs_n_decayed",3.27321514309726,0.0588235294117647,0.848190925500305,0.333333333333333,3.2128108780641,0.137254901960784,1.39605165168417,0.607843137254902
"nmdfs_max",2.2534150233794,0.156862745098039,1.8440421634518,0.176470588235294,2.92443212087403,0.137254901960784,2.14095134635555,1
"nmdfs_mut.bool",1.32492352291117,0.254901960784314,1.76844126022397,0.137254901960784,2.79369440324267,0.0588235294117647,0.0745674587243775,0.980392156862745
"nmdptc_mut.bool",1.6585957018309,0.274509803921569,0,0.411764705882353,1.68130817581546,0.254901960784314,0.0203753987907705,1
"nmdns_mut.bool",-0.23913089838294,0.470588235294118,0.662874416761119,0.235294117647059,0.0655694372762933,0.411764705882353,0.049524081007193,0.980392156862745
