"","low","low.pval","high","high.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
"nmdptc_frac_decayed",0.037352706707902,0.0196078431372549,0.0094808344518555,0.156862745098039,0.0230638131656657,0.0196078431372549,4.30550231828369,0.0196078431372549
"nmdptc_mean",0.0275182974210927,0.0196078431372549,0.00672193590121906,0.137254901960784,0.0168669228902816,0.0196078431372549,3.94974956848617,0.0980392156862745
"nmdns_mean.wt",0.0166318899396869,0.0588235294117647,0.0157705423260501,0.0588235294117647,0.0159638017690038,0.0392156862745098,3.80282499769651,0.0392156862745098
"nmdfs_mean",0.022575360145313,0.0196078431372549,0.00246472958169962,0.294117647058824,0.0123236310671488,0.0196078431372549,3.23183538845015,0.196078431372549
"nmdptc_med",0.0164070405029604,0.0196078431372549,0.00653827872076324,0.156862745098039,0.011157045092302,0.0392156862745098,3.10007900033192,0.254901960784314
"nmdptc_mean.wt",0.0189023744890221,0.0196078431372549,0.00179911847886684,0.392156862745098,0.00983372214203636,0.0392156862745098,3.43434772390138,0.294117647058824
"nmdns_mean",0.00474159754130645,0.137254901960784,0.0137440157251041,0.0392156862745098,0.00959744554724263,0.0196078431372549,2.54170221057901,0.823529411764706
"nmdptc_med.wt",0.009591649114462,0.0784313725490196,0.00850722204087065,0.0980392156862745,0.00926326635305354,0.0392156862745098,3.24374738659131,0.0980392156862745
"nmdns_med.wt",0.00509059885903371,0.215686274509804,0.01109733531994,0.0196078431372549,0.00780266732486543,0.0196078431372549,2.80045483935269,0.333333333333333
"nmdfs_frac_decayed",0.00728683714366349,0.0980392156862745,0.00790406401428388,0.0784313725490196,0.00760494452092305,0.0196078431372549,1.84031699137326,0.176470588235294
"nmdns_max",0.0112921042683052,0.0392156862745098,0.00284958769889817,0.196078431372549,0.00704426429283102,0.0588235294117647,2.36465604060789,0.823529411764706
"nmdfs_mean.wt",0.0109813764763181,0.0980392156862745,0.00243705398821223,0.352941176470588,0.00636002613085242,0.137254901960784,2.77354154700343,0.509803921568627
"nmdns_frac_decayed",0.0123736342075125,0.0196078431372549,-9.08910151868204e-05,0.470588235294118,0.00600250117572369,0.0392156862745098,1.89166696843875,0.568627450980392
"nmdns_med",0.0039731854618952,0.215686274509804,0.0074705472659428,0.0784313725490196,0.00581336631978876,0.0980392156862745,2.72115039854297,0.431372549019608
"nmdptc_n_decayed",0.0124039879127593,0.0588235294117647,-0.0017200238541166,0.588235294117647,0.00532040437221088,0.0784313725490196,2.10054613631033,0.392156862745098
"nmdptc_max",0.0112811229425529,0.0784313725490196,-0.00283282345633978,0.568627450980392,0.00428124265737637,0.156862745098039,3.16605455417817,0.607843137254902
"nmdfs_med",0.00579726352670554,0.117647058823529,0.00219332769672871,0.294117647058824,0.00398374837756242,0.0784313725490196,2.34495088298819,0.862745098039216
"nmdfs_med.wt",0.000334437897037728,0.490196078431373,0.00792614666796086,0.0980392156862745,0.00378303634479999,0.196078431372549,2.72473818207566,0.470588235294118
"nmdns_n_decayed",0.00991607260158643,0.0980392156862745,-0.00308254629467629,0.745098039215686,0.00350815041462941,0.117647058823529,1.4196212500856,0.862745098039216
"nmdfs_max",0.00371479653311424,0.196078431372549,0.00259508226201287,0.254901960784314,0.00296540015028553,0.196078431372549,2.14095134635555,1
"nmdfs_n_decayed",0.00417221185184886,0.0588235294117647,0.00109027772858744,0.333333333333333,0.00272848393436486,0.137254901960784,1.39605165168417,0.607843137254902
"nmdfs_mut.bool",0.000274865878464277,0.313725490196078,0.000310458205240814,0.215686274509804,0.000304871725450531,0.215686274509804,0.0745674587243775,0.980392156862745
"nmdptc_mut.bool",0.000172592592592593,0.352941176470588,0,0.411764705882353,9.27002583979328e-05,0.294117647058824,0.0203753987907705,1
"nmdns_mut.bool",-6.00214113372008e-05,0.470588235294118,9.70454545454546e-05,0.372549019607843,9.03470562952406e-06,0.431372549019608,0.049524081007193,0.980392156862745
