"","low","low.pval","high","high.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
"nmdptc_frac_decayed",0.0483688404909875,0.0196078431372549,-0.000405114159261303,0.568627450980392,0.0238889390818859,0.0196078431372549,5.04951535735116,0.0196078431372549
"nmdptc_mean",0.0197957555235595,0.0196078431372549,0.00878274302078848,0.0392156862745098,0.0138934320972832,0.0196078431372549,3.45589896840374,0.0980392156862745
"nmdns_mean.wt",0.0104583282607328,0.0392156862745098,0.0124616261005551,0.0784313725490196,0.0113788486712746,0.0588235294117647,2.91948130882369,0.0784313725490196
"nmdfs_mean",0.0250619026259886,0.0196078431372549,-0.00329027663011045,0.843137254901961,0.0107776714256194,0.0392156862745098,2.38839727239579,0.450980392156863
"nmdptc_mean.wt",0.0221353204140334,0.0196078431372549,-0.00458387945582184,0.803921568627451,0.00850163180296226,0.0588235294117647,2.70656222872715,0.196078431372549
"nmdptc_med",0.0123375391575496,0.0196078431372549,0.00518435261956642,0.0980392156862745,0.00846249401465193,0.0196078431372549,2.93970711070224,0.0392156862745098
"nmdns_max",0.0113996526921738,0.0392156862745098,0.00235848618539421,0.254901960784314,0.00693029160172164,0.0588235294117647,2.0488114217531,0.568627450980392
"nmdfs_frac_decayed",0.0107104405231926,0.0196078431372549,0.00213016303368667,0.294117647058824,0.00644905188014343,0.0196078431372549,1.53143372706388,0.196078431372549
"nmdptc_med.wt",0.00559715090990532,0.117647058823529,0.00447524377378958,0.176470588235294,0.00527916761959525,0.0980392156862745,2.37710341143638,0.274509803921569
"nmdptc_max",0.0154274893526156,0.0392156862745098,-0.00452923471100233,0.862745098039216,0.00527081372384339,0.117647058823529,2.59291458992806,0.588235294117647
"nmdptc_n_decayed",0.00961128104419025,0.0392156862745098,-3.52236601813512e-05,0.607843137254902,0.00477104217663548,0.0784313725490196,1.57350371627998,0.470588235294118
"nmdns_mean",0.000197211506393429,0.509803921568627,0.00888815782478217,0.0980392156862745,0.00446729967016467,0.117647058823529,1.79012659268747,0.823529411764706
"nmdfs_med.wt",0.00216952745812975,0.215686274509804,0.00695441394193857,0.0980392156862745,0.00435835209465101,0.0980392156862745,2.17759695605208,0.274509803921569
"nmdns_med.wt",0.00221247303751174,0.235294117647059,0.00657826751020627,0.0784313725490196,0.0042248171455664,0.117647058823529,2.12689895845518,0.313725490196078
"total",-0.000494871158402925,0.529411764705882,0.00772566935935421,0.0980392156862745,0.00368894975126496,0.176470588235294,2.56476424218142,0.725490196078431
"nmdfs_mean.wt",0.00359098490056744,0.235294117647059,0.00412980290767932,0.313725490196078,0.00366566986703966,0.176470588235294,2.25174261228386,0.529411764705882
"nmdns_med",0.00227973841188045,0.196078431372549,0.00598494178184507,0.156862745098039,0.00364295930872123,0.117647058823529,2.03979965319264,0.509803921568627
"nmdns_frac_decayed",0.00549593555859886,0.0980392156862745,0.00058462772424777,0.392156862745098,0.00334926714641479,0.0980392156862745,1.35538016964754,0.509803921568627
"nmdns_n_decayed",0.00861575937092426,0.0784313725490196,-0.00311196708010897,0.882352941176471,0.0026859861590461,0.137254901960784,1.01274173564006,0.745098039215686
"nmdfs_max",0.00324188810457882,0.235294117647059,0.00230086474689431,0.254901960784314,0.00250797844481443,0.215686274509804,1.72023890271895,0.96078431372549
"nmdfs_n_decayed",0.00249992539809642,0.117647058823529,0.00176387854723119,0.196078431372549,0.00220201869796728,0.0980392156862745,0.986035586385303,0.529411764705882
"nmdfs_med",0.00426631525342388,0.117647058823529,4.86724618196801e-05,0.509803921568627,0.00201965780287677,0.156862745098039,1.61610793618732,0.980392156862745
"missense",0.00140456916803801,0.411764705882353,0.0027212715272999,0.372549019607843,0.00180588755932028,0.333333333333333,2.46957906802594,0.862745098039216
"silent",0.00084792929596739,0.490196078431373,0.00137968227297961,0.490196078431373,0.000815349693146621,0.431372549019608,1.97038380756367,0.980392156862745
"frameshift",-0.000333278116642634,0.509803921568627,0.001690326341708,0.372549019607843,0.000708654757380508,0.411764705882353,1.7951306849741,0.882352941176471
"nonsense",-0.00224577352956442,0.666666666666667,0.00298937938472952,0.392156862745098,0.000287660347171613,0.549019607843137,1.6891246348551,0.980392156862745
"nmdfs_mut.bool",0.000252060339016861,0.137254901960784,-5.47073381741574e-05,0.411764705882353,0.000110750789977551,0.215686274509804,0.0414453809931802,0.862745098039216
"nmdptc_mut.bool",0.000182194616977226,0.235294117647059,0,0.568627450980392,9.8780487804878e-05,0.294117647058824,0.00765384615384615,1
"nmdns_mut.bool",0.000209217609240492,0.294117647058824,-0.000124114847448427,0.647058823529412,3.82795344751867e-05,0.490196078431373,0.0347385318271265,0.784313725490196
"nonstop",-0.000659585103205375,0.607843137254902,-0.000598423813303432,0.607843137254902,-0.000641334418894111,0.588235294117647,0.265457449379032,0.980392156862745
