"","low","low.pval","high","high.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
"nmdns_med.wt",7.21861389297867,0.0196078431372549,2.46482187602697,0.294117647058824,7.40462439030141,0.0196078431372549,3.72148639124657,0.0196078431372549
"nmdns_mut.bool",2.70602267584173,0.0196078431372549,2.00100076269179,0.0392156862745098,3.0411707329608,0.0196078431372549,0.036745720945721,0.745098039215686
"nmdptc_mut.bool",2.82411086794448,0.0392156862745098,1.00050037531277,0.254901960784314,2.72978544667979,0.0392156862745098,0.03691493273161,0.450980392156863
"nmdfs_mean",3.01699701522291,0.0784313725490196,0.0130491584647432,0.549019607843137,2.23918671285671,0.137254901960784,1.44236680351145,0.176470588235294
"nmdfs_mean.wt",2.19202466545823,0.156862745098039,-0.145590987782738,0.509803921568627,1.35577466300364,0.294117647058824,1.79492645219859,0.117647058823529
"nmdfs_frac_decayed",4.22968683499441,0.0980392156862745,-2.28793153429314,0.745098039215686,1.24868483678754,0.274509803921569,0.751389322990331,0.235294117647059
"nmdfs_mut.bool",1.74115133908731,0.117647058823529,-0.290574542286006,0.568627450980392,1.01592138365505,0.117647058823529,0.100494105843307,0.686274509803922
"nmdptc_med.wt",2.80894410543394,0.137254901960784,-2.07253890200154,0.745098039215686,0.739970245151238,0.313725490196078,2.87920368340775,0.156862745098039
"nmdptc_mean.wt",2.81186433989636,0.0784313725490196,-2.69700671638287,0.803921568627451,0.527389709496781,0.274509803921569,2.75962244932006,0.352941176470588
"nmdfs_max",-1.26775541726754,0.588235294117647,0.799072972932701,0.313725490196078,-0.00809421980640394,0.411764705882353,1.23869756591578,0.627450980392157
"nmdptc_max",3.34578672910396,0.196078431372549,-3.41402984365331,0.803921568627451,-0.0524391170463925,0.411764705882353,3.7836409346205,0.176470588235294
"nmdns_mean",2.55288744969251,0.196078431372549,-2.65740877554339,0.784313725490196,-0.0862203385752896,0.431372549019608,2.67751116809714,0.411764705882353
"nmdfs_med",0.473140648745219,0.352941176470588,-0.515193669830167,0.549019607843137,-0.108239004545289,0.450980392156863,1.2858455926905,0.372549019607843
"nmdfs_med.wt",0.830681845385071,0.313725490196078,-1.53177417965479,0.705882352941177,-0.438378710512262,0.411764705882353,1.3788092879505,0.294117647058824
"nmdns_n_decayed",-1.06502270791367,0.450980392156863,-0.00686714422980341,0.431372549019608,-0.85522384798222,0.509803921568627,1.60485583472761,0.686274509803922
"nmdns_max",2.73609750131756,0.196078431372549,-4.12643298938237,0.882352941176471,-0.903016506409886,0.470588235294118,3.11575849427054,0.431372549019608
"nmdns_med",-0.295408704799722,0.450980392156863,-1.03320456859836,0.764705882352941,-1.12485931620157,0.588235294117647,2.32107568572777,0.470588235294118
"nmdfs_n_decayed",-0.484737926039407,0.470588235294118,-1.20280787082019,0.647058823529412,-1.27628112307144,0.588235294117647,0.488862114610653,0.627450980392157
"nmdns_mean.wt",1.56505956578229,0.235294117647059,-3.78712374232029,0.862745098039216,-1.57568859376775,0.529411764705882,2.51655343196127,0.568627450980392
"nmdptc_frac_decayed",-1.21703481766766,0.607843137254902,-2.1587065055678,0.823529411764706,-2.76756865890732,0.764705882352941,2.0087519503958,0.784313725490196
"nmdptc_med",1.23743923044639,0.274509803921569,-5.00791927226934,0.941176470588235,-2.86798744801338,0.784313725490196,1.98481523521443,0.862745098039216
"nmdns_frac_decayed",-3.09938646214968,0.725490196078431,-1.92832898885229,0.725490196078431,-3.99084893717444,0.882352941176471,1.93540446295976,0.725490196078431
"nmdptc_mean",-0.775330067809103,0.431372549019608,-3.45843182221889,0.843137254901961,-3.99510686804974,0.803921568627451,3.14491303031374,0.235294117647059
"nmdptc_n_decayed",-2.27158539816612,0.725490196078431,-2.7999643735817,0.862745098039216,-4.09175754889192,0.901960784313726,1.44715534834863,0.882352941176471
