"","low","low.pval","high","high.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
"nmdns_med.wt",0.0196195611103573,0.0196078431372549,0.00557982569673039,0.254901960784314,0.0123224842728475,0.0392156862745098,3.72148639124657,0.0196078431372549
"nmdfs_mean",0.00510181215413413,0.0784313725490196,2.24060783893867e-05,0.549019607843137,0.0024729974605361,0.137254901960784,1.44236680351145,0.176470588235294
"nmdfs_mean.wt",0.00368736148444218,0.137254901960784,-0.000240696100201081,0.509803921568627,0.00148862128128086,0.274509803921569,1.79492645219859,0.117647058823529
"nmdptc_med.wt",0.00672267801035805,0.117647058823529,-0.00429921283118551,0.784313725490196,0.00103009335663179,0.313725490196078,2.87920368340775,0.156862745098039
"nmdfs_frac_decayed",0.00520631928682137,0.0980392156862745,-0.00290595987558903,0.882352941176471,0.00102079422354213,0.294117647058824,0.751389322990331,0.235294117647059
"nmdptc_mean.wt",0.006711334964261,0.0784313725490196,-0.00528524784188904,0.764705882352941,0.000716812937812341,0.274509803921569,2.75962244932006,0.352941176470588
"nmdns_mut.bool",0.00101426804189962,0.0196078431372549,0.00020843776106934,0.196078431372549,0.000577262774677386,0.0196078431372549,0.036745720945721,0.745098039215686
"nmdptc_mut.bool",0.00103635904429248,0.0196078431372549,5.55555555555556e-05,0.352941176470588,0.000527586289528889,0.0196078431372549,0.03691493273161,0.450980392156863
"nmdfs_mut.bool",0.000867759755724152,0.0980392156862745,-0.000155809701769791,0.568627450980392,0.000354940497066854,0.117647058823529,0.100494105843307,0.686274509803922
"nmdfs_max",-0.00195648078122503,0.607843137254902,0.00140885984780688,0.294117647058824,-8.70702298911769e-06,0.411764705882353,1.23869756591578,0.627450980392157
"nmdptc_max",0.00770660599327984,0.176470588235294,-0.0077410800834125,0.823529411764706,-8.01481369312545e-05,0.411764705882353,3.7836409346205,0.176470588235294
"nmdns_mean",0.00524351883926187,0.196078431372549,-0.00564243847655612,0.803921568627451,-0.000111985354248329,0.431372549019608,2.67751116809714,0.411764705882353
"nmdfs_med",0.000781648223637389,0.352941176470588,-0.000746553250446776,0.529411764705882,-0.000114266920848595,0.450980392156863,1.2858455926905,0.372549019607843
"nmdfs_med.wt",0.00133487541869895,0.294117647058824,-0.00227836062846831,0.725490196078431,-0.000432435604816183,0.411764705882353,1.3788092879505,0.294117647058824
"nmdns_n_decayed",-0.00172360642696321,0.470588235294118,-9.84708468420985e-06,0.431372549019608,-0.000841027907502705,0.470588235294118,1.60485583472761,0.686274509803922
"nmdfs_n_decayed",-0.000538078790161843,0.470588235294118,-0.00123532976871919,0.666666666666667,-0.000948743006458653,0.588235294117647,0.488862114610653,0.627450980392157
"nmdns_max",0.00570101338999912,0.235294117647059,-0.00840251190307725,0.882352941176471,-0.00125578283693026,0.470588235294118,3.11575849427054,0.431372549019608
"nmdns_med",-0.0005689124643846,0.450980392156863,-0.00187445169209875,0.725490196078431,-0.001312661939963,0.568627450980392,2.32107568572777,0.470588235294118
"nmdns_mean.wt",0.00342003724222563,0.235294117647059,-0.00748540520796713,0.823529411764706,-0.00216942376353789,0.529411764705882,2.51655343196127,0.568627450980392
"nmdptc_frac_decayed",-0.00228561483927448,0.607843137254902,-0.00380550829160669,0.784313725490196,-0.00330368441642073,0.764705882352941,2.0087519503958,0.784313725490196
"nmdptc_med",0.00243465602165293,0.294117647058824,-0.00887753922633954,0.941176470588235,-0.00331878180238809,0.784313725490196,1.98481523521443,0.862745098039216
"nmdptc_n_decayed",-0.00382332382959318,0.745098039215686,-0.00456082533890482,0.882352941176471,-0.00437206656502654,0.92156862745098,1.44715534834863,0.882352941176471
"nmdns_frac_decayed",-0.00550585361472257,0.705882352941177,-0.00346484147887231,0.725490196078431,-0.00456807934534597,0.882352941176471,1.93540446295976,0.725490196078431
"nmdptc_mean",-0.00203216438685378,0.450980392156863,-0.00901481481325841,0.901960784313726,-0.00604844293568266,0.843137254901961,3.14491303031374,0.235294117647059
