"","low","low.pval","high","high.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
"missense",2.05887085926584,0.156862745098039,7.60094619700456,0.0196078431372549,7.06332333798073,0.0196078431372549,4.60313700482993,0.0196078431372549
"total",3.46318888283616,0.0784313725490196,6.36491623604211,0.0196078431372549,6.88991412266554,0.0392156862745098,4.50679405127587,0.0196078431372549
"silent",0.392783945148836,0.411764705882353,6.74852128286112,0.0196078431372549,5.04736407534184,0.0392156862745098,3.91001606817479,0.0784313725490196
"nmdptc_max",2.15572828285682,0.176470588235294,4.77022229393595,0.0392156862745098,4.80954675667443,0.0980392156862745,3.85669963096914,0.0784313725490196
"nmdfs_frac_decayed",2.02815973008769,0.137254901960784,3.67073121000259,0.0196078431372549,4.11389037544915,0.0196078431372549,0.529690860338239,0.215686274509804
"nmdns_max",4.49844729240612,0.0588235294117647,-0.0418046098560568,0.450980392156863,3.64277662133687,0.0784313725490196,2.48242063004781,0.333333333333333
"nmdns_med.wt",3.75858765969602,0.0588235294117647,0.53940826650759,0.392156862745098,3.37855120940568,0.0784313725490196,2.07831860554634,0.137254901960784
"nmdns_mean",4.25267933575526,0.0588235294117647,-1.10930374425525,0.666666666666667,2.58350479520062,0.137254901960784,1.69044653142942,0.490196078431373
"nmdns_mut.bool",1.35270019676903,0.137254901960784,1.4148600041269,0.137254901960784,1.90234861627038,0.0392156862745098,0.0123030303030303,0.784313725490196
"nonsense",0.815109156958462,0.372549019607843,1.50290925011119,0.254901960784314,1.64401928700892,0.215686274509804,1.9540276126973,0.627450980392157
"nmdfs_med",0.26313324837861,0.392156862745098,1.49217930497013,0.0980392156862745,1.32328045662495,0.0980392156862745,0.754657203577195,0.490196078431373
"nmdfs_max",1.74334467727044,0.196078431372549,0.27432178156184,0.392156862745098,1.20814940975955,0.294117647058824,0.631379400121745,0.980392156862745
"nmdfs_med.wt",1.11554110471113,0.137254901960784,0.204100244796356,0.274509803921569,1.10627968508408,0.156862745098039,0.765333590001001,0.627450980392157
"frameshift",-4.78222168229445,0.96078431372549,5.08859078293345,0.0784313725490196,0.963829468693821,0.294117647058824,2.93547472846846,0.156862745098039
"nmdfs_mean",1.011718199881,0.294117647058824,-0.0279421474663933,0.392156862745098,0.675864115176811,0.254901960784314,0.815246799710676,0.529411764705882
"nmdptc_med.wt",-0.142919360377022,0.509803921568627,0.649463211211776,0.372549019607843,0.412921749304728,0.294117647058824,1.55563209117273,0.568627450980392
"nmdptc_mut.bool",0,0.568627450980392,0,0.588235294117647,0,0.588235294117647,0.0107084967320261,0.784313725490196
"nmdptc_mean.wt",1.07987603925204,0.235294117647059,-1.13520838325396,0.647058823529412,-0.00838653901482783,0.333333333333333,1.32463457142952,0.96078431372549
"nmdfs_mut.bool",-1.65958504836157,0.92156862745098,1.25792931575141,0.156862745098039,-0.412648760209913,0.705882352941177,0.12672320814892,0.0392156862745098
"nmdptc_mean",-0.154163672485841,0.549019607843137,-0.121157853974043,0.470588235294118,-0.440999441546838,0.490196078431373,1.67855916448754,0.705882352941177
"nmdptc_med",0.366850165707818,0.313725490196078,-1.00537039579305,0.686274509803922,-0.503405386440898,0.490196078431373,0.984573499206096,1
"nmdns_med",-0.921177148900173,0.627450980392157,0.197815551299381,0.352941176470588,-0.644973636129437,0.490196078431373,0.935831613729751,0.96078431372549
"nmdfs_n_decayed",-0.598601270833957,0.725490196078431,-0.285724462452253,0.529411764705882,-0.768839745397073,0.705882352941177,0.296891054388833,0.764705882352941
"nonstop",-2.03171024200381,0.862745098039216,1.03730184473097,0.294117647058824,-0.847425251801836,0.470588235294118,0.404081528924167,0.882352941176471
"nmdfs_mean.wt",-0.274850768683459,0.588235294117647,-0.922056913829597,0.627450980392157,-1.09425287397649,0.764705882352941,0.738715745343511,0.647058823529412
"nmdns_mean.wt",-0.333785366978593,0.450980392156863,-1.22928361319536,0.666666666666667,-1.33029188104489,0.509803921568627,1.21832731936461,0.96078431372549
"nmdns_frac_decayed",-0.818671106758999,0.509803921568627,-1.22676953958881,0.803921568627451,-1.4919403503745,0.686274509803922,0.99240751260033,0.941176470588235
"nmdns_n_decayed",-1.49114109654381,0.647058823529412,-1.37157362966126,0.764705882352941,-1.84179407406284,0.764705882352941,0.858493132708308,0.901960784313726
"nmdptc_frac_decayed",-0.771355684994483,0.450980392156863,-2.22709488155194,0.843137254901961,-2.37335383047263,0.823529411764706,0.952057772551528,1
"nmdptc_n_decayed",-2.91131109087175,0.96078431372549,-1.66889901878221,0.803921568627451,-3.49289035987996,0.980392156862745,0.816373097276725,0.980392156862745
