"","low","low.pval","high","high.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
"missense",0.00750896168973635,0.117647058823529,0.0299972786549984,0.0196078431372549,0.0184285255704308,0.0196078431372549,4.60313700482993,0.0196078431372549
"total",0.010776155243554,0.0588235294117647,0.0249549367041627,0.0196078431372549,0.0170326655382135,0.0196078431372549,4.50679405127587,0.0196078431372549
"silent",0.00139363826187423,0.411764705882353,0.0265533539126553,0.0196078431372549,0.0127958946577425,0.0392156862745098,3.91001606817479,0.0784313725490196
"nmdptc_max",0.00789346162997798,0.156862745098039,0.0162505373311572,0.0392156862745098,0.0121493876104363,0.0588235294117647,3.85669963096914,0.0784313725490196
"nmdns_max",0.0129528218341686,0.0392156862745098,-0.000109923965372209,0.450980392156863,0.00689106879646552,0.0588235294117647,2.48242063004781,0.333333333333333
"nmdns_med.wt",0.0087456239718314,0.0980392156862745,0.00118207424109968,0.392156862745098,0.00487839023268551,0.0980392156862745,2.07831860554634,0.137254901960784
"nmdfs_frac_decayed",0.00227638493257688,0.117647058823529,0.00625213347285968,0.0196078431372549,0.00419364950276563,0.0392156862745098,0.529690860338239,0.215686274509804
"nmdns_mean",0.0100507052630892,0.0784313725490196,-0.00254044239214518,0.686274509803922,0.00360592774878789,0.176470588235294,1.69044653142942,0.490196078431373
"nonsense",0.00164772994164568,0.392156862745098,0.00402340094620684,0.235294117647059,0.00261489098470862,0.215686274509804,1.9540276126973,0.627450980392157
"frameshift",-0.0113798599577237,0.96078431372549,0.0143224790801248,0.0784313725490196,0.00170624699763906,0.274509803921569,2.93547472846846,0.156862745098039
"nmdfs_med",0.000470139595526593,0.352941176470588,0.00235345254161044,0.0980392156862745,0.00146403830333721,0.0980392156862745,0.754657203577195,0.490196078431373
"nmdfs_max",0.00246339367546798,0.235294117647059,0.000470538207922109,0.392156862745098,0.0012570885953074,0.333333333333333,0.631379400121745,0.980392156862745
"nmdfs_med.wt",0.0018778382608104,0.156862745098039,0.000326891288965592,0.274509803921569,0.00112683396324874,0.156862745098039,0.765333590001001,0.627450980392157
"nmdfs_mean",0.00176057380311318,0.274509803921569,-4.78231520801181e-05,0.392156862745098,0.000760573460625807,0.254901960784314,0.815246799710676,0.529411764705882
"nmdptc_med.wt",-0.000263903382479234,0.509803921568627,0.0011788442465687,0.411764705882353,0.000440528015981951,0.333333333333333,1.55563209117273,0.568627450980392
"nmdns_mut.bool",0.00029047619047619,0.156862745098039,0.000222910216718266,0.215686274509804,0.00029859943977591,0.0588235294117647,0.0123030303030303,0.784313725490196
"nmdptc_mut.bool",0,0.568627450980392,0,0.588235294117647,0,0.588235294117647,0.0107084967320261,0.784313725490196
"nmdptc_mean.wt",0.00241789923183112,0.254901960784314,-0.00218136444738612,0.627450980392157,-9.58514260846188e-06,0.333333333333333,1.32463457142952,0.96078431372549
"nmdfs_mut.bool",-0.00112341526722332,1,0.000760299816693679,0.0588235294117647,-0.000177666837278222,0.725490196078431,0.12672320814892,0.0392156862745098
"nmdfs_n_decayed",-0.000700036719386565,0.705882352941177,-0.000236070096054616,0.529411764705882,-0.000472656296897284,0.627450980392157,0.296891054388833,0.764705882352941
"nonstop",-0.00196666420954347,0.803921568627451,0.00106773860515279,0.313725490196078,-0.000498712868629606,0.431372549019608,0.404081528924167,0.882352941176471
"nmdptc_med",0.000603207361953492,0.333333333333333,-0.00165379983232992,0.607843137254902,-0.000574078679383421,0.470588235294118,0.984573499206096,1
"nmdptc_mean",-0.000387685233583066,0.568627450980392,-0.000289325073454835,0.470588235294118,-0.000629371425680621,0.490196078431373,1.67855916448754,0.705882352941177
"nmdns_med",-0.00153358242204991,0.607843137254902,0.000287211782026023,0.352941176470588,-0.000716957652539026,0.470588235294118,0.935831613729751,0.96078431372549
"nmdfs_mean.wt",-0.000382016057557853,0.588235294117647,-0.00152638074299132,0.686274509803922,-0.0010272848788104,0.784313725490196,0.738715745343511,0.647058823529412
"nmdns_mean.wt",-0.000600594411645697,0.411764705882353,-0.00211586089050418,0.607843137254902,-0.00144716337034797,0.470588235294118,1.21832731936461,0.96078431372549
"nmdns_frac_decayed",-0.0013498938711787,0.509803921568627,-0.00202752662713963,0.725490196078431,-0.00186165626265759,0.627450980392157,0.99240751260033,0.941176470588235
"nmdns_n_decayed",-0.00217372566934419,0.450980392156863,-0.00215325071721626,0.745098039215686,-0.00205256908638375,0.764705882352941,0.858493132708308,0.901960784313726
"nmdptc_frac_decayed",-0.00135643677787641,0.411764705882353,-0.0038850583970553,0.764705882352941,-0.002517773119488,0.627450980392157,0.952057772551528,1
"nmdptc_n_decayed",-0.00433703903894374,0.941176470588235,-0.00250669525132441,0.686274509803922,-0.0034491485538171,0.941176470588235,0.816373097276725,0.980392156862745
