"","low","low.pval","high","high.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
"nmdfs_mut.bool",0.00440763820990534,0.117647058823529,-0.00509906619824556,0.92156862745098,-0.000513761733884669,0.764705882352941,0.107434369084891,0.647058823529412
"nmdptc_frac_decayed",0.00660249332882545,0.0588235294117647,-0.00730338157691594,0.901960784313726,-0.000834795965290005,0.470588235294118,0.847111936025908,0.666666666666667
"nmdns_frac_decayed",-0.00131815166812142,0.627450980392157,-0.000413435625161353,0.490196078431373,-0.000989188538548606,0.607843137254902,0.449753194413689,0.725490196078431
"nmdns_mut.bool",-0.00418891750000031,0.901960784313726,0.00292022163419228,0.196078431372549,-0.00101713864788527,0.92156862745098,0.0883336408202578,0.509803921568627
"nmdptc_mut.bool",0.00223426537722837,0.274509803921569,-0.00410053100394667,0.784313725490196,-0.00117624667767282,0.843137254901961,0.0974979026730627,0.686274509803922
"nmdns_med.wt",0.000759597764063888,0.470588235294118,-0.00221368622326508,0.490196078431373,-0.00137140941353695,0.490196078431373,2.22782479931646,0.176470588235294
"nmdptc_med",0.00855157625020366,0.254901960784314,-0.00678301196551394,0.666666666666667,-0.00139045132157244,0.470588235294118,4.58269065509127,0.0784313725490196
"nmdns_mean",-0.00100754772359843,0.509803921568627,-0.00108958487621775,0.529411764705882,-0.00149373277344209,0.568627450980392,1.53523603572525,1
"nmdfs_frac_decayed",0.00115041531865431,0.254901960784314,-0.00500122273976729,0.941176470588235,-0.00206409809372468,0.901960784313726,0.427658545717004,0.862745098039216
"nmdns_max",-0.0076581409926096,0.647058823529412,0.00427447907885469,0.352941176470588,-0.00248276037587352,0.529411764705882,2.38645075341783,0.843137254901961
"nmdns_n_decayed",-0.0119259866868694,0.941176470588235,0.00801336719407074,0.196078431372549,-0.00271995126751697,0.823529411764706,0.741957973661065,0.411764705882353
"nmdptc_mean",0.00144242153634627,0.392156862745098,-0.00324757262892362,0.627450980392157,-0.00273119767364947,0.509803921568627,3.69080145001649,0.294117647058824
"nmdfs_mean",0.00124553890795861,0.411764705882353,-0.00601244211698989,0.862745098039216,-0.00281520205142621,0.764705882352941,1.77043148723556,0.254901960784314
"nmdfs_max",0.00201653548873672,0.372549019607843,-0.00606248481273517,0.705882352941177,-0.00283338633518365,0.549019607843137,1.88310667077558,0.627450980392157
"nmdfs_n_decayed",0.00313198522074756,0.274509803921569,-0.0085967813520839,0.882352941176471,-0.00316493595489661,0.901960784313726,0.438695052876192,0.843137254901961
"nmdns_med",0.0013793026976976,0.372549019607843,-0.00594331820164797,0.745098039215686,-0.00318651044254293,0.705882352941177,2.00150563275943,0.607843137254902
"nmdns_mean.wt",0.000756435708834939,0.431372549019608,-0.00614987142713574,0.705882352941177,-0.00341325451530102,0.725490196078431,2.44473049213291,0.156862745098039
"nmdfs_med",-0.0039944369652048,0.725490196078431,-0.00280424472398555,0.686274509803922,-0.0041817442182072,0.941176470588235,1.16950581674467,0.666666666666667
"nmdfs_med.wt",-0.00180139998269355,0.549019607843137,-0.00617001798586438,0.92156862745098,-0.00434952264445486,0.941176470588235,1.28220010593787,0.450980392156863
"nmdptc_mean.wt",0.00826036098671521,0.254901960784314,-0.0135026384493247,0.803921568627451,-0.00448042133339121,0.607843137254902,3.17848370148104,0.411764705882353
"nmdptc_n_decayed",-0.00357920683831893,0.490196078431373,-0.00349075978728524,0.549019607843137,-0.00459779720611349,0.823529411764706,0.882530532798395,0.784313725490196
"nmdfs_mean.wt",-0.00535161847185634,0.843137254901961,-0.00457700130982557,0.784313725490196,-0.00521182725572323,0.96078431372549,1.12687521145017,0.764705882352941
"nmdptc_med.wt",0.00978272981330995,0.196078431372549,-0.0174387409632909,0.92156862745098,-0.00564346051136982,0.705882352941177,3.44482686346167,0.196078431372549
"nmdptc_max",-0.0161011228881262,0.686274509803922,0.000991899603444593,0.490196078431373,-0.00950982545668779,0.803921568627451,4.77751529141324,0.313725490196078
