"","low","low.pval","high","high.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
"total",2.45993041041368,0.235294117647059,2.68481143805669,0.274509803921569,3.66227968719014,0.156862745098039,10.1547300899146,0.0588235294117647
"nmdns_mean",0.89095750170172,0.333333333333333,1.28273570611394,0.196078431372549,1.65327318316656,0.254901960784314,1.45367560097495,0.549019607843137
"nmdptc_mean",-0.289160209772973,0.509803921568627,2.28566189035749,0.117647058823529,1.46567006848783,0.294117647058824,2.34049775772879,0.274509803921569
"nmdptc_med",0.152738193481797,0.470588235294118,1.18275812861084,0.215686274509804,1.02622620386948,0.274509803921569,2.76834741123687,0.0588235294117647
"nmdfs_mean.wt",-1.01673239375444,0.470588235294118,1.97924221070552,0.196078431372549,0.686075557503206,0.254901960784314,0.712668739864277,0.901960784313726
"silent",4.42897065730135,0.137254901960784,-3.23120697266687,0.666666666666667,0.238334570382416,0.490196078431373,9.0832073467654,0.156862745098039
"nonstop",1.66913747897776,0.215686274509804,-1.63618716565956,0.764705882352941,-0.00980386687005611,0.411764705882353,0.312483267950458,0.549019607843137
"nmdfs_mut.bool",-1.46341029745648,0.764705882352941,1.27697515989361,0.156862745098039,-0.171620033226613,0.431372549019608,0.10672342623158,0.666666666666667
"nmdptc_mean.wt",-1.15084961210802,0.529411764705882,0.77111914192286,0.294117647058824,-0.396797630719462,0.333333333333333,1.89173954238979,0.470588235294118
"nmdns_mean.wt",2.73765262083019,0.0980392156862745,-3.20945156258324,0.862745098039216,-0.424741591156746,0.431372549019608,1.54558213134132,0.294117647058824
"nmdptc_mut.bool",-2.28730235632366,0.843137254901961,1.53342805029549,0.254901960784314,-0.494369818290952,0.549019607843137,0.13386271372054,0.372549019607843
"missense",4.36146355576021,0.137254901960784,-4.20298793908515,0.823529411764706,-0.522298892246902,0.431372549019608,8.21891815679661,0.666666666666667
"nmdfs_med.wt",-0.723044999130889,0.450980392156863,-0.271186296732868,0.490196078431373,-0.719589713305679,0.450980392156863,0.755655754781,0.784313725490196
"nmdptc_frac_decayed",-1.2914823918988,0.549019607843137,0.503857252737666,0.313725490196078,-0.76838307393263,0.392156862745098,0.660007570326927,0.627450980392157
"nmdns_med.wt",0.248005428757236,0.470588235294118,-0.874867728896714,0.490196078431373,-0.824411788707269,0.549019607843137,1.64615287563827,0.196078431372549
"nmdptc_max",-1.58788034127828,0.549019607843137,0.856351425828474,0.333333333333333,-0.907653928196672,0.411764705882353,2.60797685946384,0.529411764705882
"nmdptc_med.wt",2.31093457755953,0.117647058823529,-3.13474146548093,0.823529411764706,-1.11519627747464,0.392156862745098,2.07930092444641,0.196078431372549
"nmdfs_frac_decayed",1.99264185919888,0.156862745098039,-2.47781758041841,0.843137254901961,-1.20451149865875,0.549019607843137,0.389597330028408,0.686274509803922
"nmdfs_max",-1.56213818684433,0.509803921568627,-0.354849603005748,0.431372549019608,-1.46265323013459,0.549019607843137,1.37833675995125,0.647058823529412
"nmdns_mut.bool",-2.43391876011303,0.901960784313726,0.788272431343045,0.333333333333333,-1.67561548176608,0.901960784313726,0.0846259434239106,0.803921568627451
"nmdns_max",-3.2745460825994,0.764705882352941,1.60192317077258,0.215686274509804,-1.68222220702979,0.568627450980392,1.60336414914995,0.764705882352941
"nmdns_med",-0.302276366246926,0.549019607843137,-1.5911907065713,0.745098039215686,-1.69808128053223,0.607843137254902,1.29777363827507,0.529411764705882
"nmdns_frac_decayed",-0.774589919946869,0.509803921568627,-1.07407878107499,0.588235294117647,-1.7431490528772,0.588235294117647,0.348573740042824,0.725490196078431
"nmdfs_med",-1.97476020250501,0.764705882352941,-0.706153799732454,0.509803921568627,-2.18298779182017,0.686274509803922,0.727062601609242,0.784313725490196
"nmdfs_mean",-1.15275975565289,0.568627450980392,-2.10000544921283,0.862745098039216,-2.61242676599247,0.764705882352941,0.94297779986755,0.647058823529412
"frameshift",-2.49446030131144,0.647058823529412,-1.14294347922691,0.470588235294118,-2.91442103710511,0.588235294117647,4.30118443739709,0.294117647058824
"nmdfs_n_decayed",-2.79065311329942,0.843137254901961,-1.33621980743499,0.627450980392157,-3.28561111284268,0.92156862745098,0.452621107335316,0.823529411764706
"nmdptc_n_decayed",-4.47461401236506,0.843137254901961,-0.435297179746791,0.549019607843137,-4.11475762195277,0.901960784313726,0.885539284482648,0.764705882352941
"nonsense",-5.7991271180494,0.823529411764706,-1.26889242743548,0.529411764705882,-5.28797792496871,0.862745098039216,3.07846696467019,0.96078431372549
"nmdns_n_decayed",-5.73889185606019,0.941176470588235,0.406716320667553,0.392156862745098,-5.40823192171936,1,0.485750836099693,0.862745098039216
