"","low","low.pval","high","high.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
"nmdfs_mean",-2.74691908000512,0.725490196078431,21.0709905915528,0.0196078431372549,20.1043005334854,0.0196078431372549,6.2641708909095,0.0392156862745098
"nmdfs_max",-1.29973508778526,0.549019607843137,11.5138114992192,0.0588235294117647,9.9449040257194,0.0392156862745098,6.70494502245873,0.0588235294117647
"nmdfs_med",0.429498663627402,0.470588235294118,7.41598404554574,0.0196078431372549,7.26877110969917,0.0588235294117647,2.76950904606575,0.647058823529412
"nmdfs_n_decayed",-9.35228089674192,0.92156862745098,13.1914559855533,0.0588235294117647,6.62167488340629,0.0980392156862745,1.28683085669725,0.411764705882353
"nmdfs_frac_decayed",6.19237271613027,0.0196078431372549,0.42250515792283,0.431372549019608,6.22483265047405,0.0196078431372549,0.865776397886966,0.450980392156863
"nmdfs_mean.wt",-0.898050577609803,0.529411764705882,6.14849463641189,0.0588235294117647,5.14063319221568,0.0784313725490196,3.54986268848849,0.117647058823529
"nmdns_frac_decayed",1.95403490398395,0.235294117647059,4.26932639618483,0.137254901960784,5.13068443513686,0.0784313725490196,1.37048666267047,0.215686274509804
"nmdptc_mean",-1.78856783009556,0.588235294117647,5.84283716119416,0.0784313725490196,3.81793108656512,0.117647058823529,5.55390976845185,0.392156862745098
"nmdfs_mut.bool",-8.31625224793454,0.980392156862745,9.84021009333898,0.0196078431372549,3.78435876766734,0.0784313725490196,1.02318627092207,0.0196078431372549
"nmdptc_mut.bool",-2.86418904299353,0.686274509803922,2.64433625258544,0.254901960784314,0.820886288805181,0.333333333333333,0.132409281760683,0.647058823529412
"nmdptc_mean.wt",-2.27706203685409,0.647058823529412,2.85729222866801,0.235294117647059,0.531306897905352,0.392156862745098,6.00084148779266,0.137254901960784
"nmdns_mean",-5.43106017628383,0.862745098039216,5.59237231251342,0.0392156862745098,0.431968958202214,0.333333333333333,2.79297478473292,0.627450980392157
"nmdptc_n_decayed",-4.20558947246171,0.686274509803922,4.34246894270777,0.313725490196078,0.42432748612429,0.372549019607843,1.20432855145861,0.980392156862745
"nmdfs_med.wt",-3.06001950044805,0.764705882352941,3.41386864988124,0.176470588235294,0.217269002093795,0.431372549019608,2.40450545948002,0.803921568627451
"nmdns_n_decayed",1.96082771017001,0.372549019607843,-1.42605708518949,0.607843137254902,-0.148458951727785,0.450980392156863,0.65504727976503,1
"nmdns_med",-1.8687996646865,0.588235294117647,1.32270252687228,0.431372549019608,-0.68568446835586,0.470588235294118,2.01906732046649,0.784313725490196
"nmdptc_max",2.79907366100431,0.313725490196078,-3.00223371208354,0.627450980392157,-0.775588210469282,0.509803921568627,6.90577964699665,0.509803921568627
"nmdns_med.wt",-0.603881933839445,0.568627450980392,0.154509809416514,0.411764705882353,-0.84839086072888,0.529411764705882,2.56776795796647,0.333333333333333
"nmdns_mean.wt",-0.594614297094321,0.549019607843137,-0.3717201779137,0.470588235294118,-1.25649392563222,0.490196078431373,2.31224428980956,0.823529411764706
"nmdns_mut.bool",0.16706943116445,0.490196078431373,-1.67714143261455,0.627450980392157,-2.20524981627729,0.901960784313726,0.11476956673869,0.588235294117647
"nmdns_max",-2.13556821851882,0.607843137254902,0.387282787058441,0.392156862745098,-2.20670526254306,0.529411764705882,2.61235973222054,0.941176470588235
"nmdptc_frac_decayed",-4.45209199261628,0.803921568627451,2.79533410609341,0.215686274509804,-2.21788920156892,0.666666666666667,0.830553950271096,0.980392156862745
"nmdptc_med.wt",-5.33413886212575,0.862745098039216,3.22246775511047,0.215686274509804,-3.01135973837073,0.705882352941177,4.17526083038646,0.862745098039216
"nmdptc_med",-4.33471367572612,0.843137254901961,-0.493707939745137,0.549019607843137,-5.69353343361916,0.882352941176471,3.25497279146593,1
