"","low","low.pval","high","high.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
"nmdfs_mean",0.0139827287618162,0.0196078431372549,0.0402915473152062,0.0196078431372549,0.02667736722389,0.0196078431372549,5.65948595464899,0.0196078431372549
"total",0.0181153606160706,0.0588235294117647,0.0080984445562694,0.196078431372549,0.0128711253509617,0.0784313725490196,9.78452697075549,0.294117647058824
"nmdfs_max",0.00865689102862872,0.0392156862745098,0.0135024714138192,0.0980392156862745,0.0103727163034681,0.0392156862745098,4.62597021898154,0.0784313725490196
"nmdfs_med",0.0056485974406577,0.0980392156862745,0.00894644978946293,0.0588235294117647,0.00725517775928379,0.0392156862745098,2.26054740561078,0.333333333333333
"nmdptc_mean",0.0106927978152431,0.0392156862745098,0.00369959887830896,0.254901960784314,0.0069993918530763,0.0784313725490196,4.45193144521246,0.235294117647059
"nmdfs_mean.wt",0.0113097209423866,0.0196078431372549,0.00333047595328307,0.215686274509804,0.00681537884219297,0.0196078431372549,2.78999863225285,0.0588235294117647
"nmdfs_frac_decayed",0.0107490405714322,0.0196078431372549,0.0026926211216852,0.0588235294117647,0.0064442588383854,0.0196078431372549,1.06719424551958,0.0980392156862745
"nonsense",-0.00134706680648654,0.568627450980392,0.0128475652944244,0.0980392156862745,0.00558304648404956,0.137254901960784,3.45240704250716,0.117647058823529
"nmdfs_n_decayed",-0.005189087863591,0.96078431372549,0.0155988404279404,0.0196078431372549,0.00521297245981496,0.0392156862745098,1.23800230473962,0.254901960784314
"nmdptc_mean.wt",0.00939064061121072,0.0588235294117647,0.000691364930791212,0.431372549019608,0.0048808406935378,0.0588235294117647,4.41545878560505,0.156862745098039
"nmdfs_mut.bool",-0.00390167921780023,1,0.0119803978846858,0.0196078431372549,0.00409997621890336,0.0196078431372549,0.907716694292242,0.0196078431372549
"missense",0.0152848548134391,0.156862745098039,-0.00789237179623664,0.823529411764706,0.0036010327091184,0.274509803921569,7.39957923436761,0.901960784313726
"nmdptc_max",0.012724819663242,0.0784313725490196,-0.00584925650535421,0.745098039215686,0.00307387900839448,0.294117647058824,4.87127094111252,0.549019607843137
"nmdfs_med.wt",0.00309916848748235,0.215686274509804,0.00258088784930536,0.313725490196078,0.00284350269664976,0.176470588235294,1.87724930850714,0.588235294117647
"nmdns_mean",-0.000591082166020602,0.431372549019608,0.0055892166332589,0.156862745098039,0.00236990380885532,0.137254901960784,2.20248141930786,0.411764705882353
"nmdptc_n_decayed",-0.000550493816842158,0.607843137254902,0.00361692241528698,0.215686274509804,0.0015854816340124,0.235294117647059,1.03423427122852,0.882352941176471
"nmdns_frac_decayed",0.00263558803275134,0.156862745098039,-9.2742300425979e-05,0.549019607843137,0.00119406839325509,0.176470588235294,1.00147827401515,0.333333333333333
"silent",0.00773095758667501,0.235294117647059,-0.00556075469054647,0.725490196078431,0.000797309983006125,0.490196078431373,6.31532008982462,0.882352941176471
"nmdptc_med.wt",0.00191305917382161,0.274509803921569,-0.000784794641175254,0.568627450980392,0.00056941270880886,0.372549019607843,3.32135003481741,0.568627450980392
"nmdns_med.wt",0.00386325561278099,0.117647058823529,-0.00228422054649805,0.803921568627451,0.000555440982185674,0.372549019607843,1.8356207864391,0.627450980392157
"nmdptc_mut.bool",0.000131540194576493,0.392156862745098,0.000814872928599495,0.196078431372549,0.000535076547500818,0.0980392156862745,0.122161662537982,0.529411764705882
"nmdptc_frac_decayed",0.00150770404504436,0.235294117647059,-0.000695572408037142,0.568627450980392,0.000218351219003371,0.294117647058824,0.634678089935639,1
"nmdns_n_decayed",0.00184310022021174,0.294117647058824,-0.00160160279616558,0.627450980392157,0.00010359129870086,0.431372549019608,0.540048821931275,1
"nmdns_mean.wt",0.0045201530217887,0.0392156862745098,-0.00380607649931576,0.941176470588235,8.93759161256323e-06,0.490196078431373,1.85816640142046,0.666666666666667
"nmdptc_med",0.00293783596532449,0.313725490196078,-0.00294313397949295,0.784313725490196,-0.000100312555021318,0.529411764705882,2.21389222475707,1
"nonstop",0.000152484597690843,0.196078431372549,-0.000391848815025001,0.647058823529412,-0.000106904547765501,0.470588235294118,0.530245014833448,0.588235294117647
"nmdns_mut.bool",0.000461826482655349,0.215686274509804,-0.000861463116546606,1,-0.000189927574416605,0.882352941176471,0.144319222893248,0.352941176470588
"nmdns_med",0.0012887002245772,0.235294117647059,-0.00176802628527627,0.862745098039216,-0.000454087017417505,0.588235294117647,1.48484267637852,0.96078431372549
"nmdns_max",0.00333177215680376,0.196078431372549,-0.00442162062961247,0.901960784313726,-0.000699959923819681,0.607843137254902,1.93144561262957,0.980392156862745
"frameshift",0.000965746086961601,0.411764705882353,-0.00444644469894804,0.686274509803922,-0.00175819869235495,0.549019607843137,2.42179210771835,0.980392156862745
