"var","PRAD_rho","PRAD_rho_pval","PRAD_LH_meddelta","PRAD_LH_pval"
"silent",-0.0472333319485188,0.390966896946224,-1,0.425966989325983
"missense",-0.0449892207980156,0.413891475719166,0,0.595776909020496
"nonstop",0.0296347700059414,0.590540566903475,0,0.472604527556481
"nonsense",-0.134411066770554,0.0142467476414225,0,0.0642913405520914
"frameshift",0.0140764713287354,0.798313146361591,0,0.799820655705298
"total",-0.0469127707183361,0.394193754528027,-1,0.650901455318116
"GZMA",0.964717864990234,0,NA,NA
"PRF1",0.951716065406799,0,NA,NA
"cyt",1,NA,NA,NA
"nmdptc_max",-0.0476476214826107,0.386820281661613,-0.339223863035764,0.0299804115865038
"nmdptc_n_decayed",-0.0177106838673353,0.747822323065405,0,0.0917099446480681
"nmdptc_frac_decayed",-0.0556868836283684,0.311719023948889,-0.333333333333333,0.0557319331422366
"nmdptc_med",-0.0757113173604012,0.1687290984961,-0.182236538546174,0.0162003752763665
"nmdptc_med.wt",-0.0631070509552956,0.251517359073652,-0.0895073213981863,0.480578779529642
"nmdptc_mean",-0.095058985054493,0.0837298845559835,-0.216492269748176,0.0021921013280856
"nmdptc_mean.wt",-0.067768819630146,0.218111343699198,-0.105921327625035,0.0237250349954226
"nmdptc_mut.bool",-0.0537395551800728,0.328968442666008,0,0.434047648170603
"nmdfs_max",-0.0255685951560736,0.642503919279117,-0.811926672762173,0.00349183364189837
"nmdfs_n_decayed",-0.00506240595132113,0.926782165349189,0,0.0179509979828463
"nmdfs_frac_decayed",-0.117900751531124,0.0317417813103709,0,0.000519421043942058
"nmdfs_med",-0.0744474530220032,0.175972715764445,-0.466070601791689,1.71892873195982e-05
"nmdfs_med.wt",-0.0632936209440231,0.250115674695187,-0.304005103173717,0.477475177496799
"nmdfs_mean",-0.0857476517558098,0.118907147239657,-0.466070601791689,4.41162801516152e-06
"nmdfs_mean.wt",-0.0632820203900337,0.250202669996474,-0.304005103173717,0.000195405952443773
"nmdfs_mut.bool",-0.0516751036047935,0.347914964358266,0,0.338127000498921
"nmdns_max",0.0688816979527473,0.210628928889133,7.36980830535741,0.761867742863739
"nmdns_n_decayed",0.0778954103589058,0.156739988670889,4846,0.91905048968695
"nmdns_frac_decayed",0.0588334836065769,0.285123716717806,0,0.973440608160574
"nmdns_med",0.0413747169077396,0.452435021977788,0.652632252640815,0.466722415219258
