"","low","low.pval","high","high.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
"nmdfs_max",0.0105133802953317,0.0784313725490196,0.0129343338346735,0.0392156862745098,0.0111738871230208,0.0392156862745098,4.88934781352081,0.137254901960784
"nmdptc_mean",0.0135735054669577,0.0196078431372549,0.00718613615032245,0.0980392156862745,0.0104177427604722,0.0196078431372549,5.18827565249388,0.352941176470588
"nmdns_mean",0.0141222290467193,0.0392156862745098,0.00490427785758103,0.156862745098039,0.00908354696426958,0.0196078431372549,5.62480766116142,0.0980392156862745
"nmdns_med",0.00778981918256518,0.0588235294117647,0.0103717882189857,0.0196078431372549,0.00871628216937325,0.0196078431372549,4.75444242711035,0.156862745098039
"nmdptc_med.wt",-0.00503168374372771,0.803921568627451,0.0207292729561841,0.0196078431372549,0.0077202759086923,0.0588235294117647,5.41163631356867,0.0980392156862745
"nmdfs_med",0.00606899494243533,0.117647058823529,0.00675966989386796,0.0392156862745098,0.00617932057414115,0.0196078431372549,3.76239952322119,0.372549019607843
"nmdptc_frac_decayed",0.00100598284169951,0.392156862745098,0.0113073047457514,0.0588235294117647,0.00616927117680788,0.0588235294117647,3.38919930082034,0.862745098039216
"nmdptc_med",0.00304488580800217,0.156862745098039,0.00830338462122281,0.0392156862745098,0.00566672280440395,0.0588235294117647,4.7092195470157,0.117647058823529
"nmdns_frac_decayed",0.000781366573398895,0.431372549019608,0.00725397787981472,0.117647058823529,0.00415064257156808,0.0588235294117647,2.90521923220456,0.803921568627451
"nmdfs_mean",0.00800745865939213,0.0784313725490196,0.000881243268589574,0.372549019607843,0.00411610172871842,0.117647058823529,3.85417710463216,0.431372549019608
"nmdfs_mean.wt",0.0111321466089838,0.0196078431372549,-0.00288543265709815,0.686274509803922,0.00401141887047892,0.0392156862745098,4.51504605381186,0.0588235294117647
"nmdfs_med.wt",0.00892574473500731,0.0392156862745098,-0.00130576273776677,0.450980392156863,0.00374722671878491,0.0588235294117647,3.73728262791488,0.215686274509804
"nmdns_med.wt",0.00527384837340549,0.117647058823529,0.00139531994123937,0.431372549019608,0.00317690042158223,0.117647058823529,3.75370684108334,0.764705882352941
"nmdns_max",-0.00106708010417101,0.627450980392157,0.00633999941531444,0.0980392156862745,0.00265278305841021,0.196078431372549,4.07176867188456,0.941176470588235
"nmdns_mean.wt",0.00587499123453707,0.156862745098039,-0.000509993540526521,0.470588235294118,0.00241590852819559,0.176470588235294,4.51810490448375,0.470588235294118
"nmdfs_n_decayed",-0.000987751670078774,0.666666666666667,0.00388043280581982,0.176470588235294,0.00136833259026246,0.235294117647059,1.44860492636335,0.666666666666667
"nmdfs_mut.bool",4.126791967548e-05,0.607843137254902,0.000348660378155138,0.333333333333333,0.000242113140920087,0.294117647058824,0.222955335674991,0.607843137254902
"nmdfs_frac_decayed",0.00239126247541943,0.196078431372549,-0.00203193748016104,0.764705882352941,1.1574421971312e-05,0.372549019607843,1.18960879075327,0.980392156862745
"nmdns_mut.bool",-0.000460808091736635,0.647058823529412,-0.000175152252168381,0.509803921568627,-0.000297858584788507,0.686274509803922,0.11554395677861,0.784313725490196
"nmdptc_max",-0.00404887255185455,0.745098039215686,0.00348487426162154,0.235294117647059,-0.000358082097162773,0.470588235294118,4.32738442608909,1
"nmdptc_mean.wt",0.00283053211495647,0.313725490196078,-0.00235337198706286,0.607843137254902,-0.000365713799686349,0.470588235294118,5.12433357000574,0.235294117647059
"nmdns_n_decayed",-0.00192319758820409,0.627450980392157,0.00065548793793442,0.333333333333333,-0.000662462108512994,0.490196078431373,1.89621719141521,1
"nmdptc_mut.bool",0.000176024077548468,0.431372549019608,-0.00149450236857945,0.941176470588235,-0.000664304228593368,0.980392156862745,0.120433596202839,0.333333333333333
"nmdptc_n_decayed",-0.00134021583966447,0.607843137254902,0.000214844732509948,0.372549019607843,-0.00078069970410786,0.509803921568627,2.54285960391689,1
