"","low","low.pval","high","high.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
"nmdfs_max",3.76894448883906,0.0784313725490196,6.3572541809417,0.0392156862745098,7.60542882647268,0.0196078431372549,5.9921636068877,0.0392156862745098
"nmdns_mean",5.85315180648808,0.0196078431372549,2.5225478579683,0.117647058823529,7.2951970401262,0.0196078431372549,6.79931145147847,0.0196078431372549
"nmdptc_med.wt",-0.640164130793598,0.647058823529412,8.08693038992082,0.0196078431372549,6.70168562972942,0.0196078431372549,6.08373555808134,0.0588235294117647
"nmdptc_mean",3.78416381704528,0.156862745098039,3.65695964883268,0.0784313725490196,6.47814557985623,0.0196078431372549,5.79120567044427,0.254901960784314
"nmdns_med",4.29124322001455,0.0784313725490196,3.52112545755105,0.0980392156862745,6.38515125263323,0.0392156862745098,4.5143154637006,0.176470588235294
"nmdfs_mean",5.95279140535722,0.0196078431372549,0.646573185172626,0.411764705882353,5.475334968736,0.0196078431372549,3.31783173853585,0.823529411764706
"nmdptc_frac_decayed",0.434209050792028,0.431372549019608,5.65926320051917,0.0392156862745098,5.09880803171949,0.0392156862745098,3.8270174789692,0.588235294117647
"nmdptc_med",-1.20651942712218,0.745098039215686,7.44204684728951,0.0392156862745098,4.94732256090321,0.0784313725490196,5.21896541115796,0.196078431372549
"nmdptc_mean.wt",2.50379526895404,0.156862745098039,2.92580885596575,0.137254901960784,4.442452350754,0.0588235294117647,4.79428425094131,0.549019607843137
"nmdfs_med.wt",3.962677160539,0.0196078431372549,0.478454086936125,0.450980392156863,3.3675238374209,0.0588235294117647,3.43968717546174,0.411764705882353
"nmdns_med.wt",1.07532174791105,0.196078431372549,3.10529423698005,0.0980392156862745,3.26233168007895,0.0784313725490196,3.0657095697807,0.901960784313726
"nmdfs_med",2.82114792741531,0.0784313725490196,1.23892000581157,0.352941176470588,3.21773454086368,0.0784313725490196,3.24994716958114,0.647058823529412
"nmdfs_mean.wt",5.34227655717231,0.0196078431372549,-1.91795274188109,0.843137254901961,2.90039715865092,0.156862745098039,3.69401506238364,0.313725490196078
"nmdns_frac_decayed",0.958657313548994,0.235294117647059,2.01430795961423,0.254901960784314,2.49818635867864,0.0392156862745098,2.85463991157999,0.549019607843137
"nmdns_mean.wt",3.4184056183416,0.0392156862745098,-0.544580307858027,0.666666666666667,2.06487251956368,0.156862745098039,4.53818801409793,0.313725490196078
"nmdns_n_decayed",-0.911632561495418,0.686274509803922,3.04757032105821,0.0784313725490196,1.85093160930325,0.117647058823529,1.90550584924175,1
"nmdptc_max",-1.53701100844467,0.627450980392157,3.09662445209382,0.137254901960784,1.07396650914757,0.333333333333333,4.63885960049653,0.901960784313726
"nmdfs_n_decayed",-2.54242808717935,0.92156862745098,3.08706110361387,0.0588235294117647,0.950289912380298,0.235294117647059,1.23021935282294,0.705882352941177
"nmdns_max",-2.67574016379425,0.862745098039216,3.39815178572617,0.0980392156862745,0.344945380623937,0.392156862745098,3.93215925553227,0.92156862745098
"nmdfs_frac_decayed",0.724036743423065,0.392156862745098,-0.694772794403606,0.745098039215686,-0.00452917572365065,0.509803921568627,0.976050039862824,1
"nmdptc_n_decayed",-0.926454156004358,0.607843137254902,-0.400917805275239,0.470588235294118,-1.24524790284476,0.549019607843137,2.07874750519477,1
"nmdfs_mut.bool",0.783194665969729,0.372549019607843,-1.94564474430099,0.882352941176471,-1.51145686003958,0.92156862745098,0.112828197863257,0.862745098039216
"nmdns_mut.bool",-1.99740501615489,0.803921568627451,-0.318000340805152,0.490196078431373,-2.09448214550151,0.92156862745098,0.0738054976144732,0.862745098039216
"nmdptc_mut.bool",2.4484230560236,0.117647058823529,-2.9255996213789,0.901960784313726,-2.54540743850211,0.901960784313726,0.0860943149927957,0.411764705882353
