"","low","low.pval","high","high.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
"nmdns_mean",5.62679696737484,0.0392156862745098,4.65160560410997,0.0784313725490196,8.19057505444107,0.0196078431372549,4.98113983795777,0.0196078431372549
"nmdfs_max",2.48386401485744,0.215686274509804,4.65005079911156,0.0588235294117647,5.69886713010393,0.0588235294117647,4.11734714306862,0.137254901960784
"missense",2.41053100606846,0.0588235294117647,4.36672123851172,0.0392156862745098,5.33598560515823,0.0392156862745098,3.93801749804504,0.725490196078431
"nmdfs_mean.wt",5.02508488090308,0.0196078431372549,0.642982564214953,0.352941176470588,4.47997628125753,0.0392156862745098,3.27589181635466,0.333333333333333
"nmdptc_mean",3.83364538524923,0.0784313725490196,1.56352665266351,0.215686274509804,4.34545509295081,0.0392156862745098,4.21532712960188,0.313725490196078
"nmdns_med",3.00389924193507,0.0588235294117647,2.36040712604957,0.156862745098039,4.21472840939694,0.0588235294117647,3.37261194253498,0.274509803921569
"nmdptc_frac_decayed",0.0403955872786218,0.490196078431373,4.9397548628896,0.0196078431372549,3.39307187610087,0.0784313725490196,3.16135528131945,0.392156862745098
"nmdptc_med.wt",-1.0453381907075,0.588235294117647,5.13702053571578,0.0196078431372549,3.22097940869005,0.0588235294117647,4.56651749817109,0.0588235294117647
"total",1.71635202877038,0.137254901960784,2.05461836497915,0.215686274509804,3.18184845516319,0.0588235294117647,4.07733102382334,0.470588235294118
"silent",0.936297433216318,0.294117647058824,2.85481945128261,0.0588235294117647,3.0456101451341,0.117647058823529,3.5670289329448,0.803921568627451
"nmdns_frac_decayed",1.56253077149302,0.294117647058824,2.26893588368594,0.176470588235294,3.01081916747839,0.0980392156862745,2.85202080279331,0.254901960784314
"nmdfs_med.wt",3.58752931194671,0.0980392156862745,-0.186634529279286,0.450980392156863,3.00674086246289,0.0980392156862745,2.77443417581924,0.647058823529412
"nmdptc_med",1.67687134817218,0.156862745098039,1.67265129089987,0.156862745098039,2.87018694260639,0.0980392156862745,3.90884845429695,0.176470588235294
"nmdfs_mean",0.512673018855975,0.411764705882353,2.81237577232038,0.0784313725490196,2.86638037860883,0.0784313725490196,3.15590005080249,0.352941176470588
"nmdfs_med",-0.633424300435919,0.568627450980392,2.82607067777954,0.0980392156862745,2.0129621757833,0.156862745098039,2.93368244389024,0.450980392156863
"nmdns_med.wt",0.44815422864458,0.274509803921569,1.59852365490422,0.294117647058824,1.90272377804359,0.117647058823529,2.85152186064097,0.784313725490196
"nmdptc_n_decayed",1.55013877118812,0.117647058823529,0.787451886813893,0.294117647058824,1.74413120998871,0.0784313725490196,1.91629810410016,1
"nonstop",-1.16909454510805,0.784313725490196,3.17132618818988,0.0588235294117647,1.74229769208067,0.117647058823529,0.454933065530249,0.725490196078431
"nonsense",1.46082977579812,0.196078431372549,0.687394279578951,0.411764705882353,1.67719264820138,0.274509803921569,3.17150165984466,0.647058823529412
"nmdns_mean.wt",1.46848445722453,0.215686274509804,0.787413816240772,0.529411764705882,1.66258883164651,0.313725490196078,3.48970467338572,0.647058823529412
"nmdfs_n_decayed",0.290031795737178,0.431372549019608,1.65619881564805,0.254901960784314,1.42472056128992,0.196078431372549,1.12371315785306,0.784313725490196
"nmdns_max",-2.65000945049887,0.92156862745098,3.85415920298616,0.0196078431372549,0.900676479960733,0.431372549019608,3.09394971985508,0.96078431372549
"nmdptc_max",-1.07729546660164,0.745098039215686,1.80593513402857,0.137254901960784,0.619159774943097,0.313725490196078,3.2908699836637,0.941176470588235
"nmdns_mut.bool",-0.449980868389502,0.627450980392157,1.04602618767552,0.254901960784314,0.58353723428186,0.313725490196078,0.165690272676075,0.117647058823529
"nmdns_n_decayed",-2.17637930972701,0.96078431372549,2.65736001790719,0.0392156862745098,0.339062146937957,0.372549019607843,1.84088654647717,0.941176470588235
"nmdptc_mean.wt",1.5505834683666,0.235294117647059,-1.36275812374892,0.764705882352941,0.106929910546064,0.490196078431373,4.00200165619832,0.549019607843137
"nmdfs_mut.bool",0.0408962742466907,0.352941176470588,0.191337089695775,0.470588235294118,-0.0711857057204882,0.490196078431373,0.208228772350218,0.509803921568627
"frameshift",1.63341410506782,0.274509803921569,-1.91076948463358,0.764705882352941,-0.436202938965623,0.470588235294118,2.45405352519289,0.901960784313726
"nmdfs_frac_decayed",-0.974769243114594,0.784313725490196,-1.06248421526408,0.725490196078431,-1.44736990366742,0.843137254901961,1.08585337901549,0.941176470588235
"nmdptc_mut.bool",-0.526396723868459,0.529411764705882,-1.3857743450315,0.647058823529412,-1.54177191807362,0.745098039215686,0.18305404787888,0.0784313725490196
