"var","SKCM_rho","SKCM_rho_pval","SKCM_LH_meddelta","SKCM_LH_pval"
"silent",0.0706972777843475,0.192142317444981,23,0.395394756261674
"missense",0.0744516849517822,0.169528815322963,37,0.282402214163818
"nonstop",-0.0939229652285576,0.082844150327003,0,0.147391822740282
"nonsense",0.0732392370700836,0.176603341077417,3.5,0.379165020799775
"frameshift",-0.0878008604049683,0.105037025702131,-1,0.243924073687235
"total",0.0715118274092674,0.187057669927996,80,0.326334040106133
"GZMA",0.982523202896118,0,NA,NA
"PRF1",0.979626178741455,0,NA,NA
"cyt",1,NA,NA,NA
"nmdptc_max",-0.0715133920311928,0.187047999255779,-0.0224537336055097,0.460279322949552
"nmdptc_n_decayed",-0.0121468473225832,0.822897033863975,-0.5,0.517306648290208
"nmdptc_frac_decayed",-0.194520741701126,0.000296000730160229,-0.116269841269841,0.000486681611612973
"nmdptc_med",-0.197373121976852,0.00023981331730516,-0.215167257004353,0.000317692392813567
"nmdptc_med.wt",-0.189514920115471,0.000425243448035406,-0.0207916680224337,0.425763518580101
"nmdptc_mean",-0.186414986848831,0.000529799927129204,-0.353641367473762,0.000873172957219254
"nmdptc_mean.wt",-0.180768206715584,0.000783779960716657,-0.02701466311794,0.00301014505001823
"nmdptc_mut.bool",-0.0605946518480778,0.263773729555987,0,0.472854782559432
"nmdfs_max",-0.192976862192154,0.000331314029152985,-1.0910132855267,9.95214077982356e-05
"nmdfs_n_decayed",-0.115065857768059,0.0334017767979824,-1,0.0149343192034232
"nmdfs_frac_decayed",-0.102326482534409,0.0587064751025976,-0.25,0.0264515616362259
"nmdfs_med",-0.140912607312202,0.00906951289433966,-0.385036601814705,0.00212486318636817
"nmdfs_med.wt",-0.117832385003567,0.0293524649251158,-0.0783249189415668,0.473340569977588
"nmdfs_mean",-0.157156094908714,0.0035704439842541,-0.406139277860057,0.000779255910659643
"nmdfs_mean.wt",-0.141470849514008,0.00879645099039617,-0.0649898517414614,0.00145478745015182
"nmdfs_mut.bool",-0.00511938519775867,0.924848581880902,0,0.851936331809854
"nmdns_max",-0.0502479076385498,0.354222575715305,0.0613245347279747,0.78627579353046
"nmdns_n_decayed",-0.00747829582542181,0.890403594565661,-1,0.717556962892876
"nmdns_frac_decayed",-0.196321502327919,0.000259255162694538,-0.164884135472371,0.000416303768217193
"nmdns_med",-0.180295899510384,0.000809463081081763,-0.237911000344665,0.0019325928232198
"nmdns_med.wt",-0.166777297854424,0.00197036722365107,-0.021871456936252,0.376303778630984
"nmdns_mean",-0.167881280183792,0.00183669035099054,-0.500845004833915,0.462344066914221
"nmdns_mean.wt",-0.132070094347,0.0145182712965566,-0.0195807765596537,0.462344066914221
"nmdns_mut.bool",0.00100513885263354,0.985223841874116,0,1
"TNFRSF4_cna",0.102484919130802,0.0583143219797218,0,0.251048074673692
"CNKSR1_cna",0.0960239768028259,0.0761635729814869,0,0.102612799588006
"CNKSR1_mut",0.0266538541764021,0.623285831181438,0,1
"FUBP1_cna",0.0704180598258972,0.193908350946585,0,0.533400664738663
"FUBP1_mut",0.0120413061231375,0.824410755455594,NA,NA
"IL10_cna",0.0811023339629173,0.134439927306745,0,0.454352930627468
"IRF6_cna",0.0766537189483643,0.157224623892212,0,0.733325426916868
"IRF6_mut",0.0112445745617151,0.835858460718238,NA,NA
"DNMT3A_cna",-0.0887446850538254,0.10133776601292,0,0.467024645919337
"DNMT3A_mut",0.049773745238781,0.358788074680596,0,1
"SOS1_cna",-0.0682042315602303,0.208332073233128,0,0.587726565481284
"CASP8_cna",-0.0205508321523666,0.704910584826107,0,0.797288187700164
"CASP8_mut",-0.00669314991682768,0.901848751262246,NA,NA
"CTLA4_cna",-0.0199832394719124,0.712695279211975,0,0.797288187700164
"DNER_cna",0.0267262794077396,0.622341884992929,0,0.697170217061229
"DNER_mut",-0.010261345654726,0.850033431752595,0,1
