"","low","low.pval","high","high.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
"nmdfs_med.wt",0.00358171161377385,0.176470588235294,0.0579758515690485,0.0196078431372549,0.0303483393412411,0.0196078431372549,4.68649554739903,0.0392156862745098
"nmdns_med.wt",0.0321854565529285,0.0196078431372549,0.0218822579411617,0.0196078431372549,0.0265769868473688,0.0196078431372549,6.32818968412444,0.0196078431372549
"nmdns_mean.wt",0.0206531550772084,0.0196078431372549,0.0284711036761037,0.0196078431372549,0.0241761450352396,0.0196078431372549,6.45117641913604,0.0196078431372549
"nmdfs_mean.wt",-0.0013169048244582,0.509803921568627,0.0334835073500612,0.0196078431372549,0.0158930711107843,0.0196078431372549,3.47938716891452,0.0980392156862745
"nmdns_mean",0.0165074224869789,0.0196078431372549,0.0075201459771167,0.0980392156862745,0.0120142195267696,0.0196078431372549,3.60852101118824,0.313725490196078
"nmdns_med",0.018737626745164,0.0196078431372549,0.00429852240558241,0.274509803921569,0.011212180075456,0.0196078431372549,3.39490029717606,0.411764705882353
"nmdfs_frac_decayed",0.00454416158946444,0.156862745098039,0.0158076019329948,0.0588235294117647,0.00985839695034824,0.0196078431372549,2.05120646998922,0.235294117647059
"nmdptc_max",0.00485362596429431,0.274509803921569,0.0115858836908306,0.0784313725490196,0.00827096403636687,0.0588235294117647,3.72781800967106,0.803921568627451
"nmdfs_mean",0.00536805869410021,0.215686274509804,0.0110739842737441,0.0392156862745098,0.00816073076655935,0.0392156862745098,2.48619682406053,1
"nmdns_frac_decayed",-1.67200964561305e-05,0.490196078431373,0.011723155114347,0.0196078431372549,0.00567874988009291,0.0196078431372549,2.03845347300781,0.372549019607843
"nmdptc_mean.wt",-0.00356655899153898,0.725490196078431,0.0156161859726964,0.0196078431372549,0.00544857957233385,0.0392156862745098,3.61319431090016,0.392156862745098
"nmdptc_n_decayed",-0.0020397032629783,0.588235294117647,0.0128803803019513,0.0392156862745098,0.00543681259430969,0.0784313725490196,2.56189273379134,0.333333333333333
"nmdfs_max",0.00997063244172808,0.0784313725490196,-0.000167832242180795,0.470588235294118,0.0046859533401788,0.0980392156862745,2.4252649580779,1
"nmdfs_n_decayed",-0.00053773894297327,0.392156862745098,0.00890984162940986,0.0392156862745098,0.00411436991516113,0.0588235294117647,1.54475961310562,0.823529411764706
"nmdfs_med",0.00186847382760354,0.352941176470588,0.00554271831675792,0.137254901960784,0.00365186905051937,0.156862745098039,2.30002200950398,1
"nmdns_n_decayed",-0.00374592610891319,0.862745098039216,0.00891282996724787,0.0392156862745098,0.00236133131363275,0.176470588235294,1.35397076403535,0.980392156862745
"nmdptc_med.wt",-0.00215133249532625,0.666666666666667,0.00594883364184355,0.0980392156862745,0.00165485830056486,0.254901960784314,3.54411903609015,0.470588235294118
"nmdptc_mean",-0.00276705819815546,0.627450980392157,0.00563418574313795,0.215686274509804,0.0011435022313499,0.352941176470588,2.70422016728323,1
"nmdptc_frac_decayed",-0.00151602847017723,0.588235294117647,0.00168701020366415,0.392156862745098,2.58644693259893e-05,0.352941176470588,1.7230179006125,1
"nmdns_mut.bool",-0.000146783825716648,0.725490196078431,-6.83592269799164e-06,0.372549019607843,-8.77391181420497e-05,0.529411764705882,0.0874820340264859,0.901960784313726
"nmdfs_mut.bool",-0.00065387105953073,0.647058823529412,7.34763173968571e-05,0.607843137254902,-0.000229102692110302,0.627450980392157,0.119042851838286,0.882352941176471
"nmdns_max",-0.00158108006395719,0.627450980392157,0.000783388411134873,0.333333333333333,-0.000586195223632947,0.470588235294118,2.43135281261569,1
"nmdptc_mut.bool",-0.0017483150148407,0.92156862745098,0.000345137915175215,0.372549019607843,-0.000628112677998501,0.941176470588235,0.128414687083802,0.215686274509804
"msi",-0.00380815597551767,0.627450980392157,0.00140657695798569,0.392156862745098,-0.00114922748533535,0.588235294117647,0.535569219561263,0.980392156862745
"nmdptc_med",-0.00371269530337971,0.725490196078431,-0.000506145358823325,0.529411764705882,-0.00222630235330819,0.725490196078431,2.25226096293922,1
